
Time stamp	Inside_humidity (in %rH)	Inside_temperature (in °C)	Inside_pressure (in mbar)	Soil_moisture (in %VWC)	Soil_temperature (in °C)	Inside_CO2_ratio (in ppm)	Outside_humidity (in %rH)	Outside_temperature (in °C)	Outside_pressure (in mbar)	Outside_PAR (in µmol m^-2 s^-1)	Power_box_charge (in V)	
7/1/2021 09:36:08.320202849	92.822955	15.578100	1004.338846	3.856557	20.063712	474.355887	89.862116	15.793078	1001.235888	8.707209	12.078978	
7/1/2021 09:36:09.320202849	92.816384	15.703504	1003.563894	3.639680	20.116083	473.232910	89.934292	15.651549	1000.268065	1.190687	12.063733	
7/1/2021 09:36:10.320202849	92.691537	15.593841	1004.144320	3.984320	20.096531	475.873121	90.036824	15.751570	1001.080550	2.326460	12.055664	
7/1/2021 09:36:11.320202849	92.481267	15.398406	1002.912661	3.028232	19.824800	472.070505	89.599646	15.523608	999.804889	-0.326555	12.062537	
7/1/2021 09:36:12.320202849	92.592973	15.640989	1003.682723	4.222485	20.204210	478.065849	89.804738	15.684229	1000.809143	0.758648	12.050815	
7/1/2021 09:36:13.320202849	92.468125	15.604685	1003.325764	4.149476	20.167923	475.969712	89.625220	15.566777	1000.727612	3.527988	12.060027	
7/1/2021 09:36:14.320202849	92.507550	15.576828	1004.545989	4.182121	20.149268	479.428003	90.111103	15.714011	1001.159873	4.128233	12.059449	
7/1/2021 09:36:15.320202849	92.448412	15.524633	1004.518469	3.859416	20.070162	478.331971	90.046103	15.640341	1000.914488	5.006455	12.086298	
7/1/2021 09:36:16.320202849	92.428699	15.655607	1005.488342	4.816210	20.284991	479.527878	89.901304	15.743686	1000.873169	10.098951	12.033559	
7/1/2021 09:36:17.320202849	92.494408	15.566509	1004.640452	4.040684	20.057998	478.927956	89.797168	15.648331	1000.824598	0.457351	12.092501	
7/1/2021 09:36:18.320202849	92.757246	15.561461	1005.349405	3.934641	20.082121	481.177847	89.729251	15.673128	1001.597028	9.748394	12.040590	
