
Time stamp	Inside_humidity (in %rH)	Inside_temperature (in °C)	Inside_pressure (in mbar)	Soil_moisture (in %VWC)	Soil_temperature (in °C)	Inside_CO2_ratio (in ppm)	Outside_humidity (in %rH)	Outside_temperature (in °C)	Outside_pressure (in mbar)	Outside_PAR (in µmol m^-2 s^-1)	Power_box_charge (in V)	
7/1/2021 10:27:05.481748349	86.015461	17.094414	1003.284210	7.291803	20.322707	504.145298	87.245935	18.024463	1000.342344	2.347158	11.996788	
7/1/2021 10:27:06.481748349	86.659413	17.268612	1003.242576	7.439103	20.156411	500.732340	87.204906	18.016886	1000.834536	5.234134	11.966325	
7/1/2021 10:27:07.481748349	86.291440	17.083871	1002.075812	7.348795	20.260948	504.925929	87.351912	18.041894	1000.210663	1.383523	12.017250	
7/1/2021 10:27:08.481748349	86.298011	17.068204	1002.982209	7.225728	20.241682	505.245277	87.122243	18.024876	1000.189057	3.495766	12.000455	
7/1/2021 10:27:09.481748349	86.416288	17.057361	1001.951541	7.250690	20.278745	505.111227	87.315665	18.045418	999.968114	1.542554	12.010049	
7/1/2021 10:27:10.481748349	86.751406	17.026179	1001.356844	7.143809	20.218456	505.224248	87.400668	17.971336	1000.342344	7.369697	12.020299	
7/1/2021 10:27:11.481748349	86.593704	17.068728	1002.140785	7.261264	20.272010	505.709843	87.193867	17.992502	1000.184798	3.368957	12.012480	
7/1/2021 10:27:12.481748349	86.449143	17.131318	1000.566990	7.368947	20.188699	505.464088	87.149027	17.962827	1000.217443	8.704587	11.991742	
7/1/2021 10:27:13.481748349	86.757977	16.999669	1002.321198	7.678380	20.459287	507.207364	87.273218	17.934707	999.167140	3.164597	11.994226	
7/1/2021 10:27:14.481748349	86.869683	17.058858	1000.785567	7.191587	20.283031	504.335196	87.296347	17.951206	1000.536635	8.577778	11.968809	
7/1/2021 10:27:15.481748349	86.869683	17.031526	1001.982531	7.201663	20.222415	504.895700	87.239654	17.960128	1000.276739	6.382742	12.028211	
7/1/2021 10:27:16.481748349	87.185088	17.084095	1003.251170	7.241417	20.245070	504.623663	86.987513	18.006408	999.913549	4.891440	12.000823	
7/1/2021 10:27:17.481748349	86.961676	16.994323	1002.013440	7.162357	20.168861	505.634935	87.005675	18.045005	999.905032	8.561011	11.971346	
7/1/2021 10:27:18.481748349	87.277082	17.036348	1002.210411	7.184059	20.221272	504.628263	87.217943	17.967706	1000.342344	8.050112	12.026082	
7/1/2021 10:27:19.481748349	87.323078	17.067755	1001.343046	7.298582	20.259234	504.333228	87.060635	18.019584	1000.101531	4.375299	12.023401	
7/1/2021 10:27:20.481748349	87.178517	17.073402	1001.292738	7.378755	20.232049	504.145298	86.893864	17.996756	1000.035927	4.150241	12.016619	
7/1/2021 10:27:21.481748349	87.677909	17.105931	1001.005168	7.572606	20.354750	508.571497	87.322421	18.162669	1000.576533	2.177642	11.984343	
7/1/2021 10:27:22.481748349	87.349362	17.042294	1002.527867	7.117697	20.208251	505.120426	87.038110	17.999455	999.992243	8.149671	12.014372	
7/1/2021 10:27:23.481748349	87.572774	17.139659	1002.692745	7.452503	20.319645	507.731724	86.933684	18.147831	1000.994604	7.330922	11.992254	
