,,,,,,,,,,,
Time stamp,Inside_humidity (in %rH),Inside_temperature (in �C),Inside_pressure (in mbar),Soil_moisture (in %VWC),Soil_temperature (in �C),Inside_CO2_ratio (in ppm),Outside_humidity (in %rH),Outside_temperature (in �C),Outside_pressure (in mbar),Outside_PAR (in �mol m^-2 s^-1),Power_box_charge (in V)
9/13/2019 18:35:46.709265849,59.698823,32.713466,999.77895,5.751516,27.574636,563.532897,64.848239,32.457086,998.553205,6.731988,12.010443
9/13/2019 18:35:47.709265849,59.757962,32.793293,998.790549,5.826084,27.645497,564.019145,64.866796,32.462896,998.520246,5.667483,12.015647
9/13/2019 18:35:48.709265849,59.974803,32.739377,999.072994,5.655034,27.581698,565.235429,64.814385,32.442767,998.338729,1.744293,12.046057
9/13/2019 18:35:49.709265849,60.211357,32.67776,997.647281,5.977374,27.761627,566.071254,64.986624,32.476696,998.27959,-0.735274,12.021364
9/13/2019 18:35:50.709265849,60.185073,32.650353,998.633318,5.910515,27.635497,566.810489,64.829183,32.488835,998.542795,3.083115,12.056847
9/13/2019 18:35:51.709265849,60.664753,32.745472,1000.381217,6.173788,27.618271,567.108808,65.026654,32.531686,998.824612,10.348639,12.028026
9/13/2019 18:35:52.709265849,60.658182,32.83487,997.467815,5.515202,27.66158,565.862295,64.813729,32.426892,998.83928,8.601097,12.015266
9/13/2019 18:35:53.709265849,60.64504,32.683182,998.049345,6.211759,27.667213,569.735219,64.831234,32.577236,998.65019,3.883787,12.008997
9/13/2019 18:35:54.709265849,60.85531,32.723411,998.437136,5.850299,27.650804,568.899394,64.76923,32.427823,998.216193,2.473968,12.053995
9/13/2019 18:35:55.709265849,60.999871,32.808361,997.724162,5.915549,27.655131,569.177999,64.485338,32.466113,998.408435,5.376399,12.021942
9/13/2019 18:35:56.709265849,61.216712,32.687331,999.495795,6.037412,27.582229,567.758019,64.52918,32.487173,998.559986,5.529149,12.046294
9/13/2019 18:35:57.709265849,61.13129,32.767682,1000.487666,5.887025,27.587617,567.597687,64.50605,32.538015,998.72179,11.339525,12.013636
9/13/2019 18:35:58.709265849,61.538689,32.68808,999.545393,5.82126,27.613128,568.235068,64.517589,32.395142,998.515358,-0.900859,12.027448
9/13/2019 18:35:59.709265849,61.505834,32.83472,999.119121,5.848762,27.555288,567.275707,64.623171,32.520796,998.960394,13.063748,12.000455
9/13/2019 18:36:00.709265849,61.486121,32.723112,999.384614,5.744535,27.553615,566.578532,64.36099,32.547148,998.476719,9.591984,12.028224
9/13/2019 18:36:01.709265849,61.847523,32.692902,998.972694,6.12954,27.678561,569.068925,64.478058,32.603588,998.759636,7.721564,12.041904
9/13/2019 18:36:02.709265849,61.946088,32.71784,997.957956,5.732329,27.623047,567.921635,64.121676,32.426786,998.312393,1.605959,12.046741
9/13/2019 18:36:03.709265849,62.268064,32.930289,997.762798,6.033441,27.527613,567.332218,64.279931,32.60961,999.019061,9.218108,12.00512
9/13/2019 18:36:04.709265849,62.064365,32.661196,998.553757,5.98337,27.584474,567.56549,64.1928,32.538534,998.697818,6.843342,12.058503
9/13/2019 18:36:05.709265849,62.346916,32.767009,999.356307,6.222665,27.644559,568.725263,64.189646,32.581385,998.967175,10.722515,12.046189
9/13/2019 18:36:06.709265849,62.353487,32.755417,999.026156,5.694495,27.589902,568.708833,64.264476,32.495788,998.432563,4.617123,12.028723
9/13/2019 18:36:07.709265849,62.65575,32.788396,998.328085,5.732252,27.565289,569.370528,64.129298,32.539264,998.797961,2.975693,12.026213
9/13/2019 18:36:08.709265849,62.491476,32.766036,998.515593,5.903102,27.483039,569.678709,64.095997,32.437782,999.191904,16.399528,12.015962
9/13/2019 18:36:09.709265849,62.484905,32.84089,999.833673,6.075575,27.584229,569.567656,64.329581,32.555964,998.835808,11.027744,12.040327
9/13/2019 18:36:10.709265849,62.846308,32.741847,999.180862,6.43336,27.802078,570.099248,64.277171,32.556271,998.38162,4.443946,11.994515
9/13/2019 18:36:11.709265849,62.714889,32.70782,999.163199,5.821237,27.623333,570.545415,64.282481,32.480326,998.084512,3.83977,12.022507
9/13/2019 18:36:12.709265849,63.109146,32.76241,999.593965,6.13145,27.55537,569.923801,64.08777,32.660145,999.325478,10.71203,12.021127
9/13/2019 18:36:13.709265849,63.102575,32.686957,1000.283048,5.577077,27.585657,568.800825,64.272203,32.523802,998.318544,8.064258,12.023414
9/13/2019 18:36:14.709265849,63.115717,32.782675,999.079381,6.296956,27.683377,571.060577,64.0802,32.520891,998.516302,3.645895,12.024413
