
Time stamp	Inside_humidity (in %rH)	Inside_temperature (in °C)	Inside_pressure (in mbar)	Soil_moisture (in %VWC)	Soil_temperature (in °C)	Inside_CO2_ratio (in ppm)	Outside_humidity (in %rH)	Outside_temperature (in °C)	Outside_pressure (in mbar)	Outside_PAR (in µmol m^-2 s^-1)	Power_box_charge (in V)	
9/13/2019 18:04:03.648101049	58.706610	34.539367	1000.886024	24.071313	28.781236	501.506403	61.353151	34.628695	1000.446424	27.439694	12.124816	
9/13/2019 18:04:04.648101049	58.962877	34.472928	1001.247636	22.758396	28.605839	497.707081	61.238633	34.415287	998.963395	24.009056	12.106707	
9/13/2019 18:04:05.648101049	59.422843	34.634230	999.076541	21.504137	28.431583	499.412897	61.189272	34.652582	1001.657588	33.344387	12.103145	
9/13/2019 18:04:06.648101049	58.923451	34.405142	1000.576847	22.713945	28.586491	499.460871	61.446828	34.500270	999.735190	25.467095	12.124908	
9/13/2019 18:04:07.648101049	59.843384	34.854902	1002.473381	24.328593	28.761644	500.690291	61.196210	34.310163	999.644821	32.450708	12.117496	
9/13/2019 18:04:08.648101049	59.435985	34.420583	1000.850619	22.548266	28.537508	499.948435	61.467407	34.483146	999.676051	26.288465	12.125381	
9/13/2019 18:04:09.648101049	60.132506	34.610789	1001.645914	23.424495	28.725764	501.663451	61.611259	34.694196	1000.265071	37.165397	12.102344	
9/13/2019 18:04:10.648101049	59.593688	34.407195	999.633705	21.001384	28.342844	498.039565	61.022606	34.218545	999.569442	26.773424	12.116327	
9/13/2019 18:04:11.648101049	59.803958	34.466384	1001.847772	24.238437	28.667964	502.782491	61.597433	34.577948	1000.012584	26.139647	12.088348	
9/13/2019 18:04:12.648101049	60.132506	34.540341	1001.242748	21.611141	28.456687	498.741340	61.197499	34.322408	998.552727	36.760338	12.073392	
9/13/2019 18:04:13.648101049	60.572759	34.421407	999.562344	21.348679	28.412439	502.855421	61.709638	34.502851	1000.858822	35.606759	12.070751	
9/13/2019 18:04:14.648101049	60.171931	34.267922	1000.138749	21.217447	28.350150	499.969455	61.298771	34.335489	999.419627	23.455721	12.107942	
9/13/2019 18:04:15.648101049	61.065581	34.840508	1002.682415	23.547181	28.563959	501.469606	61.294984	34.319793	999.574015	23.429780	12.091278	
9/13/2019 18:04:16.648101049	60.395344	34.675090	1000.982223	22.470041	28.640861	502.580100	61.453818	34.369006	999.502258	22.934337	12.086219	
9/13/2019 18:04:17.648101049	60.710749	34.331111	1000.298817	23.023452	28.646331	506.693518	62.189793	34.773146	1000.977413	32.921522	12.113133	
9/13/2019 18:04:18.648101049	61.256138	34.581543	1000.730134	20.817468	28.309699	500.639033	61.333044	34.267312	999.322478	29.277621	12.096390	
9/13/2019 18:04:19.648101049	61.328418	34.653746	1001.383498	24.220787	28.697435	504.661775	61.836774	34.600280	1000.354641	34.631328	12.085115	
9/13/2019 18:04:20.648101049	60.980158	34.244889	999.699073	21.728812	28.408031	501.965054	61.611678	34.404068	1000.241729	23.569425	12.118101	
9/13/2019 18:04:21.648101049	61.256138	34.315220	1000.770664	22.280855	28.693599	506.824937	62.042944	34.546940	1000.897455	29.204002	12.110807	
9/13/2019 18:04:22.648101049	61.177287	34.289309	1000.326652	21.806517	28.473504	503.371898	61.653155	34.388723	999.962755	23.661391	12.122135	
9/13/2019 18:04:23.648101049	62.254922	34.790516	1001.289032	23.149076	28.545182	503.283844	61.826812	34.430431	1000.297081	40.273498	12.099006	
9/13/2019 18:04:24.648101049	60.986729	34.256031	1002.061462	21.413176	27.904287	503.578226	62.331751	34.234843	999.292833	36.034866	12.066427	
9/13/2019 18:04:25.648101049	61.551831	34.439426	1000.844548	23.470551	28.677190	506.657374	62.080081	34.508957	1000.542466	28.059326	12.096154	
9/13/2019 18:04:26.648101049	61.630682	34.686906	998.575598	22.090884	28.257573	501.708783	61.970663	34.334134	1000.169344	27.821163	12.098178	
9/13/2019 18:04:27.648101049	62.189213	34.537956	1000.054850	23.555799	28.710089	506.782225	62.255764	34.706441	1000.339664	37.537962	12.085745	
9/13/2019 18:04:28.648101049	62.169500	34.524076	1001.310481	22.843214	28.596042	504.764944	62.206403	34.456900	999.691820	28.443416	12.114382	
9/13/2019 18:04:29.648101049	62.583470	34.935959	1002.290446	24.693220	28.720008	506.404388	61.895438	34.295326	999.697336	37.593504	12.096509	
9/13/2019 18:04:30.648101049	61.893520	34.306430	999.818928	20.992942	28.273085	503.565080	61.965696	34.252686	999.714212	29.052563	12.114947	
9/13/2019 18:04:31.648101049	62.202355	34.262800	999.664063	23.106811	28.661638	511.134168	62.397880	34.713996	1000.879949	31.012327	12.091738	
9/13/2019 18:04:32.648101049	62.248351	34.325015	1000.122505	22.102617	28.454197	506.326195	62.176675	34.470477	1000.215236	26.900234	12.121728	
9/13/2019 18:04:33.648101049	62.583470	34.461711	1000.855350	22.242585	28.483219	506.945178	62.257392	34.622483	1001.207665	37.210725	12.111990	
9/13/2019 18:04:34.648101049	62.537473	34.340382	1000.139773	20.806519	28.286432	505.368803	62.076113	34.255692	999.695921	28.709869	12.093342	
9/13/2019 18:04:35.648101049	62.438909	34.534844	1000.963377	23.444969	28.671271	510.850953	62.325205	34.539363	1000.431127	28.872833	12.106589	
9/13/2019 18:04:36.648101049	62.728031	34.240590	999.614544	21.273047	28.372070	506.587718	62.193786	34.354888	1000.127239	27.579339	12.118337	
9/13/2019 18:04:37.648101049	63.010581	34.458610	1001.470943	21.903973	28.462116	510.611775	62.662559	34.582955	1001.001699	36.470836	12.102212	
9/13/2019 18:04:38.648101049	62.997439	34.225822	998.281167	21.504354	28.398684	506.605463	62.170052	34.354899	1000.314907	27.274110	12.090516	
9/13/2019 18:04:39.648101049	63.365413	34.822522	1001.998380	24.388026	28.712824	508.486063	62.526092	34.470996	1000.193000	38.863679	12.097324	
9/13/2019 18:04:40.648101049	63.063149	34.399122	1001.365046	22.633068	28.499955	508.995319	62.223804	34.468002	1000.032454	26.262525	12.099243	
9/13/2019 18:04:41.648101049	63.082862	34.501010	1001.588588	24.834944	28.640698	514.154837	62.312562	34.684850	1001.245983	22.643524	12.023072	
9/13/2019 18:04:42.648101049	62.912017	34.424358	998.118576	22.218192	28.176426	506.870933	62.259628	34.270647	1000.147266	27.929895	12.093723	
9/13/2019 18:04:43.648101049	63.325987	34.375457	1000.129838	22.485664	28.553468	508.966406	62.818211	34.773040	1001.294397	32.060066	12.100924	
9/13/2019 18:04:44.648101049	63.450835	34.446900	1001.153567	22.674917	28.484607	506.512156	62.434573	34.430950	999.957075	27.554709	12.085417	
9/13/2019 18:04:45.648101049	63.647963	34.608801	1001.961556	22.309790	28.393418	506.274937	62.171523	34.474827	1001.025670	36.891079	12.101398	
9/13/2019 18:04:46.648101049	64.324771	35.526189	1003.661751	27.095075	29.027904	511.168323	62.615745	34.494320	1000.446896	41.327790	12.105748	
9/13/2019 18:04:47.648101049	63.306274	34.255133	999.786992	21.073786	28.299453	505.232784	62.171550	34.317010	999.500529	26.271699	12.091594	
9/13/2019 18:04:48.648101049	63.496832	34.489835	1000.498863	26.505903	29.273878	514.595753	63.032083	34.800735	1000.773498	36.246049	12.085824	
9/13/2019 18:04:49.648101049	63.746528	34.559781	1000.909995	22.524769	28.516119	505.950999	62.261783	34.305507	999.125035	28.915540	12.100215	
9/13/2019 18:04:50.648101049	64.134214	34.565064	1000.885235	23.050722	28.547753	510.706398	62.739649	35.105500	1001.605387	41.802535	12.075968	
9/13/2019 18:04:51.648101049	63.562541	34.318695	1000.576453	21.274161	28.272023	505.240015	62.006592	34.315667	999.816720	26.675176	12.105064	
9/13/2019 18:04:52.648101049	64.620464	35.072505	1001.202848	24.379193	28.647963	507.920296	62.164005	34.340346	1000.743381	39.170218	12.096430	
9/13/2019 18:04:53.648101049	63.904230	34.573544	1000.856139	22.810688	28.477382	506.108700	61.994135	34.257471	999.063531	30.391385	12.104315	
9/13/2019 18:04:54.648101049	64.226207	34.650569	1001.567457	24.823754	28.702987	510.335139	62.193733	34.432282	1000.310328	33.136366	12.104552	
9/13/2019 18:04:55.648101049	63.628251	34.266800	999.979468	21.438181	28.393581	507.004973	62.070041	34.347946	1000.160041	24.993660	12.104236	
9/13/2019 18:04:56.648101049	64.331342	34.728119	1001.167286	23.405898	28.741561	511.690072	62.644791	34.598111	1000.668631	40.601007	12.085023	
9/13/2019 18:04:57.648101049	64.449619	34.511735	1000.407711	21.844985	28.279370	507.311838	61.588312	34.265862	999.909447	26.981715	12.084366	
9/13/2019 18:04:58.648101049	64.712457	34.748715	1001.728391	24.139398	28.669638	510.180049	62.367285	34.571358	1000.869546	40.064167	12.071040	
9/13/2019 18:04:59.648101049	64.219636	34.569352	999.904403	21.566298	28.331700	505.383264	62.013006	34.193654	999.458260	29.485912	12.105051	
9/13/2019 18:05:00.648101049	64.554754	34.986251	1002.202921	25.156657	28.811769	510.425814	62.199805	34.337034	999.547836	34.957526	12.088821	
9/13/2019 18:05:01.648101049	64.364197	34.541870	999.708850	23.537077	28.328027	510.291111	61.956075	34.420779	998.701599	32.683359	12.065678	
9/13/2019 18:05:02.648101049	64.127643	34.401143	999.244179	23.276359	28.775522	514.926921	62.459174	34.645406	1000.810244	29.248019	12.094183	
9/13/2019 18:05:03.648101049	64.390481	34.569652	1001.060837	22.352154	28.548448	508.072755	62.139562	34.288077	999.419149	27.165377	12.092724	
9/13/2019 18:05:04.648101049	64.738741	34.563267	1000.197413	23.977317	28.515670	515.169393	62.650968	34.751884	1001.110516	35.505890	12.069988	
9/13/2019 18:05:05.648101049	64.416764	34.450718	1001.963450	22.533915	28.528038	510.261546	62.134832	34.416017	999.670057	27.129223	12.091607	
9/13/2019 18:05:06.648101049	65.132998	34.931061	1000.439252	22.816686	28.411215	509.658319	62.134148	34.373461	1000.749847	39.271088	12.086534	
9/13/2019 18:05:07.648101049	64.896444	34.071664	1001.438850	20.333431	28.412276	508.453866	62.054035	34.344305	1000.394544	27.456461	12.093526	
9/13/2019 18:05:08.648101049	65.165852	34.929639	1001.678244	24.305006	28.573469	513.024619	62.048278	34.294077	1000.037027	33.654858	12.091738	
9/13/2019 18:05:09.648101049	64.502187	34.514131	999.853306	20.517987	28.175691	510.044693	61.937676	34.258497	1000.418830	27.720293	12.088032	
9/13/2019 18:05:10.648101049	64.679602	34.493460	1002.643621	24.887587	28.939532	519.290694	62.741909	34.579220	1000.144108	33.419586	12.085535	
9/13/2019 18:05:11.648101049	64.778166	34.590889	1000.587572	21.266241	28.325496	511.276091	61.852096	34.176530	999.454159	29.299629	12.099492	
9/13/2019 18:05:12.648101049	64.699315	34.402340	999.362061	22.372518	28.499057	517.212293	62.774422	34.687856	1001.134487	34.133535	12.097639	
9/13/2019 18:05:13.648101049	64.581038	34.245038	1000.106656	21.246737	28.285044	513.843362	62.265015	34.268974	1000.210977	26.614392	12.112108	
9/13/2019 18:05:14.648101049	65.310413	34.870044	1001.311742	22.478521	28.401541	514.119999	62.295951	34.377621	1001.062259	37.098060	12.094748	
9/13/2019 18:05:15.648101049	64.732170	34.241146	998.454876	20.694920	28.304106	512.820923	61.897751	34.386637	999.169505	32.336734	12.057438	
9/13/2019 18:05:16.648101049	65.218420	34.785394	1000.841393	24.755842	28.726090	517.721539	62.705558	34.438834	999.998709	37.862579	12.091462	
9/13/2019 18:05:17.648101049	64.863589	34.315444	999.845184	21.802544	28.389907	515.025480	62.193733	34.353132	1000.116357	25.322208	12.112529	
