
Time stamp	Inside_humidity (in %rH)	Inside_temperature (in °C)	Inside_pressure (in mbar)	Soil_moisture (in %VWC)	Soil_temperature (in °C)	Inside_CO2_ratio (in ppm)	Outside_humidity (in %rH)	Outside_temperature (in °C)	Outside_pressure (in mbar)	Outside_PAR (in µmol m^-2 s^-1)	Power_box_charge (in V)	
9/14/2019 12:00:08.858820149	64.482474	31.717919	1002.832785	-0.187059	26.652706	486.437893	63.983581	32.562505	1002.906114	12.040639	11.927951	
9/14/2019 12:00:09.858820149	64.370768	31.791800	1003.090628	0.128631	26.694994	488.530746	64.122780	32.582316	1002.607585	12.061337	11.916597	
9/14/2019 12:00:10.858820149	64.436477	31.655404	1002.762685	-0.093186	26.603437	487.325629	63.983581	32.482294	1002.772225	11.639512	11.942591	
9/14/2019 12:00:11.858820149	64.876731	31.746673	1004.162377	0.041698	26.682870	491.375306	63.952987	32.608986	1002.907221	19.569995	11.859364	
9/14/2019 12:00:12.858820149	64.594180	31.628970	1003.311413	0.092757	26.615071	490.421208	63.723950	32.495164	1002.289814	12.504900	11.929528	
9/14/2019 12:00:13.858820149	64.949011	31.573149	1004.624840	-0.009228	26.698422	493.011476	63.545483	32.642291	1002.839880	15.549867	11.899736	
9/14/2019 12:00:14.858820149	64.942440	31.645384	1002.190855	0.077884	26.642868	491.645375	63.336421	32.545275	1002.437264	11.300750	11.927005	
9/14/2019 12:00:15.858820149	64.705886	31.713320	1002.179659	0.011257	26.778264	496.342295	63.436589	32.616976	1003.097883	14.092099	11.912260	
9/14/2019 12:00:16.858820149	65.047575	31.696681	1003.846971	-0.177487	26.661808	494.241559	63.336369	32.571945	1002.951220	15.243328	11.937584	
9/14/2019 12:00:17.858820149	65.448403	31.729660	1002.161759	0.134880	26.659604	495.985487	63.296287	32.538322	1002.885929	14.416715	11.918358	
9/14/2019 12:00:18.858820149	65.231562	31.618051	1002.275621	0.026561	26.576252	495.049787	62.947185	32.516849	1002.878677	14.291216	11.937584	
9/14/2019 12:00:19.858820149	65.435261	31.818310	1002.434190	-0.127352	26.701525	498.827427	62.994889	32.640323	1003.441204	23.339125	11.906162	
9/14/2019 12:00:20.858820149	65.527255	31.671145	1002.799351	-0.075406	26.628133	497.366703	63.118976	32.562293	1002.756456	11.034296	11.938741	
