
Time stamp	Inside_humidity (in %rH)	Inside_temperature (in °C)	Inside_pressure (in mbar)	Soil_moisture (in %VWC)	Soil_temperature (in °C)	Inside_CO2_ratio (in ppm)	Outside_humidity (in %rH)	Outside_temperature (in °C)	Outside_pressure (in mbar)	Outside_PAR (in µmol m^-2 s^-1)	Power_box_charge (in V)	
6/15/2019 14:54:36.964961149	75.495380	26.670564	1004.668445	43.157498	25.970462	516.857463	82.279407	25.915659	1002.819381	9.281512	12.196400	
6/15/2019 14:54:37.964961149	75.561090	26.618669	1003.823315	42.825791	25.946951	516.981652	82.768469	25.889095	1003.084637	16.566423	12.197149	
6/15/2019 14:54:38.964961149	75.626799	26.538093	1004.294452	42.565557	25.874661	520.131109	82.890347	25.826739	1002.261585	16.719173	12.203194	
6/15/2019 14:54:39.964961149	75.679367	26.580418	1005.137217	42.211176	25.852292	520.704096	82.972720	25.777347	1003.114917	19.322929	12.142899	
6/15/2019 14:54:40.964961149	76.093336	26.501339	1004.132571	43.861419	26.168760	524.239927	83.211719	25.912653	1003.309208	6.461873	12.161338	
6/15/2019 14:54:41.964961149	75.764789	26.661293	1004.067833	41.942585	25.972462	524.044767	83.209826	25.891794	1003.178314	14.349379	12.171220	
6/15/2019 14:54:42.964961149	76.178759	26.672062	1004.038343	43.207746	25.987484	529.839034	83.556720	25.885983	1002.677133	10.042099	12.190565	
6/15/2019 14:54:43.964961149	76.165617	26.559480	1003.659778	42.425798	25.890539	528.175267	83.260685	25.790216	1002.605220	18.217027	12.204850	
6/15/2019 14:54:44.964961149	76.343032	26.621812	1004.362265	42.552516	25.929725	532.443101	83.598615	25.870627	1002.996797	13.550017	12.178343	
6/15/2019 14:54:45.964961149	76.211613	26.596832	1004.368416	42.739816	25.867885	531.479141	83.418939	25.797064	1002.384120	18.379991	12.188699	
6/15/2019 14:54:46.964961149	76.349603	26.602404	1002.567922	43.364005	25.897070	537.148557	83.781892	25.812832	1003.312202	13.652197	12.181248	
6/15/2019 14:54:47.964961149	76.375887	26.667014	1003.681226	42.996262	25.943318	536.130064	83.450191	25.854964	1002.600804	10.291787	12.164032	
6/15/2019 14:54:48.964961149	76.343032	26.577092	1004.707555	42.390022	25.937317	538.401637	83.761180	25.766139	1002.852184	17.712410	12.166818	
6/15/2019 14:54:49.964961149	76.553302	26.689107	1004.910361	43.105212	25.927603	539.681662	83.570413	25.865442	1002.263163	11.978545	12.156081	
6/15/2019 14:54:50.964961149	76.566444	26.705564	1004.616956	42.919151	25.966503	543.772734	83.679964	25.888682	1002.615315	11.099012	12.159524	
6/15/2019 14:54:51.964961149	76.737289	26.687278	1002.634473	43.071484	25.901275	543.972494	83.723096	25.927597	1002.381598	10.360434	12.175255	
6/15/2019 14:54:52.964961149	76.711005	26.650824	1002.663097	42.572180	25.889723	546.118563	83.444724	25.816674	1003.080221	17.571455	12.189067	
6/15/2019 14:54:53.964961149	76.842424	26.693523	1003.693684	43.086648	25.967646	547.007614	83.726565	25.823934	1002.931192	13.610801	12.203470	
6/15/2019 14:54:54.964961149	77.019839	26.719883	1003.883795	43.372314	25.981524	549.767414	83.809465	25.767907	1002.628719	14.599066	12.151770	
6/15/2019 14:54:55.964961149	77.151258	26.693299	1002.718686	43.133469	25.962543	550.884475	83.445223	25.870627	1002.992539	10.512913	12.190841	
6/15/2019 14:54:56.964961149	77.151258	26.628614	1002.567687	42.611034	25.888253	552.742740	83.569362	25.809203	1002.210019	12.470056	12.199449	
6/15/2019 14:54:57.964961149	77.124975	26.608200	1002.943335	42.166362	25.817759	553.247386	83.224676	25.799138	1002.559328	16.651837	12.181484	
6/15/2019 14:54:58.964961149	77.157829	26.713189	1002.436793	42.994537	25.995076	557.137393	83.459916	25.852266	1002.757720	9.678708	12.192536	
6/15/2019 14:54:59.964961149	77.243252	26.761460	1003.594016	43.096515	25.984055	557.113080	83.640933	25.865336	1002.698896	10.227071	12.200566	
6/15/2019 14:55:00.964961149	77.446951	26.672436	1003.452320	42.843645	25.945277	558.882637	83.273827	25.829744	1002.768759	12.524287	12.181261	
6/15/2019 14:55:01.964961149	77.466664	26.618519	1002.812126	42.346689	25.876375	557.726147	83.427509	25.749958	1002.388535	17.005015	12.199764	
6/15/2019 14:55:02.964961149	77.644079	26.682381	1003.484018	42.850102	25.907275	561.265261	83.084925	25.778490	1003.023448	16.486252	12.203694	
6/15/2019 14:55:03.964961149	77.683505	26.698496	1003.652603	43.113248	25.935032	561.448591	83.328050	25.819892	1002.870160	16.839430	12.202498	
6/15/2019 14:55:04.964961149	77.926630	26.703843	1001.762535	43.011669	25.928827	562.321213	83.218342	25.830993	1003.031964	14.597756	12.182759	
6/15/2019 14:55:05.964961149	77.795211	26.644579	1002.309132	42.558525	25.880580	560.814494	83.012540	25.797995	1002.215221	14.637841	12.198069	
6/15/2019 14:55:06.964961149	77.867491	26.778398	1004.608991	43.377953	25.991443	563.007221	83.347448	25.898853	1002.368823	9.650146	12.191695	
6/15/2019 14:55:07.964961149	77.808353	26.714012	1003.440886	43.009507	25.926827	563.358766	82.954058	25.835142	1002.852498	15.457901	12.197268	
