,,,,,,,,,,,
Time stamp,Inside_humidity (in %rH),Inside_temperature (in �C),Inside_pressure (in mbar),Soil_moisture (in %VWC),Soil_temperature (in �C),Inside_CO2_ratio (in ppm),Outside_humidity (in %rH),Outside_temperature (in �C),Outside_pressure (in mbar),Outside_PAR (in �mol m^-2 s^-1),Power_box_charge (in V)
6/15/2019 15:32:33.683364349,79.017407,25.509042,1007.06458,44.477277,25.553254,480.8401,82.505683,25.759917,1002.269944,12.27591,12.131519
6/15/2019 15:32:34.683364349,79.089687,25.281676,1005.460979,43.00529,25.375775,481.307298,82.592894,25.677538,1002.493094,9.511812,12.130165
6/15/2019 15:32:35.683364349,78.853133,25.30441,1005.88591,43.834643,25.500517,484.969296,82.632872,25.785655,1002.748411,15.430921,12.135291
6/15/2019 15:32:36.683364349,79.221106,25.228882,1005.686337,42.903302,25.36557,479.872856,82.695584,25.657715,1001.452886,12.046921,12.165464
6/15/2019 15:32:37.683364349,79.24739,25.251242,1005.067512,42.720854,25.357611,481.585903,82.755564,25.617362,1002.375289,10.699195,12.141888
6/15/2019 15:32:38.683364349,79.753352,25.444324,1007.309413,43.551258,25.463984,482.337621,83.046394,26.006251,1002.639758,19.008526,12.107968
6/15/2019 15:32:39.683364349,79.365667,25.330096,1004.953256,43.276169,25.379203,481.075341,83.054278,25.668923,1001.335395,12.910998,12.141033
6/15/2019 15:32:40.683364349,80.147609,25.719769,1005.955931,45.37176,25.627749,484.404182,83.32027,25.756487,1001.530788,13.246099,12.129285
6/15/2019 15:32:41.683364349,79.80592,25.360979,1004.099137,43.545092,25.46276,483.329179,83.24573,25.76179,1001.937348,6.518725,12.156107
6/15/2019 15:32:42.683364349,80.141038,25.421889,1005.180032,43.610818,25.511252,485.310979,83.658438,25.882047,1002.209069,14.319778,12.149116
6/15/2019 15:32:43.683364349,79.950481,25.277302,1004.486533,42.879273,25.35312,482.854098,83.436182,25.659895,1001.665626,14.345447,12.15888
6/15/2019 15:32:44.683364349,80.279028,25.519511,1005.563882,44.228938,25.490026,485.104651,83.364716,25.726506,1002.340279,20.816851,12.148117
6/15/2019 15:32:45.683364349,80.43673,25.392536,1005.725448,43.342636,25.432431,484.479753,83.354282,25.744772,1002.01825,7.113727,12.16394
6/15/2019 15:32:46.683364349,80.246173,25.363374,1005.34767,43.804634,25.570194,487.792174,83.706248,25.894598,1002.194087,12.570925,12.130967
6/15/2019 15:32:47.683364349,80.331595,25.341089,1006.746967,42.774227,25.401858,486.476668,83.80455,25.661451,1000.956593,2.798584,12.1447
6/15/2019 15:32:48.683364349,81.212102,25.577577,1004.2473,42.705861,25.613299,486.147457,83.319376,25.84272,1002.412821,15.340265,12.114
6/15/2019 15:32:49.683364349,80.627288,25.313532,1003.983935,42.715671,25.358753,483.724751,83.468195,25.692894,1001.849351,17.289546,12.144818
6/15/2019 15:32:50.683364349,80.929551,25.348082,1005.53305,43.781014,25.55403,487.564164,83.849705,25.812832,1002.305269,19.771734,12.150443
6/15/2019 15:32:51.683364349,80.916409,25.315029,1004.169867,42.688729,25.335854,483.651811,83.44136,25.698492,1001.956746,15.657019,12.164492
6/15/2019 15:32:52.683364349,81.139821,25.563108,1005.99362,43.793926,25.492312,484.124261,83.56576,25.850085,1002.160813,19.659069,12.145318
6/15/2019 15:32:53.683364349,81.33695,25.42514,1004.801939,43.562731,25.382591,485.859653,83.751745,25.792503,1002.410299,7.641393,12.139509
6/15/2019 15:32:54.683364349,81.13325,25.368871,1005.406651,44.160232,25.521742,487.255983,83.917517,25.79519,1002.099466,17.53137,12.156883
6/15/2019 15:32:55.683364349,81.146392,25.367898,1006.939759,43.807955,25.244624,484.709079,83.464384,25.679918,1001.661054,11.988758,12.133398
6/15/2019 15:32:56.683364349,81.810058,25.427012,1005.556784,43.320989,25.403042,486.461554,83.685089,25.834317,1002.783585,23.192927,12.149681
6/15/2019 15:32:57.683364349,81.382946,25.424766,1006.978553,43.329214,25.453412,486.047583,83.855014,25.762203,1001.88499,6.435933,12.148774
6/15/2019 15:32:58.683364349,81.75749,25.690159,1006.260926,43.383426,25.436186,487.407769,83.879905,25.997107,1001.383809,5.368807,12.133937
6/15/2019 15:32:59.683364349,81.770632,25.404277,1005.357053,43.013228,25.397572,484.584227,83.626345,25.798725,1001.831053,8.566254,12.155871
6/15/2019 15:33:00.683364349,81.948047,25.470609,1005.605987,43.308767,25.470474,485.369458,83.948269,25.936518,1001.99838,16.439614,12.147525
6/15/2019 15:33:01.683364349,82.040041,25.34666,1005.436141,42.734195,25.364754,484.585543,83.524574,25.712811,1001.854081,15.863999,12.167133
6/15/2019 15:33:02.683364349,81.842912,25.542096,1005.766292,43.958467,25.484067,486.332103,83.58337,25.758149,1002.068557,17.822453,12.156541
6/15/2019 15:33:03.683364349,82.17803,25.398556,1005.882756,43.188188,25.416267,485.763062,83.797137,25.741555,1002.23872,10.867401,12.167777
6/15/2019 15:33:04.683364349,82.276594,25.412543,1005.696824,43.461794,25.434186,486.363647,83.877487,25.873432,1002.733592,18.169078,12.15269
6/15/2019 15:33:05.683364349,82.263453,25.393808,1005.70605,42.942554,25.361896,485.523222,83.593648,25.731385,1002.13369,14.676616,12.16779
6/15/2019 15:33:06.683364349,82.559145,25.647235,1006.225602,44.17266,25.527457,485.822194,83.906897,25.83929,1002.031182,9.731628,12.148971
6/15/2019 15:33:07.683364349,82.256882,25.372945,1003.973605,43.008241,25.346875,484.488952,83.776373,25.709181,1001.82538,17.060556,12.145988
6/15/2019 15:33:08.683364349,82.585429,25.443127,1006.318252,43.876622,25.549459,489.10768,83.734187,25.897816,1002.716873,10.423838,12.14148
6/15/2019 15:33:09.683364349,82.45401,25.478009,1005.555522,43.334454,25.428186,485.653325,83.819715,25.762827,1001.957061,8.365826,12.159301
6/15/2019 15:33:10.683364349,82.808841,25.59474,1006.036752,44.044851,25.484067,486.037068,83.937834,25.84272,1002.515172,14.931546,12.144542
6/15/2019 15:33:11.683364349,82.506577,25.467989,1006.067347,43.12029,25.424227,484.336504,83.533905,25.785549,1001.738326,7.747504,12.163729
6/15/2019 15:33:12.683364349,82.80227,25.463391,1006.073418,44.073274,25.567296,488.079325,83.831201,25.850498,1002.418973,15.309354,12.156068
6/15/2019 15:33:13.683364349,82.683993,25.388611,1005.591636,42.873566,25.367529,484.762305,83.78389,25.725574,1002.019829,15.837019,12.151074
6/15/2019 15:33:14.683364349,83.104533,25.572797,1007.169216,43.720479,25.452841,485.851107,83.868866,25.935069,1002.841616,8.051423,12.105195
6/15/2019 15:33:15.683364349,82.670851,25.419344,1005.59345,43.137492,25.40892,483.818058,83.645006,25.705033,1002.615472,12.307093,12.100136
6/15/2019 15:33:16.683364349,83.051966,25.54879,1005.035181,44.965052,25.519742,485.604046,83.912312,25.812727,1001.932618,14.540904,12.132136
6/15/2019 15:33:17.683364349,82.723419,25.485003,1004.541966,43.549105,25.358508,481.104907,83.672841,25.901551,1002.42481,12.952394,12.09685
6/15/2019 15:33:18.683364349,83.255665,25.433556,1006.928246,42.824875,25.476679,485.784744,83.74959,25.952605,1003.182729,16.245739,12.116182
6/15/2019 15:33:19.683364349,82.966543,25.489002,1004.74288,43.284936,25.427043,484.805017,83.875489,25.79935,1002.033547,8.698305,12.151389
6/15/2019 15:33:20.683364349,83.255665,25.631643,1005.117976,44.517131,25.508681,486.139574,83.845394,25.841989,1002.443416,11.569825,12.135921
6/15/2019 15:33:21.683364349,83.091391,25.40555,1004.480067,42.901373,25.335283,482.854098,83.652786,25.73875,1001.843199,15.698415,12.15227
6/15/2019 15:33:22.683364349,83.111104,25.439951,1006.24011,43.260273,25.449779,485.859,84.061131,25.890862,1002.622096,20.344727,12.146014
