
Time stamp	Inside_humidity (in %rH)	Inside_temperature (in °C)	Inside_pressure (in mbar)	Soil_moisture (in %VWC)	Soil_temperature (in °C)	Inside_CO2_ratio (in ppm)	Outside_humidity (in %rH)	Outside_temperature (in °C)	Outside_pressure (in mbar)	Outside_PAR (in µmol m^-2 s^-1)	Power_box_charge (in V)	
6/15/2019 17:40:36.663326449	83.183385	24.280107	1000.780756	38.082519	24.945424	521.479475	82.312893	25.423860	1001.801566	-5.649080	12.020549	
6/15/2019 17:40:37.663326449	82.756273	24.281679	1003.531803	38.856900	24.890481	519.536439	81.972675	25.230759	1002.412349	0.573676	12.040932	
6/15/2019 17:40:38.663326449	83.222810	24.445109	1000.855744	37.812564	24.969833	519.934633	81.958587	25.216958	1002.526525	11.922732	12.012703	
6/15/2019 17:40:39.663326449	82.651138	24.276183	1001.309454	38.678035	24.866358	520.149507	81.907570	25.335977	1001.602544	-0.589077	12.029985	
6/15/2019 17:40:40.663326449	83.012540	24.224586	1001.673039	38.533628	24.819089	525.977940	81.890065	25.310863	1002.408248	12.226651	12.045781	
6/15/2019 17:40:41.663326449	82.657709	24.227912	1001.839573	38.257645	24.793251	524.603955	81.686418	25.236262	1001.735961	6.572956	12.070435	
6/15/2019 17:40:42.663326449	83.065108	24.308338	1004.054509	39.195190	24.940893	530.546072	82.009788	25.374986	1002.344223	0.439274	12.036450	
6/15/2019 17:40:43.663326449	82.854837	24.328453	1001.801961	39.672140	24.752188	527.374270	82.101624	25.512367	1002.967309	-0.389959	12.003004	
6/15/2019 17:40:44.663326449	83.051966	24.239953	1002.248733	39.231901	24.936648	534.510325	82.121941	25.302248	1002.384277	9.342296	12.061473	
6/15/2019 17:40:45.663326449	82.986256	24.313909	1003.262604	38.871432	24.875460	533.179704	82.041644	25.265726	1002.359834	1.621415	12.064889	
6/15/2019 17:40:46.663326449	83.157101	24.333650	1000.825859	39.024740	24.880563	535.927673	81.981059	25.253999	1002.149774	8.236395	12.054192	
6/15/2019 17:40:47.663326449	82.959973	24.260966	1001.190231	38.713419	24.827580	535.615556	81.892877	25.312419	1002.189042	2.767402	12.048002	
6/15/2019 17:40:48.663326449	83.354229	24.296896	1000.868991	38.756918	24.806640	538.953595	81.730260	25.253587	1002.232883	9.672155	12.043337	
6/15/2019 17:40:49.663326449	83.347658	24.254945	1002.462419	38.449864	24.829825	539.374797	81.775547	25.240411	1002.416765	7.307603	12.064351	
6/15/2019 17:40:50.663326449	83.104533	24.403158	1003.272776	38.089717	24.656713	541.491300	82.123597	25.387125	1001.768606	-1.005660	12.052549	
6/15/2019 17:40:51.663326449	83.012540	24.264216	1003.256690	38.336929	24.852479	540.962340	82.041934	25.359218	1001.224213	-0.400173	12.058227	
6/15/2019 17:40:52.663326449	83.518503	24.238456	1001.986000	38.269596	24.787006	544.454143	81.963292	25.235013	1001.923787	7.725496	12.059002	
6/15/2019 17:40:53.663326449	83.439651	24.287550	1002.467072	38.619584	24.849704	545.577119	82.020932	25.299137	1002.129904	2.991149	12.043705	
6/15/2019 17:40:54.663326449	83.268807	24.287175	1001.924811	38.399119	24.825294	547.606883	81.903811	25.286479	1002.309370	5.932626	12.062445	
6/15/2019 17:40:55.663326449	83.426509	24.353358	1002.790362	38.808862	24.868848	547.480727	81.883494	25.324758	1002.229097	-0.142893	12.039053	
6/15/2019 17:40:56.663326449	83.525074	24.286577	1002.813072	38.481052	24.814518	549.865320	81.852295	25.318229	1001.904231	-0.739206	12.061696	
6/15/2019 17:40:57.663326449	83.492219	24.217742	1002.043562	38.061082	24.759821	550.198467	82.051317	25.270605	1002.114135	8.171680	12.051813	
6/15/2019 17:40:58.663326449	83.538215	24.360758	1002.512569	38.902990	24.847377	553.696185	82.015465	25.323002	1002.293915	1.651287	12.060185	
6/15/2019 17:40:59.663326449	83.597354	24.308637	1003.208828	38.768548	24.861541	553.300613	81.937718	25.312419	1002.410142	5.504519	12.068648	
6/15/2019 17:41:00.663326449	83.525074	24.260217	1001.521250	38.486088	24.792966	555.244300	81.781171	25.266456	1001.969993	7.946622	12.051997	
6/15/2019 17:41:01.663326449	83.643351	24.208321	1002.383411	37.681133	24.883338	554.110809	81.813369	25.192681	1002.460763	6.367286	12.048199	
6/15/2019 17:41:02.663326449	83.360800	24.297121	1002.697398	38.416271	24.842275	555.328408	81.746608	25.304428	1001.667991	1.356272	12.047122	
6/15/2019 17:41:03.663326449	83.715631	24.308188	1002.520691	38.566423	24.811130	556.454669	81.761354	25.245702	1002.305111	8.294558	12.066480	
6/15/2019 17:41:04.663326449	83.511932	24.339745	1002.417474	38.756890	24.877420	557.342405	81.972518	25.334104	1001.687704	-2.215051	12.048620	
6/15/2019 17:41:05.663326449	83.728773	24.340643	1001.549005	38.888292	24.880563	558.215027	82.139446	25.323520	1002.193300	-1.970606	12.063102	
6/15/2019 17:41:06.663326449	83.511932	24.265564	1001.746528	38.122678	24.784475	558.115805	81.986711	25.269049	1002.028974	6.223710	12.069673	
6/15/2019 17:41:07.663326449	83.787911	24.324004	1001.907858	38.482445	24.844560	558.890520	82.039778	25.286373	1002.392951	6.874253	12.061026	
6/15/2019 17:41:08.663326449	83.656492	24.276108	1001.709073	38.279502	24.788435	560.242822	81.945892	25.291877	1001.854395	4.759389	12.060605	
6/15/2019 17:41:09.663326449	83.741915	24.202450	1003.007678	38.212334	24.675979	561.072732	82.179082	25.293845	1001.182894	2.264366	12.046793	
6/15/2019 17:41:10.663326449	83.709060	24.281604	1001.378608	38.272830	24.809130	561.654919	81.899396	25.300692	1001.846986	2.155633	12.064797	
6/15/2019 17:41:11.663326449	83.663063	24.366030	1000.878217	38.638909	24.788435	561.960469	81.850035	25.307233	1001.941763	3.556550	12.037055	
6/15/2019 17:41:12.663326449	84.031036	24.271584	1001.584567	38.538459	24.760392	564.804375	81.706736	25.294882	1001.878367	10.343396	12.019221	
6/15/2019 17:41:13.663326449	83.741915	24.281604	1001.661763	38.186192	24.798354	563.992864	81.670517	25.260434	1001.703002	5.437183	12.064193	
6/15/2019 17:41:14.663326449	84.070462	24.382819	1003.585579	38.887191	24.863827	566.700752	81.929281	25.336802	1002.156397	1.851715	12.060079	
6/15/2019 17:41:15.663326449	83.768198	24.377547	1001.416850	38.965686	24.885665	566.124481	82.145518	25.364816	1001.895400	-2.976948	12.041471	
6/15/2019 17:41:16.663326449	83.801053	24.192805	1001.848799	39.690637	25.032123	568.193672	81.805747	25.216440	1003.099934	4.927594	12.026633	
6/15/2019 17:41:17.663326449	83.807624	24.371601	1000.691970	38.995851	24.745657	567.296737	82.053078	25.292289	1002.184626	8.050112	12.039118	
6/15/2019 17:41:18.663326449	84.195310	24.577955	1002.929456	37.729375	24.691858	569.058410	81.730207	25.259915	1002.433956	5.028464	12.032271	
6/15/2019 17:41:19.663326449	83.853621	24.409328	1002.406593	39.633054	24.743983	566.470111	82.021274	25.551482	1002.746367	-3.899188	11.996420	
6/15/2019 17:41:20.663326449	83.630209	24.218865	1003.180598	40.014522	24.736309	566.161930	82.020118	25.195792	1002.319937	6.574267	12.048252	
6/15/2019 17:41:21.663326449	83.814195	24.297719	1001.386335	38.395856	24.788149	567.799415	82.010735	25.248189	1001.752680	6.226331	12.050066	
6/15/2019 17:41:22.663326449	84.123029	24.398934	1002.109087	38.979225	24.894155	569.877806	82.054786	25.370213	1002.206547	-2.315920	12.063299	
6/15/2019 17:41:23.663326449	84.096746	24.371751	1001.182426	38.640330	24.832641	569.827211	81.982058	25.267387	1002.256854	6.799325	12.063378	
6/15/2019 17:41:24.663326449	84.077033	24.288149	1002.367562	38.021868	24.840601	571.619765	81.831583	25.314493	1002.744945	5.604078	12.036411	
6/15/2019 17:41:25.663326449	83.912759	24.297495	1001.118635	38.277700	24.783618	570.441594	81.865989	25.234495	1002.033547	7.761650	12.068175	
