
Time stamp	Inside_humidity (in %rH)	Inside_temperature (in °C)	Inside_pressure (in mbar)	Soil_moisture (in %VWC)	Soil_temperature (in °C)	Inside_CO2_ratio (in ppm)	Outside_humidity (in %rH)	Outside_temperature (in °C)	Outside_pressure (in mbar)	Outside_PAR (in µmol m^-2 s^-1)	Power_box_charge (in V)	
3/18/2019 11:33:17.392944149	75.028843	28.986765	1001.333583	39.314183	25.975605	477.306900	72.256613	30.093518	1003.119804	355.722617	12.016199	
3/18/2019 11:33:18.392944149	75.344249	28.857844	1003.278768	38.762070	25.922868	477.167598	72.481367	30.075982	1002.443416	355.789682	12.093683	
3/18/2019 11:33:19.392944149	75.344249	28.674749	1002.133373	40.214951	26.123492	477.254989	72.375285	30.112610	1003.384588	348.102608	12.015752	
3/18/2019 11:33:20.392944149	75.659654	28.820192	1003.401698	39.490050	25.939889	477.594052	72.468120	30.032612	1002.506970	290.438499	12.079713	
3/18/2019 11:33:21.392944149	75.955346	28.841804	1003.159702	39.450875	26.034507	480.081162	72.488043	30.060001	1002.687065	304.824655	12.052037	
3/18/2019 11:33:22.392944149	75.712221	28.762426	1003.360774	39.443892	26.019485	476.827220	72.096650	30.002831	1003.080535	303.769324	12.079280	
3/18/2019 11:33:23.392944149	75.935634	28.965603	1002.371268	39.926637	25.947236	480.373566	72.473350	30.038623	1002.903434	333.502920	12.021916	
3/18/2019 11:33:24.392944149	75.994772	28.811070	1003.203623	39.016471	25.954869	477.754384	72.189695	30.032400	1002.565165	295.819456	12.082618	
3/18/2019 11:33:25.392944149	76.119620	28.926454	1002.938525	39.834865	25.962829	477.849659	72.346689	30.179009	1001.926152	264.511766	11.984382	
3/18/2019 11:33:26.392944149	76.402171	28.969527	1002.598991	37.489507	25.747510	475.149653	72.065004	29.945036	1002.030232	260.371112	12.018656	
3/18/2019 11:33:27.392944149	76.711005	28.900019	1003.273486	39.323709	25.958053	477.438319	72.068711	30.125786	1002.704098	247.455558	12.033940	
3/18/2019 11:33:28.392944149	76.592728	28.851375	1003.280976	39.283084	25.912989	476.149758	72.242605	30.064362	1002.502711	229.117651	12.081803	
3/18/2019 11:33:29.392944149	76.461309	28.890449	1003.114442	39.214396	25.956910	478.117760	72.275013	30.192609	1002.649061	206.648263	12.046596	
3/18/2019 11:33:30.392944149	76.559873	28.846627	1004.039132	39.135055	25.920337	475.999941	72.073521	30.081274	1002.345009	163.916316	12.069791	
3/18/2019 11:33:31.392944149	76.737289	28.738237	1003.185566	40.072250	26.113246	476.979668	72.301401	30.084173	1003.022819	151.292116	12.041537	
3/18/2019 11:33:32.392944149	76.927846	28.757154	1002.855415	39.374397	26.025159	475.653647	72.053414	29.988512	1002.926619	132.719975	12.060342	
3/18/2019 11:33:33.392944149	77.131546	28.825464	1003.643771	40.402924	26.063161	476.255548	72.237690	30.065293	1002.872525	136.839661	12.039762	
