
Time stamp	Inside_humidity (in %rH)	Inside_temperature (in °C)	Inside_pressure (in mbar)	Soil_moisture (in %VWC)	Soil_temperature (in °C)	Inside_CO2_ratio (in ppm)	Outside_humidity (in %rH)	Outside_temperature (in °C)	Outside_pressure (in mbar)	Outside_PAR (in µmol m^-2 s^-1)	Power_box_charge (in V)	
7/20/2019 13:13:18.209850849	64.186781	33.401927	1001.424420	26.488849	26.831083	470.353521	68.586004	33.985833	1002.410771	79.130210	11.757633	
7/20/2019 13:13:19.209850849	64.173639	33.307257	1004.371491	27.289023	26.911904	470.468510	68.052364	34.151533	1002.769860	30.800104	11.706563	
7/20/2019 13:13:20.209850849	63.989653	33.302509	1003.938517	26.716983	26.882882	468.284981	67.946020	34.051924	1003.075334	86.645692	11.771800	
7/20/2019 13:13:21.209850849	64.009366	33.334590	1003.621851	26.131254	27.082078	469.745705	67.991755	34.109401	1002.953427	63.158433	11.738971	
7/20/2019 13:13:22.209850849	64.410193	33.295142	1002.151982	26.359797	26.819736	469.320567	67.587063	33.974212	1003.078799	90.320234	11.773561	
7/20/2019 13:13:23.209850849	64.548183	33.349283	1002.903515	26.902427	26.871943	468.660840	67.304170	34.088553	1003.378279	168.971347	11.774586	
7/20/2019 13:13:24.209850849	64.646747	33.371194	1002.760400	26.225731	26.770998	469.028816	67.287769	34.065937	1002.643224	258.972817	11.800751	
7/20/2019 13:13:25.209850849	64.738741	33.324495	1002.552467	27.412359	26.935294	469.449354	67.254520	34.161386	1002.600961	276.255392	11.777267	
7/20/2019 13:13:26.209850849	64.916156	33.359827	1003.930790	26.250031	26.766753	468.017544	67.282302	34.143755	1002.031968	218.826550	11.780513	
7/20/2019 13:13:27.209850849	65.270988	33.445824	1002.569895	26.425303	26.758018	469.815362	67.381813	34.205179	1003.109237	158.598764	11.740666	
7/20/2019 13:13:28.209850849	65.264417	33.343412	1003.121774	26.404680	26.861411	468.888197	67.186445	34.029615	1002.949326	153.678406	11.771024	
7/20/2019 13:13:29.209850849	65.316984	33.472259	1002.230124	26.998555	26.865085	471.496865	67.380209	34.126631	1002.526997	145.111526	11.758093	
7/20/2019 13:13:30.209850849	65.303842	33.328719	1002.911951	26.700596	26.762181	470.271381	67.098106	34.136590	1002.790995	131.815813	11.797926	
7/20/2019 13:13:31.209850849	65.376123	33.302809	1002.609083	26.952069	26.935946	471.649313	67.043882	34.158899	1003.163645	134.643315	11.774914	
7/20/2019 13:13:32.209850849	65.757238	33.387010	1002.934818	25.773763	26.856554	470.922561	66.865468	34.050475	1002.863851	89.357908	11.745016	
7/20/2019 13:13:33.209850849	65.882086	33.430458	1002.398313	27.573039	26.898230	472.211123	66.611119	34.184320	1002.837358	101.665628	11.742073	
7/20/2019 13:13:34.209850849	66.059501	33.486952	1001.128490	25.951183	26.918884	471.715675	66.833769	33.978667	1003.130371	156.868259	11.758618	
7/20/2019 13:13:35.209850849	66.158066	33.346182	1002.765130	27.005859	26.878678	474.924275	66.743484	34.206111	1002.623196	402.473369	11.804063	
7/20/2019 13:13:36.209850849	66.256630	33.434607	1001.720901	26.259513	26.824267	474.904561	66.603629	34.090108	1002.797932	894.040469	11.895714	
7/20/2019 13:13:37.209850849	66.453758	33.397254	1002.926696	27.223909	26.924925	473.546343	66.283860	34.115317	1003.351471	674.175952	11.851479	
7/20/2019 13:13:38.209850849	66.394620	33.381813	1002.931507	26.751943	26.772672	472.763744	65.978942	34.124969	1002.523846	736.752794	11.864082	
7/20/2019 13:13:39.209850849	66.644316	33.382861	1002.809366	27.239880	26.944110	475.327731	65.880035	34.122165	1003.110973	106.926329	11.772286	
7/20/2019 13:13:40.209850849	66.683741	33.412696	1003.257084	26.821639	26.812919	473.252624	65.896936	34.166783	1002.653005	123.475301	11.764913	
7/20/2019 13:13:41.209850849	67.018860	33.404472	1003.366293	26.916804	26.815776	473.903804	65.881639	34.253629	1002.994432	57.316875	11.762232	
7/20/2019 13:13:42.209850849	66.716596	33.406825	1003.788622	25.971574	26.782060	473.813128	65.804286	34.113349	1003.076277	457.845227	11.814813	
7/20/2019 13:13:43.209850849	67.097711	33.513236	1002.917313	26.750542	26.913863	474.495852	65.842712	34.107221	1002.785472	653.706425	11.822159	
7/20/2019 13:13:44.209850849	67.268556	33.360650	1003.359118	26.486766	26.758508	473.463551	65.787385	34.217106	1002.484735	281.341334	11.818480	
7/20/2019 13:13:45.209850849	67.564248	33.419689	1003.922196	26.355239	26.842145	475.574802	66.067518	34.227277	1003.536139	115.665076	11.748223	
7/20/2019 13:13:46.209850849	67.229130	33.328569	1003.950898	26.758238	26.802714	474.186356	65.932840	34.173112	1002.961944	117.970155	11.794364	
7/20/2019 13:13:47.209850849	67.340836	33.470687	1003.450821	27.256539	26.820879	475.039916	66.035373	34.273027	1002.480634	306.396398	11.774454	
7/20/2019 13:13:48.209850849	67.511681	33.407873	1004.456099	26.794175	26.795367	475.187113	65.995290	34.222504	1002.507127	551.010577	11.847089	
7/20/2019 13:13:49.209850849	67.774519	33.372317	1003.538189	26.979605	26.870718	478.038251	65.992136	34.313910	1002.646853	416.371943	11.822738	
7/20/2019 13:13:50.209850849	67.695667	33.322848	1003.516978	26.772134	26.866800	474.557615	65.858509	34.170307	1002.814966	142.468996	11.794259	
7/20/2019 13:13:51.209850849	67.689096	33.489122	1004.520205	26.440449	26.800510	476.559782	66.009246	34.259026	1002.806921	112.335577	11.739733	
7/20/2019 13:13:52.209850849	67.741664	33.392057	1002.783739	26.713547	26.783448	475.819895	66.025043	34.226028	1002.624932	183.781951	11.799792	
7/20/2019 13:13:53.209850849	68.030786	33.387384	1003.132104	27.381915	26.937906	477.944945	66.103947	34.332484	1002.667509	270.763082	11.795508	
7/20/2019 13:13:54.209850849	68.195059	33.407873	1003.352732	26.593377	26.863371	475.668762	66.073799	34.139701	1003.073755	347.404116	11.808978	
