,,,,,,,,,,,
Time stamp,Inside_humidity (in %rH),Inside_temperature (in �C),Inside_pressure (in mbar),Soil_moisture (in %VWC),Soil_temperature (in �C),Inside_CO2_ratio (in ppm),Outside_humidity (in %rH),Outside_temperature (in �C),Outside_pressure (in mbar),Outside_PAR (in �mol m^-2 s^-1),Power_box_charge (in V)
7/20/2019 10:46:58.537353249,81.159534,28.051604,1005.582016,20.047023,25.86817,522.476937,79.061905,28.890563,1004.962401,15.12045,11.889091
7/20/2019 10:46:59.537353249,81.396088,28.129261,1005.960503,20.838887,25.971319,524.249126,79.183546,28.888065,1005.271026,17.567524,11.877973
7/20/2019 10:47:00.537353249,81.382946,28.254482,1004.936302,21.222967,26.046467,530.65383,79.398626,28.984668,1005.748235,21.646085,11.88754
7/20/2019 10:47:01.537353249,81.672068,28.418211,1007.560398,23.602142,26.263295,534.258654,79.606451,29.147647,1006.0455,25.238105,11.891049
7/20/2019 10:47:02.537353249,81.435514,28.328139,1006.8065,22.121897,26.097123,543.18398,79.461419,29.063841,1005.890169,24.124341,11.894794
7/20/2019 10:47:03.537353249,81.691781,28.451789,1006.409483,24.409662,26.325299,547.713336,79.876335,29.312534,1006.659913,22.578809,11.866447
7/20/2019 10:47:04.537353249,81.304095,28.243265,1005.815101,21.320632,25.993729,551.770896,79.15424,29.018704,1005.275127,21.622765,11.894269
7/20/2019 10:47:05.537353249,81.48151,28.349302,1007.030596,23.378934,26.264316,555.308042,79.151138,29.174222,1005.692091,101.114643,11.88231
7/20/2019 10:47:06.537353249,81.205531,28.215782,1005.808478,21.070096,26.050957,565.960865,79.073838,29.133975,1005.945364,50.43151,11.896476
7/20/2019 10:47:07.537353249,81.40923,28.218028,1005.59274,22.846242,26.220436,567.221828,79.275934,29.199019,1005.952616,36.535551,11.88712
7/20/2019 10:47:08.537353249,81.179247,28.253734,1006.051812,21.506461,26.13288,576.173435,79.052521,29.165312,1006.263606,42.375528,11.8985
7/20/2019 10:47:09.537353249,81.724635,28.440913,1007.163144,24.154914,26.310686,578.134215,79.213616,29.235458,1006.683884,26.32489,11.866776
7/20/2019 10:47:10.537353249,81.100396,28.37009,1005.260776,22.669927,25.929725,587.299369,78.888353,29.138642,1005.809896,52.378169,11.862111
7/20/2019 10:47:11.537353249,81.580075,28.355055,1006.866742,24.007808,26.30591,588.624716,79.27877,29.177523,1006.176395,46.876954,11.853371
7/20/2019 10:47:12.537353249,81.580075,28.313371,1005.774177,21.899913,26.10198,591.389125,79.196478,29.139891,1006.240899,45.220068,11.903823
7/20/2019 10:47:13.537353249,81.744348,28.546309,1006.659836,24.734925,26.42755,595.137198,79.382173,29.268339,1006.58532,27.215947,11.892297
7/20/2019 10:47:14.537353249,81.639213,28.34773,1006.438027,21.981271,26.172556,599.871565,79.187304,29.174646,1006.339778,60.101671,11.902574
7/20/2019 10:47:15.537353249,81.961189,28.428979,1008.204298,24.257545,26.170841,602.944144,79.244892,29.350305,1006.298616,57.873102,11.874832
7/20/2019 10:47:16.537353249,102.830494,31.000852,1015.561366,44.701371,28.587919,636.67151,82.427122,31.885913,1138.137018,2863.884198,12.48376
7/20/2019 10:47:17.537353249,102.725359,31.045006,1017.784266,46.920902,28.768747,634.077296,82.111951,31.304843,1136.327535,2849.771109,12.384867
7/20/2019 10:47:18.537353249,103.007909,37.172374,1110.18568,81.84,34.927344,637.196523,63.648515,31.56955,1138.78344,2874.154556,12.504774
7/20/2019 10:47:19.537353249,101.739719,36.188119,1106.787902,81.84,34.101582,630.622943,62.479596,30.596502,1134.521846,2839.436035,12.373276
7/20/2019 10:47:20.537353249,101.207473,35.712107,1104.607507,81.84,33.512283,623.96855,62.463931,30.161896,1133.452624,2831.733266,12.345928
7/20/2019 10:47:21.537353249,20.450513,-28.779189,866.817526,81.84,-27.890683,386.608026,38.274312,-17.41786,825.967077,226.043083,-0.078118
7/20/2019 10:47:22.537353249,6.19153,-40.900886,821.946044,1.705656,-39.568004,138.593809,13.354429,-35.693252,804.582855,61.459881,-0.043857
7/20/2019 10:47:23.537353249,5.573859,-41.430368,819.916169,-0.020175,-40.088729,126.122783,12.118536,-36.58224,804.006766,56.901603,-0.021516
7/20/2019 10:47:24.537353249,177.298763,99.846262,1341.277336,81.84,25.851149,2154.498627,215.429138,123.754326,1241.833183,3663.425026,12.347518
