
Time stamp	Inside_humidity (in %rH)	Inside_temperature (in °C)	Inside_pressure (in mbar)	Soil_moisture (in %VWC)	Soil_temperature (in °C)	Inside_CO2_ratio (in ppm)	Outside_humidity (in %rH)	Outside_temperature (in °C)	Outside_pressure (in mbar)	Outside_PAR (in µmol m^-2 s^-1)	Power_box_charge (in V)	
7/20/2019 09:43:12.938486149	84.780124	27.108626	1004.203773	9.488407	25.060818	618.415440	82.398131	27.282854	1004.668916	9.085016	11.951028	
7/20/2019 09:43:13.938486149	84.885259	27.184753	1006.785368	9.911990	25.017509	616.281192	82.447544	27.378314	1005.452071	14.516274	11.910972	
7/20/2019 09:43:14.938486149	84.602708	27.091281	1004.789953	9.581454	24.987467	615.287667	82.391008	27.265942	1005.041888	12.131024	11.897107	
7/20/2019 09:43:15.938486149	84.891830	27.190624	1006.000244	9.881668	25.118046	616.047267	82.466705	27.408921	1004.760543	9.346228	11.897134	
7/20/2019 09:43:16.938486149	84.622421	27.126163	1004.388601	9.695480	24.970445	615.741718	82.396028	27.269784	1004.757863	8.213076	11.920276	
7/20/2019 09:43:17.938486149	84.957539	27.105674	1006.383462	9.483917	25.073023	616.959317	82.408723	27.265942	1004.729948	7.050323	11.932222	
7/20/2019 09:43:18.938486149	84.898401	27.102573	1003.783889	9.833733	25.162293	620.832240	82.767655	27.440988	1005.436931	12.215126	11.916242	
7/20/2019 09:43:19.938486149	84.852404	27.093184	1006.188541	9.609311	25.052328	615.810059	82.388353	27.268535	1004.730105	9.391556	11.931946	
7/20/2019 09:43:20.938486149	85.134954	27.199371	1005.094952	10.067486	25.106208	616.242428	82.473223	27.382887	1005.317553	9.215487	11.889735	
7/20/2019 09:43:21.938486149	84.878688	27.031194	1005.743268	9.869934	25.013223	615.327094	82.534807	27.306106	1004.934807	13.912098	11.937506	
7/20/2019 09:43:22.938486149	84.885259	27.241247	1005.790263	10.604007	25.118087	616.731960	82.599622	27.339400	1005.019332	14.152882	11.928346	
7/20/2019 09:43:23.938486149	84.931255	27.092960	1004.706766	9.460481	25.045225	616.609087	82.234566	27.274451	1004.565936	8.589573	11.948058	
7/20/2019 09:43:24.938486149	84.858975	27.120891	1004.473681	10.039981	25.135353	619.079766	82.579357	27.396157	1005.155114	13.211255	11.923825	
7/20/2019 09:43:25.938486149	85.082387	27.114197	1005.580992	9.550579	25.069308	616.731307	82.403755	27.285034	1004.964294	10.907487	11.941553	
7/20/2019 09:43:26.938486149	84.872117	27.128184	1005.278991	9.882743	25.108739	617.842453	82.555938	27.415567	1005.373062	15.187516	11.921735	
7/20/2019 09:43:27.938486149	84.872117	27.067723	1004.628624	9.682639	24.985752	615.440768	82.535069	27.304751	1004.917931	11.723615	11.941895	
7/20/2019 09:43:28.938486149	85.246661	27.215337	1006.058121	10.102311	25.120372	617.939044	82.502319	27.324668	1005.213781	11.255422	11.926808	
7/20/2019 09:43:29.938486149	84.740698	27.051757	1004.963743	9.497368	25.043797	617.778059	82.482344	27.282442	1004.839237	10.370647	11.942315	
7/20/2019 09:43:30.938486149	84.964110	27.135584	1005.169230	10.183719	25.164824	619.224984	82.534203	27.317715	1004.793974	8.619445	11.929857	
7/20/2019 09:43:31.938486149	85.167809	27.040989	1005.529029	9.711697	25.021999	617.153161	82.291235	27.293861	1004.902162	15.168128	11.935534	
7/20/2019 09:43:32.938486149	84.872117	27.058975	1005.051110	9.844203	25.114699	620.021381	82.428882	27.423547	1005.264717	14.591474	11.922589	
7/20/2019 09:43:33.938486149	84.996965	27.087388	1005.069325	9.655285	24.989793	616.944855	82.251572	27.301734	1004.881499	8.549487	11.931500	
7/20/2019 09:43:34.938486149	84.937826	27.218480	1006.888978	9.746998	25.040857	617.447533	82.334734	27.332976	1004.899797	9.669534	11.875265	
7/20/2019 09:43:35.938486149	85.003536	27.089334	1005.692488	9.562263	25.050368	619.270979	82.156871	27.253179	1005.196276	9.021611	11.894085	
7/20/2019 09:43:36.938486149	85.174380	27.215711	1005.519566	10.193358	25.143598	619.792708	82.358415	27.320202	1004.805170	10.589423	11.913942	
