
Time stamp	Inside_humidity (in %rH)	Inside_temperature (in °C)	Inside_pressure (in mbar)	Soil_moisture (in %VWC)	Soil_temperature (in °C)	Inside_CO2_ratio (in ppm)	Outside_humidity (in %rH)	Outside_temperature (in °C)	Outside_pressure (in mbar)	Outside_PAR (in µmol m^-2 s^-1)	Power_box_charge (in V)	
7/11/2019 17:37:23.440703849	80.784990	25.927513	993.972965	13.359706	25.750776	518.586277	79.702992	26.612898	993.552923	77.585989	12.261557	
7/11/2019 17:37:24.440703849	80.535295	26.033699	994.815178	14.095834	25.857884	520.060800	79.627453	26.662184	994.181212	84.074159	12.227822	
7/11/2019 17:37:25.440703849	80.890125	25.968490	993.899713	13.262011	25.759552	518.847147	79.739106	26.644341	993.688391	82.330549	12.234485	
7/11/2019 17:37:26.440703849	81.304095	25.935554	995.014356	13.433725	25.787635	521.800791	79.724913	26.757337	994.296653	90.162512	12.240228	
7/11/2019 17:37:27.440703849	81.100396	25.981579	992.473922	13.839047	25.646239	520.041086	79.733430	26.610718	993.982033	83.475225	12.235891	
7/11/2019 17:37:28.440703849	81.330379	26.060957	994.029581	13.959121	25.750286	520.226384	79.699286	26.645166	993.972888	82.669311	12.239006	
7/11/2019 17:37:29.440703849	81.336950	25.996497	994.035810	13.249787	25.771716	520.746808	79.519610	26.657623	994.034077	84.093546	12.245551	
7/11/2019 17:37:30.440703849	81.126679	25.940302	995.927061	14.623111	25.738898	521.721936	79.534356	26.789806	993.476437	86.816248	12.227323	
7/11/2019 17:37:31.440703849	81.461798	25.885711	994.025875	13.317374	25.708814	522.179934	79.725255	26.676090	993.777338	87.640239	12.256695	
7/11/2019 17:37:32.440703849	81.764061	25.914317	993.245483	13.477214	25.730407	524.611186	79.762683	26.777879	994.196038	88.641339	12.241069	
7/11/2019 17:37:33.440703849	81.790345	26.050937	994.691066	14.965185	26.124227	529.296275	79.435554	26.797679	994.787580	90.989125	12.187004	
7/11/2019 17:37:34.440703849	81.455227	25.912445	994.671116	13.188332	25.700610	525.300478	79.469093	26.693108	993.931411	86.675293	12.256090	
7/11/2019 17:37:35.440703849	81.961189	25.943670	994.196824	13.596641	25.753388	526.928102	79.944095	26.765010	994.568531	86.495563	12.232619	
7/11/2019 17:37:36.440703849	82.066324	25.885711	993.564909	13.423859	25.685589	526.226327	79.584321	26.648595	993.740277	87.496663	12.251622	
7/11/2019 17:37:37.440703849	82.493436	26.139362	994.295626	14.047892	25.762205	528.015587	79.512040	26.685837	993.932990	83.266934	12.231962	
7/11/2019 17:37:38.440703849	82.053182	25.992048	993.662055	13.319707	25.729836	527.051637	79.559983	26.685424	993.464769	78.318014	12.253331	
7/11/2019 17:37:39.440703849	81.934905	26.042340	994.261405	14.106582	25.963605	531.044803	79.687091	26.801733	994.205655	86.703854	12.211947	
7/11/2019 17:37:40.440703849	82.118892	25.976083	993.840969	13.139051	25.720407	528.742339	79.536853	26.682937	993.870379	79.435710	12.222211	
7/11/2019 17:37:41.440703849	82.506577	26.047687	992.918249	13.727927	25.747143	530.869357	79.741866	26.824360	993.913906	83.616180	12.212985	
7/11/2019 17:37:42.440703849	82.440868	26.013061	995.307684	13.129625	25.753021	530.461301	79.432033	26.690928	993.944344	80.276468	12.236351	
7/11/2019 17:37:43.440703849	82.572287	26.156226	993.370226	14.176946	25.794493	531.661155	79.414028	26.737716	994.198717	83.924030	12.230372	
7/11/2019 17:37:44.440703849	82.256882	25.971784	994.805242	13.522409	25.659260	530.390992	79.658942	26.654818	993.778124	82.318754	12.254211	
7/11/2019 17:37:45.440703849	82.513148	25.946098	993.768346	14.102330	25.841435	535.078712	79.716739	26.735747	993.780804	83.763688	12.252792	
7/11/2019 17:37:46.440703849	82.683993	25.944750	992.377014	13.422846	25.669424	533.321638	79.338489	26.714274	993.425344	87.774641	12.217650	
7/11/2019 17:37:47.440703849	82.986256	26.020953	994.913979	13.519326	25.697834	535.221299	79.567658	26.802781	994.454198	84.804873	12.223564	
7/11/2019 17:37:48.440703849	82.611713	25.987225	992.552536	13.488037	25.713386	533.911708	79.465439	26.721640	993.530846	79.466622	12.256563	
7/11/2019 17:37:49.440703849	82.841696	26.144859	993.612457	13.809448	25.807473	535.721346	79.459920	26.790949	994.067351	90.203909	12.221409	
7/11/2019 17:37:50.440703849	82.881121	26.039421	995.564503	13.204399	25.750205	536.567686	79.590577	26.737928	993.784905	83.229469	12.247916	
7/11/2019 17:37:51.440703849	83.084820	25.940377	994.509155	13.975508	25.806861	538.737415	79.570470	26.795098	994.109299	88.094286	12.252503	
7/11/2019 17:37:52.440703849	82.605142	26.002592	995.039983	13.072132	25.766369	536.593968	79.501344	26.727863	993.544250	80.625714	12.223709	
7/11/2019 17:37:53.440703849	83.012540	26.104255	994.892925	13.419721	25.788207	540.045690	79.694608	26.857253	994.318888	84.217735	12.231265	
7/11/2019 17:37:54.440703849	83.301662	25.940003	992.783413	13.848109	25.689017	537.171555	79.578749	26.684906	993.296971	81.417213	12.228637	
7/11/2019 17:37:55.440703849	83.176814	26.150505	994.091874	13.855239	25.849966	540.866401	79.421151	26.797066	993.988657	88.279258	12.233920	
7/11/2019 17:37:56.440703849	82.920547	26.019530	994.239247	13.304590	25.722448	538.971340	79.452140	26.743738	993.655589	78.422815	12.261689	
7/11/2019 17:37:57.440703849	83.189956	25.971484	994.271260	13.557987	25.809065	544.366098	79.763182	26.826741	994.033919	88.086423	12.231673	
7/11/2019 17:37:58.440703849	83.275378	25.982926	994.511758	13.392518	25.673996	540.527339	79.562348	26.676397	993.731918	80.126339	12.232474	
7/11/2019 17:37:59.440703849	83.255665	26.093787	994.817385	13.391002	25.768655	544.443628	79.439156	26.834944	994.614109	88.768149	12.232855	
7/11/2019 17:38:00.440703849	83.446222	26.093113	992.796660	12.615667	25.735183	544.079599	79.279850	26.737928	993.502144	80.841598	12.230911	
7/11/2019 17:38:01.440703849	83.498790	26.171892	994.778512	13.774259	25.836373	547.408439	79.688642	26.826741	994.008369	85.469833	12.240018	
7/11/2019 17:38:02.440703849	83.216239	25.961315	995.000952	13.186138	25.690977	545.726937	79.547050	26.719460	993.624680	86.813627	12.249138	
7/11/2019 17:38:03.440703849	83.426509	26.020129	993.924708	13.371377	25.834087	549.748363	79.573781	26.833388	994.581621	84.707936	12.217453	
7/11/2019 17:38:04.440703849	83.623638	25.987525	994.768025	13.237928	25.718203	547.560888	79.492118	26.791880	994.062935	85.136043	12.252910	
7/11/2019 17:38:05.440703849	83.485648	26.094086	993.380870	13.639759	25.688772	550.279291	79.743470	26.816889	994.574368	92.574743	12.200080	
7/11/2019 17:38:06.440703849	83.544786	26.024503	993.417616	13.455961	25.702896	547.958429	79.634024	26.719873	993.524537	79.363132	12.256077	
7/11/2019 17:38:07.440703849	83.833908	26.125193	995.524288	14.136048	25.797840	550.243147	79.732483	26.763136	993.660319	80.928322	12.240806	
7/11/2019 17:38:08.440703849	83.380513	26.046040	993.602522	13.386840	25.715345	548.911874	79.737346	26.716761	993.545986	79.610198	12.267103	
7/11/2019 17:38:09.440703849	83.656492	26.077522	993.995675	13.435730	25.839434	552.775600	79.814094	26.832139	994.180740	83.261962	12.221343	
7/11/2019 17:38:10.440703849	83.741915	26.004164	993.250450	13.521088	25.726407	549.779897	79.654341	26.710327	993.406102	79.775783	12.249533	
7/11/2019 17:38:11.440703849	83.695918	26.099582	994.061279	13.882102	25.732408	551.008663	79.645562	26.762311	993.874638	87.428016	12.244184	
7/11/2019 17:38:12.440703849	83.728773	26.062230	994.364227	13.289240	25.734081	551.404236	79.367927	26.787732	993.671043	80.641170	12.239361	
7/11/2019 17:38:13.440703849	84.063891	26.024353	994.619310	14.178959	25.794452	553.453714	79.757558	26.711470	993.967050	87.112573	12.246931	
7/11/2019 17:38:14.440703849	83.610496	26.035646	995.064112	13.391097	25.722734	552.379364	79.747833	26.739483	993.640449	80.783435	12.257799	
7/11/2019 17:38:15.440703849	83.847050	26.063577	993.252421	13.640797	25.771757	555.997334	79.702441	26.834319	994.167651	87.698402	12.227467	
7/11/2019 17:38:16.440703849	84.070462	26.001769	993.805327	13.399504	25.666036	554.412422	79.337884	26.727757	993.902238	87.435879	12.227783	
7/11/2019 17:38:17.440703849	83.840479	26.161872	994.414455	13.456608	25.775186	556.936318	79.573677	26.812634	994.362414	86.287272	12.235550	
7/11/2019 17:38:18.440703849	83.912759	26.044692	992.903898	13.802450	25.671996	555.669439	79.724151	26.718835	993.758726	83.580026	12.256853	
7/11/2019 17:38:19.440703849	84.077033	26.145607	993.545906	13.890724	25.851068	559.165188	79.629765	26.849157	993.671043	88.975130	12.227257	
7/11/2019 17:38:20.440703849	83.991611	25.961839	991.908321	13.497463	25.860701	556.787816	79.374550	26.833906	993.299179	80.535059	12.221120	
7/11/2019 17:38:21.440703849	83.840479	26.069149	993.716146	13.516542	25.784819	560.980741	79.568157	26.872916	993.929046	81.405688	12.245078	
7/11/2019 17:38:22.440703849	84.037607	26.025252	995.205965	13.496752	25.709141	559.857764	79.591629	26.792505	993.894351	87.165494	12.254973	
7/11/2019 17:38:23.440703849	84.339870	26.173913	994.983447	13.913305	25.726203	560.726439	79.638991	26.787107	993.903025	82.691319	12.224037	
7/11/2019 17:38:24.440703849	83.873334	26.052958	993.551900	13.434172	25.693017	560.217193	79.427512	26.755877	993.555288	79.711067	12.242620	
7/11/2019 17:38:25.440703849	83.958756	26.126241	994.781114	14.027727	25.815964	564.480427	79.788153	26.803289	993.835527	80.910245	12.250045	
7/11/2019 17:38:26.440703849	84.044178	26.050713	994.421158	13.066479	25.757266	563.030219	79.589079	26.758575	993.984241	80.523534	12.253107	
7/11/2019 17:38:27.440703849	84.261019	26.036993	994.959871	13.606023	25.732938	565.849160	79.631816	26.824360	994.029818	86.670051	12.224445	
7/11/2019 17:38:28.440703849	84.221594	26.056958	994.396240	13.382872	25.710815	563.598607	79.396918	26.752871	993.594085	78.977731	12.264173	
7/11/2019 17:38:29.440703849	84.136171	26.094310	994.907828	13.295132	25.753919	565.968748	79.561534	26.799352	994.189729	83.083272	12.242581	
7/11/2019 17:38:30.440703849	84.182168	26.017402	993.893641	13.758393	25.753348	568.182505	79.890685	26.837642	994.030447	85.015786	12.215811	
7/11/2019 17:38:31.440703849	84.169026	26.108854	992.886393	13.459148	25.724979	566.514138	79.449538	26.734298	993.758411	79.186023	12.256366	
7/11/2019 17:38:32.440703849	84.720985	26.173389	995.566316	14.104750	25.731305	566.566702	79.423306	26.775381	994.119866	91.519411	12.221672	
7/11/2019 17:38:33.440703849	84.208452	26.035421	993.205111	13.512737	25.692120	568.043855	79.704439	26.715618	993.705739	82.154480	12.260493	
7/11/2019 17:38:34.440703849	84.287303	26.130765	993.479040	14.571082	25.841149	570.617040	79.793934	26.761475	993.791843	84.649773	12.234419	
7/11/2019 17:38:35.440703849	84.326729	26.008687	995.241370	13.371591	25.672853	570.675519	79.437500	26.737409	994.009948	85.711657	12.231384	
7/11/2019 17:38:36.440703849	84.589566	26.080141	993.914064	13.737523	25.746245	571.132201	79.582955	26.813259	994.084227	83.944728	12.242383	
7/11/2019 17:38:37.440703849	84.254448	26.141758	994.049294	13.263188	25.742857	572.920157	79.611893	26.766978	993.948916	80.555757	12.248192	
7/11/2019 17:38:38.440703849	84.359583	26.166321	993.340655	13.671993	25.745469	573.585135	79.604034	26.816264	994.268266	88.416281	12.202826	
7/11/2019 17:38:39.440703849	84.333300	26.083168	993.394354	13.534136	25.676241	573.393922	79.551361	26.742806	993.695014	82.591761	12.262017	
7/11/2019 17:38:40.440703849	84.477860	26.151927	994.183657	14.369141	25.711386	575.229188	79.877938	26.836393	993.093219	85.525374	12.230516	
7/11/2019 17:38:41.440703849	84.622421	26.050937	993.385129	13.414634	25.671139	576.547978	79.607188	26.732117	993.723558	87.148727	12.260046	
7/11/2019 17:38:42.440703849	84.510715	26.075244	994.291999	13.787037	25.747960	575.527507	79.681072	26.833800	993.861391	82.830964	12.233959	
7/11/2019 17:38:43.440703849	84.326729	26.061556	994.443945	13.251272	25.697508	577.791859	79.430220	26.816370	994.097945	86.244565	12.257904	
7/11/2019 17:38:44.440703849	84.602708	26.168492	993.472022	13.771297	25.737551	576.860095	79.647113	26.779424	994.233727	86.038895	12.219793	
7/11/2019 17:38:45.440703849	84.569853	26.072998	994.857758	13.541191	25.700610	577.814857	79.484048	26.744362	993.572322	80.456198	12.259941	
7/11/2019 17:38:46.440703849	84.740698	26.109378	994.557569	14.153410	25.786411	580.693591	79.395419	26.766566	993.842622	88.543091	12.227008	
7/11/2019 17:38:47.440703849	84.399009	26.082719	993.280098	13.139058	25.709100	580.547058	79.643040	26.803194	994.093372	87.065935	12.251675	
7/11/2019 17:38:48.440703849	84.471289	26.163444	994.154167	13.405120	25.770900	581.772541	79.813437	26.871466	994.290973	83.745611	12.219648	
