"Measuring point","Date","Time","CO2 [ppm/min]","T_i [°C]","P_i [hPa]","rH_i [%]","SM [%]","ST [°C]","rH_o [%]","T_o [°C]","P_o [hPa]","PAR [µmol m-2 s-1]","F_CO2 [µmol m-2 s-1]","V_ch [m3]","A_ch [m2]","start [s]","end [s]"
"Anel1rep1","7/11/2019","16:56:34","27.4219404665633","26.4557181646091","994.432914971193","84.6498404650206","24.4997774320988","26.7310771193416","81.1414279794239","26.7612807613169","994.374760880658","191.198528897119","5.89700672485924","0.01587","0.0491","61","360"
"Anel1rep2","7/11/2019","17:05:24","27.2896263680944","26.3779581239669","994.341415524793","84.5808231239669","23.908130785124","26.7351873223141","78.4170833181818","26.346857285124","994.329281586777","161.120774454545","5.86953638291446","0.01587","0.0491","61","360"
"Anel1rep3","7/11/2019","17:14:18","26.8720613051963","26.3005264916667","994.134819008333","84.4752044958333","23.7703670041667","26.7366510875","78.1618817166667","26.422054025","994.166247545833","133.941889933333","5.78001854989525","0.01587","0.0491","61","360"
"Anel2rep1","7/11/2019","17:28:03","45.2219136411817","26.3377093651452","994.094281771784","85.3139512780083","13.3175310497925","25.8244581701245","79.1631009585062","26.8303434149378","993.897043116183","81.8406576846473","9.72535704414995","0.01587","0.0491","61","360"
"Anel2rep2","7/11/2019","17:37:23","10.2436575681641","26.1786007433333","994.0568366","84.8748765433333","13.82576807","25.72799541","79.3512477066667","26.80087912","993.969969526667","79.9401002166667","2.20407363581148","0.01587","0.0491","61","360"
"Anel2rep3","7/11/2019","17:55:40","41.7958400782913","26.0064183791667","994.072142433333","85.3231298458333","15.1809849166667","25.6645350125","78.7172886041667","26.9249171458333","994.071661508333","55.6504205583333","8.99830446498385","0.01587","0.0491","61","360"
"Anel3rep1","7/11/2019","18:08:48","33.2282751077449","26.0140173166667","994.3155080875","85.37906495","7.90307105","25.6332497416667","79.5158383958333","26.6330392875","994.0701258375","3.608350275","7.15534701341507","0.01587","0.0491","61","360"
"Anel3rep2","7/11/2019","18:17:54","4.41229726997856","25.6964249066667","994.438837563333","84.5543679133333","6.30796317666667","25.56297351","79.5724640533333","26.3655007266667","994.430479446667","3.95600523666667","0.951267859730706","0.01587","0.0491","61","360"
"Anel3rep3","7/11/2019","18:27:52","31.7366153972943","25.552017473029","994.599205775934","85.1183498921162","6.94234323651452","25.5282041659751","78.7214880497925","26.2361642904564","994.491068016598","5.24791041908714","6.84665757196325","0.01587","0.0491","61","360"
"Anel4rep1","7/11/2019","18:43:56","21.7827974055413","25.502255125523","994.619321108787","85.5973673598326","13.6160210209205","26.4526257698745","79.1843358661088","25.918466209205","994.692612087866","4.67749125104602","4.70016161968097","0.01587","0.0491","61","360"
"Anel4rep2","7/11/2019","18:52:29","20.8462961656977","25.2852015756303","994.70086807563","85.512562789916","12.598398","26.3195094411765","79.344182","25.8344439789916","994.67794094958","4.70050903781513","4.50172953132036","0.01587","0.0491","61","360"
"Anel4rep3","7/11/2019","19:00:21","20.6068148673327","25.2841184208333","994.703438095833","85.6772761916667","12.8648372708333","26.260126825","79.3019080875","25.7185945958333","994.703212325","4.05776561666667","4.45004151678793","0.01587","0.0491","61","360"
