
Time stamp	Inside_humidity (in %rH)	Inside_temperature (in °C)	Inside_pressure (in mbar)	Soil_moisture (in %VWC)	Soil_temperature (in °C)	Inside_CO2_ratio (in ppm)	Outside_humidity (in %rH)	Outside_temperature (in °C)	Outside_pressure (in mbar)	Outside_PAR (in µmol m^-2 s^-1)	Power_box_charge (in V)	
7/16/2019 14:40:11.717636649	74.779147	27.869140	996.850016	4.740191	24.500214	559.738828	77.119245	26.510590	996.267937	5.357012	11.998786	
7/16/2019 14:40:12.717636649	74.536022	27.918758	995.738212	4.434192	24.724962	559.842650	77.278552	26.645378	995.872887	7.475808	11.989613	
7/16/2019 14:40:13.717636649	74.687154	27.795558	995.837248	3.893192	24.656876	559.627123	77.257550	26.645272	995.659833	-0.815445	12.011744	
7/16/2019 14:40:14.717636649	74.897424	27.934724	995.973740	4.142773	24.692348	560.184344	77.419168	26.628985	996.061506	7.611521	12.001046	
7/16/2019 14:40:15.717636649	74.516309	27.900248	997.130806	3.676939	24.576994	558.910234	77.341264	26.501669	995.874466	3.322318	11.982582	
7/16/2019 14:40:16.717636649	74.798860	27.880882	995.513012	4.207307	24.675326	559.822284	77.561654	26.744987	996.397567	7.047701	12.003990	
7/16/2019 14:40:17.717636649	74.864570	27.933077	995.816826	3.968805	24.635650	556.760219	77.357165	26.554797	995.764863	7.638772	12.023453	
7/16/2019 14:40:18.717636649	74.825144	27.865365	995.686958	4.031059	24.665693	557.666353	77.145292	26.732848	996.469481	4.870742	12.000416	
7/16/2019 14:40:19.717636649	74.647728	27.906268	995.469722	4.083401	24.643855	555.947391	76.852359	26.600865	995.725595	8.048802	12.018696	
7/16/2019 14:40:20.717636649	74.857999	27.887875	994.707860	4.197135	24.654386	557.953504	76.844080	26.706496	996.016557	7.577988	11.983844	
7/16/2019 14:40:21.717636649	74.877711	27.858372	997.171493	3.795908	24.700511	556.017700	76.674339	26.754639	996.401511	0.704418	11.955142	
7/16/2019 14:40:22.717636649	74.595161	27.907391	996.702958	4.366425	24.647896	556.103124	77.068833	26.696844	996.174103	9.262125	11.975525	
7/16/2019 14:40:23.717636649	74.706867	27.821169	996.137357	4.035778	24.671653	556.563090	76.746620	26.627323	996.040528	-0.225685	12.016133	
7/16/2019 14:40:24.717636649	74.903995	27.865665	996.155414	4.019642	24.631691	556.309451	76.720388	26.745611	996.183091	4.010597	11.988049	
7/16/2019 14:40:25.717636649	74.700296	27.869065	994.891427	3.846695	24.684959	555.877082	76.759761	26.604601	995.694843	1.806387	12.020115	
7/16/2019 14:40:26.717636649	74.746293	27.907017	995.458998	4.021520	24.729452	555.907963	76.672131	26.673391	995.791356	4.436083	11.966956	
7/16/2019 14:40:27.717636649	74.752863	27.901670	996.093043	4.038979	24.631977	554.135122	76.405035	26.599828	996.132312	6.631119	12.013794	
7/16/2019 14:40:28.717636649	74.798860	27.885255	996.609756	4.131060	24.695491	556.360046	76.612888	26.743431	996.311935	3.940639	12.007118	
7/16/2019 14:40:29.717636649	74.614874	27.911690	996.415387	4.233537	24.594260	554.168635	76.664851	26.632615	995.679546	7.064468	12.008366	
7/16/2019 14:40:30.717636649	74.871140	27.953640	995.903562	4.097188	24.713328	555.599130	76.690688	26.712613	996.005518	2.423398	11.985591	
7/16/2019 14:40:31.717636649	74.890853	27.847528	995.982414	3.927789	24.710185	554.052330	76.594988	26.608855	995.670557	0.311154	12.025779	
7/16/2019 14:40:32.717636649	74.713438	27.980150	995.598487	4.112918	24.697205	554.256027	76.582950	26.665920	996.103925	2.587672	12.006645	
7/16/2019 14:40:33.717636649	74.582019	27.853025	996.444168	4.120988	24.592301	553.624561	76.378699	26.663845	995.813120	3.406421	12.009286	
7/16/2019 14:40:34.717636649	74.785718	27.894452	997.189155	4.135884	24.718186	553.843371	76.391893	26.702961	996.349153	-1.863184	11.983607	
7/16/2019 14:40:35.717636649	74.647728	27.905894	995.716606	4.152138	24.633650	552.426675	76.533485	26.600759	995.953160	6.671204	12.024005	
7/16/2019 14:40:36.717636649	74.877711	27.922982	996.420592	4.176845	24.683572	553.618645	76.715211	26.687711	996.292380	2.964169	11.987576	
7/16/2019 14:40:37.717636649	74.857999	27.845325	997.040758	4.353978	24.802272	555.589278	76.801133	26.710951	996.743410	2.528199	11.949412	
7/16/2019 14:40:38.717636649	74.903995	27.805353	996.133021	3.862689	24.670469	554.139722	76.577930	26.676503	995.694843	-0.551612	12.005239	
7/16/2019 14:40:39.717636649	74.588590	28.008605	994.809026	4.473293	24.773373	554.090442	76.855566	26.731705	996.312250	5.649406	11.989639	
7/16/2019 14:40:40.717636649	74.542593	27.874786	996.555113	3.808150	24.656346	553.071287	76.540318	26.628466	996.047152	4.906896	11.995290	
7/16/2019 14:40:41.717636649	74.568877	27.928329	995.033832	4.557104	24.733126	555.830434	76.626634	26.797797	996.485250	11.503799	11.981176	
7/16/2019 14:40:42.717636649	74.608303	27.884432	994.976192	4.019414	24.622629	551.715701	76.650211	26.638012	996.215579	6.099522	11.998195	
7/16/2019 14:40:43.717636649	74.746293	27.907241	995.898437	4.415471	24.711573	551.764981	77.028304	26.721947	996.163221	9.015059	12.004568	
