
Time stamp	Inside_humidity (in %rH)	Inside_temperature (in °C)	Inside_pressure (in mbar)	Soil_moisture (in %VWC)	Soil_temperature (in °C)	Inside_CO2_ratio (in ppm)	Outside_humidity (in %rH)	Outside_temperature (in °C)	Outside_pressure (in mbar)	Outside_PAR (in µmol m^-2 s^-1)	Power_box_charge (in V)	
7/16/2019 15:01:00.541417749	76.395600	27.002364	994.993934	6.123485	24.126641	512.385269	78.776884	26.650469	995.166225	5.606699	11.985158	
7/16/2019 15:01:01.541417749	76.408742	27.147400	996.074434	6.339728	24.170521	512.253850	78.882466	26.686155	995.149192	1.969351	11.983357	
7/16/2019 15:01:02.541417749	76.106478	27.046710	996.462225	6.844262	24.068760	510.343675	78.672353	26.629397	994.929986	5.377710	11.973041	
7/16/2019 15:01:03.541417749	76.566444	27.041438	995.145328	6.068457	24.142153	512.976002	78.562960	26.772069	995.549758	8.414814	11.976103	
7/16/2019 15:01:04.541417749	76.461309	27.109674	995.476031	6.054574	24.194850	512.218370	78.695825	26.649526	995.052678	-2.503514	12.009562	
7/16/2019 15:01:05.541417749	76.605870	27.020425	995.993847	6.688549	24.082680	509.175355	78.824432	26.802781	994.899706	0.254302	11.962948	
7/16/2019 15:01:06.541417749	76.546731	27.067872	994.642887	6.129307	24.102477	511.411457	78.695273	26.616846	995.158023	5.296228	12.010075	
7/16/2019 15:01:07.541417749	76.665008	27.085185	996.078141	6.045186	24.196319	512.710533	78.722161	26.792198	995.429273	6.010176	11.948505	
7/16/2019 15:01:08.541417749	76.612441	27.094457	994.689173	6.119003	24.123458	511.613185	78.632376	26.611448	995.087846	5.126712	12.000324	
7/16/2019 15:01:09.541417749	76.730718	27.141904	995.174582	6.051373	24.193176	513.723773	78.862306	26.689266	995.090054	-0.098876	11.988207	
7/16/2019 15:01:10.541417749	76.888421	27.357154	997.487216	6.657914	24.393514	516.454660	78.632743	26.703892	995.243655	3.762220	11.962541	
7/16/2019 15:01:11.541417749	76.802998	27.041663	996.376436	5.968328	24.141010	514.027355	78.579965	26.628985	994.980450	4.432151	11.979743	
7/16/2019 15:01:12.541417749	76.947559	27.267083	995.490776	6.750083	24.307958	515.195012	78.728390	26.640287	995.040690	1.176542	11.975131	
7/16/2019 15:01:13.541417749	76.940988	27.051608	994.698162	6.149788	24.125703	513.575272	78.625462	26.554384	994.936766	5.232823	12.009155	
7/16/2019 15:01:14.541417749	77.092120	27.330346	995.053545	6.605841	24.256649	515.813332	78.704366	26.581148	995.064346	2.225591	11.985368	
7/16/2019 15:01:15.541417749	77.190684	27.009058	994.886459	6.069706	24.143255	515.172014	78.570135	26.580429	995.203915	5.852455	12.005764	
7/16/2019 15:01:16.541417749	77.446951	27.230778	995.733954	6.365361	24.224647	514.903261	78.675875	26.543176	995.094626	2.484181	11.986025	
7/16/2019 15:01:17.541417749	77.302390	27.119170	995.164095	5.939823	24.189176	514.634507	78.572843	26.527302	994.943861	-1.433766	12.006894	
7/16/2019 15:01:18.541417749	77.446951	27.182657	994.580042	6.484844	24.196033	515.484131	78.610717	26.566417	995.414447	11.145379	11.970675	
7/16/2019 15:01:19.541417749	77.295819	27.067723	994.235541	6.179748	24.106722	514.209369	78.561409	26.499912	995.142569	6.444836	12.004227	
