Local,Ambiente,Measuring point,Date,Time,CO2 [ppm/min],T_i [°C],P_i [hPa],rH_i [%],SM [%],ST [°C],rH_o [%],T_o [°C],P_o [hPa],PAR [µmol m-2 s-1],F_CO2 [µmol m-2 s-1],V_ch [m3],A_ch [m2],start [s],end [s]
B do Acre,Floresta,anel1rep1,7/16/2019,16:31:19,15.55342056,25.32919467,994.366615,85.29829326,5.341631071,24.29806422,79.46156367,26.04622834,994.1311381,6.374995326,3.357116653,0.01587,0.0491,61,360
B do Acre,Floresta,anel1rep2,7/16/2019,16:39:59,14.48981269,25.28334194,994.4858099,85.10319496,6.664132808,24.26374051,80.30895511,26.0836069,994.442186,6.499990796,3.128398481,0.01587,0.0491,61,360
B do Acre,Floresta,anel1rep3,7/16/2019,16:48:30,13.72789649,25.2918248,994.6077608,85.07318761,7.306086029,24.26788414,80.0068054,26.15724482,994.5954691,5.853177092,2.964177451,0.01587,0.0491,61,360
B do Acre,Floresta,anel2rep1,7/16/2019,15:01:00,12.77967941,26.29137779,994.8557778,80.48571369,7.988239304,24.14110928,78.55612545,26.38512759,994.7558807,2.802012077,2.750909607,0.01587,0.0491,61,360
B do Acre,Floresta,anel2rep2,7/16/2019,15:01:46,12.54525118,27.17088198,995.1375596,80.08033966,7.068297631,24.15883909,78.87878413,26.46091849,995.1070851,2.621855273,2.693301638,0.01587,0.0491,61,360
B do Acre,Floresta,anel2rep3,7/16/2019,15:19:48,13.00003686,26.16931084,994.655928,81.58680908,8.110529602,24.10430756,78.55949274,26.28934061,994.5967722,3.150496216,2.798921827,0.01587,0.0491,61,360
B do Acre,Floresta,anel3rep1,7/16/2019,15:31:34,15.28173912,25.89728837,994.3564403,81.86210697,7.267929307,24.12408751,79.99920811,26.04753677,994.1968182,3.682068282,3.292176042,0.01587,0.0491,61,360
B do Acre,Floresta,anel3rep2,7/16/2019,15:40:04,15.43145831,25.47199657,994.3845934,82.57003246,6.976628774,24.09032478,79.60052381,25.86847676,994.2541904,4.437628552,3.329259201,0.01587,0.0491,61,360
B do Acre,Floresta,anel3rep3,7/16/2019,15:48:29,16.07985852,25.26118754,994.2925429,83.27565276,7.204389946,24.07779992,80.37655884,25.80021596,994.249835,4.118044238,3.471277642,0.01587,0.0491,61,360
B do Acre,Floresta,anel4rep1,7/16/2019,16:00:22,16.34145315,25.308446,994.2312379,84.13644505,2.083266883,24.37910147,80.6287091,25.82558958,994.0377394,8.482273917,3.526973938,0.01587,0.0491,61,360
B do Acre,Floresta,anel4rep2,7/16/2019,16:08:56,15.32122952,25.38397413,994.4095524,84.29915799,2.292237404,24.3498302,80.91993896,25.98038731,994.3879114,13.65137885,3.306535504,0.01587,0.0491,61,360
B do Acre,Floresta,anel4rep3,7/16/2019,16:17:34,15.40635679,25.36796368,994.2833559,84.51237818,2.970755481,24.34409037,80.36706868,26.18989807,994.2608188,12.57852344,3.324663512,0.01587,0.0491,61,360
