
Time stamp	Inside_humidity (in %rH)	Inside_temperature (in °C)	Inside_pressure (in mbar)	Soil_moisture (in %VWC)	Soil_temperature (in °C)	Inside_CO2_ratio (in ppm)	Outside_humidity (in %rH)	Outside_temperature (in °C)	Outside_pressure (in mbar)	Outside_PAR (in µmol m^-2 s^-1)	Power_box_charge (in V)	
11/28/2019 15:37:30.678629749	81.212102	27.147326	990.097342	26.235286	25.347120	549.921830	75.570473	28.085830	991.235010	9.300900	12.116695	
11/28/2019 15:37:31.678629749	80.870413	27.126313	990.727995	26.281795	25.335487	569.979659	75.375000	28.190000	991.093391	0.149501	12.101949	
11/28/2019 15:37:32.678629749	80.863842	27.141829	991.556092	26.190218	25.220174	567.642367	75.561432	28.079396	990.849899	-0.605843	12.131256	
11/28/2019 15:37:33.678629749	80.594433	27.226479	991.669639	26.437134	25.315363	583.850931	75.519613	28.133761	990.633686	1.618794	12.093434	
11/28/2019 15:37:34.678629749	80.601004	27.110871	991.039300	25.965423	25.255564	582.781181	75.433534	28.127644	990.971805	6.316716	12.136210	
11/28/2019 15:37:35.678629749	80.482727	27.247791	990.801405	26.138630	25.259850	601.884246	75.230544	28.166654	990.755750	0.594374	12.086311	
11/28/2019 15:37:36.678629749	80.548436	27.107203	991.535907	25.772394	25.196458	600.951167	75.336968	28.174231	991.257560	0.005925	12.110610	
11/28/2019 15:37:37.678629749	80.666713	27.080886	991.154580	26.225041	25.270912	611.282672	75.716927	28.197059	991.357388	10.406801	12.114842	
11/28/2019 15:37:38.678629749	80.587862	27.157046	991.025501	26.170835	25.185886	610.620977	75.503712	28.103779	990.915661	-0.481655	12.132189	
11/28/2019 15:37:39.678629749	80.732423	27.180754	992.563735	26.534613	25.248502	624.040827	75.420997	28.055943	990.683994	5.533081	12.113554	
11/28/2019 15:37:40.678629749	80.561578	27.189950	990.820251	26.794401	25.401450	627.421587	75.568712	28.201303	990.638416	8.929645	12.076875	
11/28/2019 15:37:41.678629749	80.752136	27.173386	991.973611	26.188008	25.203153	630.894328	75.661862	28.050546	990.856679	1.157154	12.133976	
