Local,Ambiente,Measuring point,Date,Time,CO2 [ppm/min],T_i [°C],P_i [hPa],rH_i [%],SM [%],ST [°C],rH_o [%],T_o [°C],P_o [hPa],PAR [µmol m-2 s-1],F_CO2 [µmol m-2 s-1],V_ch [m3],A_ch [m2],start [s],end [s]
B do Acre,Floresta,anel1rep1,11/28/2019,14:29:17,16.41797496,26.18720433,992.9918795,83.96664978,15.03274668,25.19046747,79.43324366,27.03112869,992.7255571,4.856652158,3.528682912,0.01587,0.0491,61,360
B do Acre,Floresta,anel1rep2,11/28/2019,14:39:18,17.43144015,26.52714744,992.7146847,82.75798178,14.5548834,25.18721956,76.54965078,27.41759701,992.6177399,5.958963763,3.741210425,0.01587,0.0491,61,360
B do Acre,Floresta,anel1rep3,11/28/2019,14:49:17,17.53233823,26.8102812,992.5204206,82.16484449,14.09958511,25.19530532,75.50579592,27.71645406,992.2505291,4.67467689,3.75857816,0.01587,0.0491,61,360
B do Acre,Floresta,anel2rep1,11/28/2019,15:04:15,18.68516974,27.08445393,992.1740902,82.60106766,27.59102645,25.14530761,75.80332647,27.97166209,991.7984183,7.510131093,4.000667395,0.01587,0.0491,61,360
B do Acre,Floresta,anel2rep2,11/28/2019,15:13:54,19.6678789,27.19745923,992.0887256,82.18534597,28.5726132,25.15576645,75.73360807,28.10528296,991.8015908,6.763052557,4.209127914,0.01587,0.0491,61,360
B do Acre,Floresta,anel2rep3,11/28/2019,15:23:28,18.42937617,27.306665,992.0113356,81.95238414,28.48588956,25.17651178,75.4643829,28.14662808,991.7696658,6.756482497,3.942334529,0.01587,0.0491,61,360
B do Acre,Floresta,anel3rep1,11/28/2019,15:37:30,15.69085587,27.29665708,991.7324638,81.56169776,26.47853134,25.1580157,76.00035921,28.10334658,991.2811779,4.336791027,3.355689998,0.01587,0.0491,61,360
B do Acre,Floresta,anel3rep2,11/28/2019,15:47:07,15.19046119,27.33014071,991.8295441,81.44497591,26.91226501,25.15150105,76.78715576,28.1057135,991.531796,4.41877938,3.248630166,0.01587,0.0491,61,360
B do Acre,Floresta,anel3rep3,11/28/2019,15:56:37,14.70880374,27.37109199,991.6646616,81.31289998,27.16940009,25.16037093,76.62221921,28.18961398,991.4263234,4.252103657,3.144671458,0.01587,0.0491,61,360
B do Acre,Floresta,anel4rep1,11/28/2019,16:09:52,29.48355125,27.3364945,991.2986524,82.00528023,5.424735187,25.76114509,76.38301749,27.99294011,990.939087,5.28099981,6.301840365,0.01587,0.0491,61,360
B do Acre,Floresta,anel4rep2,11/28/2019,16:19:21,30.00715336,27.27581903,991.3363639,81.61656516,5.097272403,25.72776779,75.85538877,27.83419335,991.0914416,4.93869587,6.415294941,0.01587,0.0491,61,360
B do Acre,Floresta,anel4rep3,11/28/2019,16:28:42,28.20337368,27.18832807,991.1898002,81.70996017,5.55271192,25.71196576,76.13604157,27.60388552,990.9265391,4.705236427,6.030525716,0.01587,0.0491,61,360
