
Time stamp	Inside_humidity (in %rH)	Inside_temperature (in °C)	Inside_pressure (in mbar)	Soil_moisture (in %VWC)	Soil_temperature (in °C)	Inside_CO2_ratio (in ppm)	Outside_humidity (in %rH)	Outside_temperature (in °C)	Outside_pressure (in mbar)	Outside_PAR (in µmol m^-2 s^-1)	Power_box_charge (in V)	
11/28/2019 17:04:27.959318049	76.770144	27.542463	992.022340	34.325045	29.389761	567.035877	76.729719	27.164778	991.936627	116.667757	12.085719	
11/28/2019 17:04:28.959318049	76.218184	27.448467	991.803685	31.938981	29.047496	561.856647	76.390789	26.991193	991.721050	127.527650	12.126315	
11/28/2019 17:04:29.959318049	76.533590	27.518274	992.172553	32.276405	29.130807	558.454867	76.681252	27.110106	992.170345	134.781649	12.079950	
11/28/2019 17:04:30.959318049	76.316748	27.479574	990.360232	32.225708	29.067049	557.076283	76.611127	27.008317	991.705439	129.222271	12.098165	
11/28/2019 17:04:31.959318049	76.770144	27.638181	991.373077	33.453283	29.112725	557.923276	76.680201	27.220404	991.189747	136.438534	12.044506	
11/28/2019 17:04:32.959318049	76.520448	27.449514	992.218444	31.499968	29.153217	548.907275	76.407243	27.010391	992.142908	125.352002	12.071119	
11/28/2019 17:04:33.959318049	77.170971	27.642929	992.469349	33.143608	29.168565	547.865122	76.651077	27.057285	991.532281	122.745626	12.093197	
11/28/2019 17:04:34.959318049	77.151258	27.531919	991.946091	32.592528	29.099908	547.211974	76.493165	27.055116	991.819929	118.205697	12.095116	
11/28/2019 17:04:35.959318049	77.578370	27.557830	993.072325	32.997440	29.255468	547.472180	76.768778	27.069529	992.135806	122.890783	12.081461	
11/28/2019 17:04:36.959318049	77.243252	27.632460	990.877182	31.396325	29.106969	541.624034	76.658885	27.051274	991.793279	135.181465	12.090463	
11/28/2019 17:04:37.959318049	77.926630	27.586360	992.988112	32.657094	29.236201	541.799481	76.833645	27.184188	991.629896	133.276202	12.086140	
11/28/2019 17:04:38.959318049	77.880633	27.526722	991.497506	32.072206	29.082029	539.461536	76.523759	27.023779	991.738398	141.836529	12.124869	
11/28/2019 17:04:39.959318049	78.386596	27.591183	992.910207	32.591319	29.093703	536.300248	76.679806	27.087584	991.235324	141.580289	12.087467	
11/28/2019 17:04:40.959318049	78.255177	27.596380	993.239334	32.328797	29.143257	534.407156	76.646847	27.059571	990.946727	142.461133	12.110032	
11/28/2019 17:04:41.959318049	78.754569	27.647527	992.051516	32.848301	29.167381	533.211901	76.794667	27.126499	991.752274	140.628449	12.098059	
11/28/2019 17:04:42.959318049	78.518015	27.496213	991.291861	31.858811	29.068191	531.249815	76.561134	27.024604	991.331366	146.893911	12.124291	
11/28/2019 17:04:43.959318049	78.958268	27.574244	991.668298	32.790523	29.176402	528.969696	76.555563	27.075551	991.728146	142.599737	12.111556	
11/28/2019 17:04:44.959318049	78.912271	27.491840	992.099458	31.901716	29.049456	528.346114	76.351259	27.010391	992.235949	142.615193	12.099190	
11/28/2019 17:04:45.959318049	79.260531	27.592605	991.791542	33.036468	29.277306	529.493404	76.734924	27.116847	991.572336	145.736400	12.086863	
11/28/2019 17:04:46.959318049	79.069974	27.564000	992.434891	31.812332	29.087417	526.004885	76.644796	27.039653	991.609554	141.734350	12.095365	
11/28/2019 17:04:47.959318049	79.562795	27.655943	993.369122	31.652916	29.246692	522.383631	76.410555	27.216668	992.467774	153.432650	12.045794	
11/28/2019 17:04:48.959318049	79.418234	27.522723	991.549074	32.025706	29.071865	522.751606	76.467933	27.038510	991.810469	147.063427	12.128641	
11/28/2019 17:04:49.959318049	79.700785	27.671085	990.907933	32.347769	29.086356	521.608915	76.730561	27.084060	991.655289	151.602316	12.101358	
11/28/2019 17:04:50.959318049	79.608791	27.601652	990.923388	32.244409	29.114929	520.875596	76.718128	27.026784	991.198421	145.502168	12.125171	
11/28/2019 17:04:51.959318049	79.851916	27.638256	992.098117	32.785848	29.159993	521.674625	76.626791	27.062788	991.975581	145.779106	12.108218	
11/28/2019 17:04:52.959318049	80.219889	27.529192	992.322685	31.356819	29.159707	518.641472	76.620168	26.993786	991.764892	147.901563	12.096995	
11/28/2019 17:04:53.959318049	80.121325	27.627412	993.616086	33.252113	29.238161	521.978206	76.892075	27.136458	991.678153	140.385314	12.103671	
11/28/2019 17:04:54.959318049	80.377592	27.610998	991.360777	32.726395	29.114643	520.024003	76.767988	27.083542	991.405802	139.431892	12.093552	
11/28/2019 17:04:55.959318049	80.088470	27.607448	993.190997	32.485903	29.173871	521.003078	76.806258	27.143517	991.931740	139.634941	12.082644	
11/28/2019 17:04:56.959318049	80.495869	27.544559	992.598665	31.927400	29.067906	517.724170	76.722386	26.969508	991.565556	147.593713	12.124409	
11/28/2019 17:04:57.959318049	80.509011	27.660840	992.128869	32.750929	29.171626	517.967294	76.931001	27.160947	991.975424	141.033236	12.104118	
11/28/2019 17:04:58.959318049	80.765278	27.627562	992.493872	32.570506	29.128236	517.534272	76.746672	27.042352	991.616020	147.403770	12.125237	
11/28/2019 17:04:59.959318049	80.607575	27.628011	992.027545	32.352777	29.103908	516.248332	76.565997	27.035399	991.924802	160.700793	12.104446	
11/28/2019 17:05:00.959318049	80.640430	27.733824	992.811643	31.714922	28.956797	517.135416	76.504598	26.953845	992.178862	150.629778	12.099978	
11/28/2019 17:05:01.959318049	80.890125	27.691199	993.441035	32.796162	29.173014	516.628791	76.718023	27.074514	991.901303	150.504279	12.105524	
