
Time stamp	Inside_humidity (in %rH)	Inside_temperature (in °C)	Inside_pressure (in mbar)	Soil_moisture (in %VWC)	Soil_temperature (in °C)	Inside_CO2_ratio (in ppm)	Outside_humidity (in %rH)	Outside_temperature (in °C)	Outside_pressure (in mbar)	Outside_PAR (in µmol m^-2 s^-1)	Power_box_charge (in V)	
11/28/2019 19:14:24.007768749	73.773793	25.562477	995.776926	33.130195	27.149918	478.652635	76.440492	25.524177	990.748655	18.866260	12.016987	
11/28/2019 19:14:25.007768749	73.379536	25.623495	992.287755	32.505451	27.090200	481.246188	76.613492	25.566308	991.287840	20.056264	12.019550	
11/28/2019 19:14:26.007768749	73.970921	25.574775	991.412583	33.128014	27.170082	480.604207	76.816797	25.558318	991.329159	20.466294	12.044270	
11/28/2019 19:14:27.007768749	73.839502	25.520302	990.765213	32.250302	27.110364	479.047545	76.896857	25.609784	990.344145	24.348088	11.989455	
11/28/2019 19:14:28.007768749	74.108911	25.611753	991.410218	33.025628	27.159306	481.088487	77.213761	25.561641	991.344141	21.270898	12.042759	
11/28/2019 19:14:29.007768749	74.227188	25.532675	991.157972	32.622429	27.120202	480.503669	77.315032	25.553757	990.635265	22.142839	12.040577	
11/28/2019 19:14:30.007768749	73.911782	25.554586	991.034175	32.612192	27.116814	480.615374	77.381241	25.548359	990.650720	23.595365	12.037962	
11/28/2019 19:14:31.007768749	74.036630	25.526205	990.195197	32.439989	27.109834	481.286921	77.437463	25.543692	991.100171	23.277030	12.010495	
11/28/2019 19:14:32.007768749	74.674012	25.444699	988.924821	32.661749	27.289681	480.539150	77.394331	25.619224	990.744711	26.827655	12.006106	
11/28/2019 19:14:33.007768749	74.450600	25.644208	990.836495	33.208311	27.190492	483.350208	77.457385	25.580003	991.272071	19.813130	12.035320	
11/28/2019 19:14:34.007768749	74.752863	25.574625	990.972592	32.665322	27.116324	482.879727	77.378377	25.576066	991.033938	25.852495	12.024123	
11/28/2019 19:14:35.007768749	74.969705	25.650603	989.804566	33.112459	27.143754	483.398172	77.288302	25.563091	990.849899	25.188846	12.013781	
11/28/2019 19:14:36.007768749	74.989417	25.659874	991.513749	33.062133	27.200656	483.921880	77.239440	25.637491	991.125250	18.632300	12.037055	
11/28/2019 19:14:37.007768749	75.028843	25.597584	991.315674	32.268827	27.148857	485.473279	77.136013	25.591211	990.749441	22.768752	12.015607	
11/28/2019 19:14:38.007768749	75.547948	25.614149	992.260078	32.718719	27.133264	485.989757	76.986038	25.558837	991.187068	27.078653	12.039355	
11/28/2019 19:14:39.007768749	75.784502	25.587190	990.977402	32.667808	27.109181	486.735559	76.845289	25.572119	990.909194	25.517394	12.044848	
11/28/2019 19:14:40.007768749	76.001343	25.635942	991.581404	33.065259	27.186573	486.110008	76.928293	25.671103	990.954300	18.800505	11.992596	
11/28/2019 19:14:41.007768749	75.975059	25.692778	990.331136	33.502441	27.216248	485.960843	76.995763	25.833079	991.160574	10.137997	11.975985	
11/28/2019 19:14:42.007768749	76.211613	25.613924	989.956749	32.799502	27.102364	487.265835	76.727563	25.562679	990.679421	26.998482	12.022835	
11/28/2019 19:14:43.007768749	76.520448	25.713716	991.996635	33.387352	27.187389	488.380928	76.735238	25.675463	991.230437	16.428090	12.030050	
11/28/2019 19:14:44.007768749	76.566444	25.703697	991.220974	33.430773	27.201554	488.329018	76.635518	25.616525	991.141019	18.231173	12.033783	
11/28/2019 19:14:45.007768749	76.573015	25.681711	992.485436	33.012770	27.130407	489.396800	76.813723	25.635723	991.245734	18.769323	12.005370	
11/28/2019 19:14:46.007768749	76.822711	25.709118	990.395794	32.623403	27.123916	488.407210	76.724646	25.584776	990.847848	25.516084	12.023585	
11/28/2019 19:14:47.007768749	77.164400	25.687881	992.645266	32.944337	27.158776	488.666764	76.673892	25.611752	991.274278	21.554118	12.015857	
11/28/2019 19:14:48.007768749	76.862137	25.749946	991.236271	33.043471	27.201799	488.156202	76.749879	25.666542	991.022427	16.760569	12.030129	
11/28/2019 19:14:49.007768749	77.276106	25.663018	989.982296	33.322445	27.237515	489.618895	76.750378	25.749651	991.576909	25.815031	12.008235	
11/28/2019 19:14:50.007768749	77.512660	25.724709	992.183749	32.894818	27.122202	488.758756	76.512878	25.574193	991.425672	26.218508	12.028447	
11/28/2019 19:14:51.007768749	77.512660	25.674086	992.406742	32.866611	27.130447	491.055305	76.656282	25.743323	991.869922	32.641962	12.005133	
11/28/2019 19:14:52.007768749	77.538944	25.729757	991.136051	33.183835	27.200982	489.652407	76.537506	25.671103	991.088346	15.545936	12.038238	
11/28/2019 19:14:53.007768749	77.926630	25.798217	991.576752	33.429254	27.185430	491.759711	76.438442	25.639872	991.480395	32.316035	12.012099	
11/28/2019 19:14:54.007768749	77.821495	25.709193	991.307790	32.975076	27.166123	491.538269	76.424800	25.659589	991.185489	21.944761	12.034729	
11/28/2019 19:14:55.007768749	77.795211	25.761688	992.222623	33.447400	27.219759	492.885972	76.451137	25.713224	991.068633	26.889749	11.973895	
11/28/2019 19:14:56.007768749	78.176326	25.767484	990.532995	33.050747	27.187104	492.859691	76.333806	25.663631	991.248099	19.668243	12.012125	
11/28/2019 19:14:57.007768749	78.071191	25.741423	990.631639	33.724007	27.285110	493.191522	76.492508	25.739999	991.246206	17.565173	12.006908	
11/28/2019 19:14:58.007768749	78.301174	25.709343	990.011787	32.855819	27.125019	493.312426	76.338721	25.629289	991.195899	26.160345	12.042456	
11/28/2019 19:14:59.007768749	78.242035	25.711139	990.941288	32.879098	27.153673	494.217245	76.379750	25.735851	991.651187	27.962118	12.019655	
11/28/2019 19:15:00.007768749	78.432592	25.688030	991.142674	32.519993	27.092159	492.832746	76.291017	25.613414	990.720897	24.767292	12.043692	
11/28/2019 19:15:01.007768749	78.662576	25.782925	991.570523	33.196749	27.161592	494.509649	76.557166	25.673082	991.383724	32.582489	12.017355	
11/28/2019 19:15:02.007768749	78.885988	25.746246	989.293688	31.552311	27.262455	494.979478	76.290175	25.735851	990.906987	26.585831	12.005317	
11/28/2019 19:15:03.007768749	78.629721	25.788272	990.865039	33.537427	27.182287	495.530120	76.523864	25.657821	991.021320	28.746023	12.017658	
11/28/2019 19:15:04.007768749	78.702001	25.682309	991.255117	32.694982	27.090690	493.868984	76.433974	25.591116	990.647726	25.036367	12.039828	
11/28/2019 19:15:05.007768749	78.649434	25.767109	992.316457	33.675882	27.239474	496.759550	76.608630	25.679093	991.009966	23.865750	12.014964	
11/28/2019 19:15:06.007768749	78.905700	25.777953	991.501212	33.191695	27.209187	495.026789	76.593332	25.720907	991.077464	15.770993	12.039105	
11/28/2019 19:15:07.007768749	79.115971	25.685977	992.039136	32.797019	27.116855	496.264755	76.645348	25.685528	991.086767	24.564243	11.998681	
11/28/2019 19:15:08.007768749	78.997694	25.762212	990.498931	33.198445	27.174328	496.298268	76.530935	25.678056	991.259453	21.626697	12.039907	
11/28/2019 19:15:09.007768749	79.424805	25.858603	990.356998	33.641489	27.206697	497.132778	76.650763	25.791878	991.407853	20.058885	11.991308	
11/28/2019 19:15:10.007768749	79.056832	25.826822	992.871728	32.979654	26.984520	497.372618	76.817034	25.697561	990.574548	22.028864	12.008642	
11/28/2019 19:15:11.007768749	79.510227	25.851310	991.187068	33.503259	27.204084	497.034871	76.596644	25.730453	990.990096	19.617944	12.016422	
11/28/2019 19:15:12.007768749	79.299957	25.779150	992.742569	32.853199	27.157347	497.734678	76.456499	25.686978	991.440812	22.601857	12.037870	
11/28/2019 19:15:13.007768749	79.490514	25.764906	991.431981	33.888106	27.209758	498.585618	76.521000	25.655016	991.782082	19.121190	12.005449	
11/28/2019 19:15:14.007768749	79.477373	25.826223	991.114840	33.246774	27.192206	497.879896	76.391841	25.680649	991.088503	15.627417	12.036201	
11/28/2019 19:15:15.007768749	79.451089	25.885262	989.580549	33.430812	27.113140	500.204043	76.376991	25.663324	991.023528	26.858837	11.999929	
