Local,Ambiente,Measuring point,Date,Time,CO2 [ppm/min],T_i [°C],P_i [hPa],rH_i [%],SM [%],ST [°C],rH_o [%],T_o [°C],P_o [hPa],PAR [µmol m-2 s-1],F_CO2 [µmol m-2 s-1],V_ch [m3],A_ch [m2],start [s],end [s]
B do Acre,ARL,anel1rep1cor,11/28/2019,17:04:27,19.75182761,27.75541759,991.8205092,83.74033768,32.48360886,29.09878381,76.51523694,26.92903602,991.7640628,140.8793202,4.21811495,0.01587,0.0491,61,360
B do Acre,ARL,anel1rep2,11/28/2019,17:13:52,21.99347278,27.63463601,991.9337548,83.41801105,32.61527503,29.049391,75.71844147,27.04051776,991.8323176,183.9357993,4.699253538,0.01587,0.0491,61,360
B do Acre,ARL,anel1rep3,11/28/2019,17:23:38,19.86683303,27.63935828,991.8605737,83.39100445,32.78348619,28.98508899,75.21094577,26.84694761,991.9209922,161.6657818,4.244483491,0.01587,0.0491,61,360
B do Acre,ARL,anel2rep1,11/28/2019,17:34:34,39.74282508,27.54743653,991.8262954,82.25429707,37.67540035,27.60404122,75.70360449,26.8953362,991.7834092,92.8833834,8.493225877,0.01587,0.0491,61,360
B do Acre,ARL,anel2rep2,11/28/2019,17:42:23,38.68669864,27.55117325,991.9837479,82.10561112,38.54785912,27.56907888,75.67073608,26.83277064,991.9925368,51.10615833,8.268736481,0.01587,0.0491,61,360
B do Acre,ARL,anel2rep3,11/28/2019,18:44:49,44.35309753,26.6708174,991.5071274,82.9250151,24.80861719,27.34847113,77.37049641,26.15807079,991.1832231,45.56302309,9.503116615,0.01587,0.0491,61,360
B do Acre,ARL,anel3rep1,11/28/2019,18:55:22,21.11291861,26.45471244,991.392603,82.69950827,32.95878635,27.26222086,77.82051012,25.92256783,991.2336645,39.27110928,4.526404421,0.01587,0.0491,61,360
B do Acre,ARL,anel3rep2,11/28/2019,19:04:47,19.64853074,26.25268514,991.2667589,82.74529982,32.61685858,27.20634526,77.6088399,25.85796965,991.2276714,29.30414583,4.214761257,0.01587,0.0491,61,360
B do Acre,ARL,anel3rep3,11/28/2019,19:14:24,18.51832872,26.06884359,991.085908,82.61878724,33.03047687,27.15016669,75.85909294,25.43589077,991.0819652,17.70390122,3.974039657,0.01587,0.0491,61,360
B do Acre,ARL,anel4rep1,11/28/2019,19:23:54,15.12111449,25.93575691,991.0070664,82.8044821,34.41127264,28.39835102,76.0965032,24.96000606,990.9447417,7.984835993,3.24618202,0.01587,0.0491,61,360
B do Acre,ARL,anel4rep2,11/28/2019,19:33:21,14.5193241,25.69950337,991.1360081,82.85253758,35.11904406,28.31430942,76.46835543,24.8563871,991.1321962,3.720020927,3.119860404,0.01587,0.0491,61,360
B do Acre,ARL,anel4rep3,11/28/2019,19:43:19,14.49254628,25.65297753,991.4813929,83.4740831,34.73592381,28.2478497,77.30565674,25.08862246,991.4783878,2.393442383,3.115676723,0.01587,0.0491,61,360
