
Time stamp	Inside_humidity (in %rH)	Inside_temperature (in °C)	Inside_pressure (in mbar)	Soil_moisture (in %VWC)	Soil_temperature (in °C)	Inside_CO2_ratio (in ppm)	Outside_humidity (in %rH)	Outside_temperature (in °C)	Outside_pressure (in mbar)	Outside_PAR (in µmol m^-2 s^-1)	Power_box_charge (in V)	
7/1/2021 10:06:41.481748349	87.152234	16.517037	1002.754486	1.638797	20.199189	515.314600	88.948361	16.922153	1000.732342	6.135675	12.058069	
7/1/2021 10:06:42.481748349	87.507064	16.501371	1002.591421	1.604734	20.256703	516.165540	89.194036	16.852738	1000.905342	4.494245	12.054442	
7/1/2021 10:06:43.481748349	87.336220	16.519058	1001.272316	1.627627	20.191516	516.248332	88.842674	16.862284	1000.848883	11.041889	12.022231	
7/1/2021 10:06:44.481748349	87.848753	16.496548	1001.178168	1.871482	20.259805	516.921857	89.079622	16.839974	1000.493895	3.202061	12.029459	
7/1/2021 10:06:45.481748349	87.461068	16.543996	1001.451702	1.701061	20.226946	517.967294	88.811475	16.899431	1000.758678	2.610991	12.047792	
7/1/2021 10:06:46.481748349	87.783044	16.575552	1001.972595	1.731080	20.209394	517.478415	89.034283	16.916343	1001.025670	3.368957	12.043652	
7/1/2021 10:06:47.481748349	87.625341	16.634292	1004.145976	2.153080	20.109347	519.654060	88.741849	16.878053	1000.489637	1.850404	12.007630	
7/1/2021 10:06:48.481748349	88.151017	16.507167	1002.517537	1.657646	20.192373	519.000248	88.937374	16.891959	1000.815295	5.025843	12.050841	
7/1/2021 10:06:49.481748349	87.914463	16.513113	1003.123825	1.840774	20.220701	519.855788	89.067480	16.894033	1000.671153	0.723805	12.038014	
7/1/2021 10:06:50.481748349	87.940747	16.536628	1002.338308	1.786517	20.207475	519.776932	88.912432	16.887916	1000.689287	3.045651	12.026134	
7/1/2021 10:06:51.481748349	88.124733	16.565233	1001.769553	1.644852	20.181025	519.736852	88.966655	16.943838	1000.520388	4.089458	12.035281	
7/1/2021 10:06:52.481748349	88.013027	16.477557	1003.706931	1.707207	20.236253	520.337436	88.827614	16.898182	1000.793846	0.903535	11.996381	
7/1/2021 10:06:53.481748349	88.472993	16.475461	1002.773252	1.850066	20.220987	521.150264	88.656584	16.897145	1000.977728	1.423608	12.051445	
7/1/2021 10:06:54.481748349	88.282436	16.575927	1001.210023	1.675159	20.214782	520.961019	88.942027	16.909908	1000.916381	5.379020	12.043849	
7/1/2021 10:06:55.481748349	88.381000	16.454822	1001.929069	1.652074	20.268867	521.874384	88.586959	16.888636	1000.758836	2.202272	12.055769	
7/1/2021 10:06:56.481748349	88.479564	16.486978	1003.454213	1.779222	20.278500	521.874384	88.561779	16.913538	1000.806935	1.894422	12.045978	
7/1/2021 10:06:57.481748349	88.400712	16.501895	1001.259542	1.804299	20.260091	522.155621	88.522905	16.893927	1000.620846	1.115758	12.048528	
7/1/2021 10:06:58.481748349	88.781827	16.529752	1003.029204	1.791040	20.170535	522.601789	88.616607	16.882201	1001.213967	7.634840	12.031036	
7/1/2021 10:06:59.481748349	88.637266	16.533976	1001.324357	1.733168	20.215027	522.779203	88.438035	16.945287	1000.916381	1.031655	12.040170	
7/1/2021 10:07:00.481748349	88.512418	16.544595	1002.558067	1.594466	20.205965	522.106994	88.666362	16.919867	1000.879163	5.686871	12.055966	
7/1/2021 10:07:01.481748349	88.873820	16.396606	1003.334989	2.274670	20.406590	524.440339	88.356924	16.783111	1000.892096	9.662981	12.019064	
7/1/2021 10:07:02.481748349	88.788398	16.554540	1002.350451	1.785906	20.209966	523.772729	88.520198	16.947574	1000.870332	3.674186	12.059567	
7/1/2021 10:07:03.481748349	88.821253	16.516364	1002.709303	1.517161	20.173106	524.509333	88.746607	17.001632	1000.279261	7.718943	12.022941	
7/1/2021 10:07:04.481748349	89.110374	16.554839	1003.403748	1.707248	20.234049	524.303005	88.714200	16.970920	1000.655699	2.936918	12.044598	
7/1/2021 10:07:05.481748349	88.893533	16.497372	1002.159157	1.746103	20.202577	525.159860	88.715908	16.918830	1000.944925	1.564563	12.045045	
7/1/2021 10:07:06.481748349	89.215509	16.471087	1003.454765	1.608546	20.212782	526.163901	88.744347	16.940514	1000.957857	3.243458	12.025332	
7/1/2021 10:07:07.481748349	89.044665	16.523432	1002.986782	1.651441	20.239967	526.084393	88.414511	16.936260	1000.756628	3.821693	12.049658	
7/1/2021 10:07:08.481748349	89.156371	16.475835	1002.403676	1.802097	20.224089	525.975972	88.636714	16.954315	1000.675726	2.737801	12.051248	
7/1/2021 10:07:09.481748349	89.156371	16.538874	1001.475988	1.693893	20.190413	525.996338	88.444554	16.977767	1000.778391	6.774695	12.034663	
7/1/2021 10:07:10.481748349	89.189225	16.555213	1002.134319	1.679581	20.192087	526.269691	88.624124	16.963861	1000.605549	6.196459	12.059370	
7/1/2021 10:07:11.481748349	89.399496	16.501895	1002.491910	1.786062	20.206823	526.474050	88.318102	16.978074	1000.681878	2.737801	12.050920	
7/1/2021 10:07:12.481748349	89.156371	16.508290	1003.342245	1.796174	20.249315	526.961614	88.386020	16.968009	1000.859450	2.385933	12.024386	
7/1/2021 10:07:13.481748349	89.596624	16.576675	1002.518089	2.335528	20.461001	529.858748	88.462663	17.016671	1001.210181	7.885838	12.031168	
7/1/2021 10:07:14.481748349	89.491489	16.523207	1002.452484	1.572508	20.229763	527.029292	88.373377	16.985652	1001.207658	3.860468	12.014188	
7/1/2021 10:07:15.481748349	89.399496	16.620123	1003.232561	1.892582	20.267520	527.516856	88.725738	17.126662	1001.349592	9.132694	12.019616	
7/1/2021 10:07:16.481748349	89.649191	16.603110	1001.844698	1.616461	20.162330	527.074635	88.533078	17.011485	1000.467401	3.349569	12.027803	
7/1/2021 10:07:17.481748349	89.544056	16.739282	1002.702523	2.182884	20.338055	529.220704	88.390383	17.017189	1000.945082	1.706828	12.035163	
7/1/2021 10:07:18.481748349	89.734613	16.471237	1004.074222	1.943019	20.148452	527.557599	88.480221	17.006818	1001.152464	3.106434	12.013570	
7/1/2021 10:07:19.481748349	89.636049	16.509488	1002.500584	1.932058	20.354178	530.339744	88.367306	17.068137	1001.065882	1.855647	12.024689	
7/1/2021 10:07:20.481748349	89.839749	16.508514	1002.220898	1.768303	20.262622	527.670620	88.451229	16.971227	1000.636143	1.259334	12.046175	
7/1/2021 10:07:21.481748349	89.833178	16.676917	1002.340988	2.055978	20.253642	528.901355	88.452124	17.026947	1000.870489	10.300690	11.996197	
7/1/2021 10:07:22.481748349	89.754326	16.518235	1002.296832	1.765257	20.271153	528.914501	88.343230	16.941033	1000.767981	2.765052	12.052326	
7/1/2021 10:07:23.481748349	89.872603	16.629020	1002.802743	2.118460	20.335483	532.410904	88.408834	17.084636	1001.004378	2.630379	12.040919	
7/1/2021 10:07:24.481748349	89.806894	16.524480	1001.836024	1.661786	20.249315	530.829276	88.160452	16.963755	1000.881214	3.491835	12.043823	
7/1/2021 10:07:25.481748349	90.148583	16.642034	1003.694473	1.824615	20.225273	532.192746	88.419321	17.121371	1001.321048	4.862879	12.008708	
7/1/2021 10:07:26.481748349	89.912029	16.518385	1002.364802	1.705178	20.246743	531.987734	88.503430	16.958876	1000.789116	1.007025	12.035005	
7/1/2021 10:07:27.481748349	90.122299	16.708024	1002.140391	2.024801	20.272051	533.154075	88.274418	17.037943	1000.861815	3.618644	12.030221	
7/1/2021 10:07:28.481748349	90.161725	16.535024	1002.328056	1.657768	20.258703	532.257803	88.421320	16.969565	1001.011159	2.009436	12.023493	
7/1/2021 10:07:29.481748349	90.082873	16.535922	1002.443101	1.800141	20.341688	536.291712	88.294578	17.044272	1001.196934	4.729788	12.036950	
7/1/2021 10:07:30.481748349	90.056590	16.497147	1002.267736	1.787557	20.218456	533.709980	88.426996	16.993536	1000.772082	1.298109	12.045518	
7/1/2021 10:07:31.481748349	90.595407	16.635340	1001.999484	1.982585	20.239763	533.959672	88.307720	17.066169	1000.829013	11.389824	12.006158	
7/1/2021 10:07:32.481748349	90.201150	16.523357	1003.262919	1.759758	20.252744	533.969534	88.385520	16.961056	1001.108308	1.521856	11.986038	
7/1/2021 10:07:33.481748349	90.201150	16.586695	1003.608052	2.256109	20.320748	534.466297	88.464923	17.023000	1000.851091	2.536062	12.034295	
7/1/2021 10:07:34.481748349	90.385137	16.571254	1002.716321	1.731805	20.200292	533.460941	88.448417	17.055998	1000.782964	5.911928	12.056794	
7/1/2021 10:07:35.481748349	90.128870	16.594587	1001.785874	2.251371	20.223844	536.435614	88.450678	17.122302	1000.798261	7.765581	11.985605	
7/1/2021 10:07:36.481748349	90.470559	16.555064	1001.989549	1.656593	20.203435	533.901193	88.593820	17.030165	1000.636143	6.750065	12.033415	
7/1/2021 10:07:37.481748349	90.457417	16.618776	1002.606323	2.042250	20.278541	535.857364	88.245375	17.035657	1001.115717	4.952224	12.030510	
7/1/2021 10:07:38.481748349	90.312856	16.607783	1001.615162	1.807710	20.213068	534.187029	88.456592	17.055585	1000.763094	4.456781	12.032390	
7/1/2021 10:07:39.481748349	90.483701	16.618551	1002.876626	2.005679	20.319319	535.244297	88.319154	17.109538	1000.938145	4.397308	12.038290	
7/1/2021 10:07:40.481748349	90.325998	16.552935	1002.027476	1.636336	20.253764	534.852671	88.405890	16.979418	1000.434285	1.929265	12.029998	
7/1/2021 10:07:41.481748349	90.766251	16.551289	1002.501688	1.896266	20.261520	535.181871	88.355268	17.028609	1001.149470	4.163076	12.016462	
7/1/2021 10:07:42.481748349	90.477130	16.582396	1002.588346	1.687351	20.228701	534.489948	88.418927	17.049881	1000.862923	1.625347	12.041195	
7/1/2021 10:07:43.481748349	90.477130	16.674970	1002.776092	1.980909	20.297726	536.080122	88.402421	17.094584	1000.982143	0.736640	12.003241	
7/1/2021 10:07:44.481748349	90.634832	16.544894	1002.673032	1.711766	20.184168	534.455782	88.350405	17.051744	1000.905028	6.258553	12.047950	
7/1/2021 10:07:45.481748349	90.424562	16.566880	1002.631950	1.864200	20.283929	537.860194	88.630933	17.126556	1001.060994	6.302571	12.008274	
7/1/2021 10:07:46.481748349	90.661116	16.565607	1002.703626	1.700504	20.204292	535.741060	88.290715	17.046039	1000.999491	4.661141	12.055322	
7/1/2021 10:07:47.481748349	90.674258	16.660951	1002.252596	1.822240	20.250784	536.651794	88.601994	17.070836	1001.222798	8.000853	12.028802	
