
Time stamp	Inside_humidity (in %rH)	Inside_temperature (in °C)	Inside_pressure (in mbar)	Soil_moisture (in %VWC)	Soil_temperature (in °C)	Inside_CO2_ratio (in ppm)	Outside_humidity (in %rH)	Outside_temperature (in °C)	Outside_pressure (in mbar)	Outside_PAR (in µmol m^-2 s^-1)	Power_box_charge (in V)	
7/1/2021 11:55:40.077221449	82.651138	19.708464	1002.042616	4.737387	18.345980	512.180257	83.329891	20.939712	998.457163	-4.561256	11.807821	
7/1/2021 11:55:41.077221449	82.828554	19.624637	1000.564862	4.536577	18.475987	512.426666	83.093494	20.700130	999.033729	3.861779	11.799660	
7/1/2021 11:55:42.077221449	82.973114	19.645575	1001.706156	4.956672	18.609750	514.841498	83.350523	20.747966	998.444074	5.772284	11.835367	
7/1/2021 11:55:43.077221449	82.940260	19.538490	1001.246847	4.565781	18.464966	513.526645	83.069024	20.735615	998.839752	1.887869	11.832278	
7/1/2021 11:55:44.077221449	82.953402	19.528545	1001.474570	4.897768	18.578565	515.641180	83.229933	20.810322	998.923019	0.392636	11.826890	
7/1/2021 11:55:45.077221449	82.946831	19.581414	1000.626208	4.598225	18.450476	513.042365	82.835781	20.671597	998.984051	0.391325	11.815260	
7/1/2021 11:55:46.077221449	82.854837	19.566871	1002.201108	5.438915	18.547706	510.932429	82.752015	20.894680	998.664230	0.503990	11.822422	
7/1/2021 11:55:47.077221449	83.157101	19.586761	1000.948080	4.504301	18.447088	513.179699	82.732250	20.702828	998.542009	1.785689	11.858720	
7/1/2021 11:55:48.077221449	83.387084	19.572592	1001.489158	4.676464	18.539216	515.388856	82.883381	20.818312	998.410642	4.725856	11.851071	
7/1/2021 11:55:49.077221449	83.367371	19.455636	1002.678394	4.940399	18.453904	513.872938	82.791835	20.751183	998.618338	2.902075	11.833041	
7/1/2021 11:55:50.077221449	83.669634	19.572517	1001.945865	4.637764	18.497580	513.142902	82.711119	20.832737	998.616445	2.819282	11.844540	
7/1/2021 11:55:51.077221449	83.643351	19.650847	1000.811194	5.049793	18.411657	512.669137	82.231045	20.747860	997.944629	6.893641	11.824617	
7/1/2021 11:55:52.077221449	83.879905	19.627963	999.913629	4.668786	18.477252	513.250008	82.150091	20.825159	999.029943	3.264156	11.805101	
7/1/2021 11:55:53.077221449	83.833908	19.535539	1001.069037	4.637754	18.473497	512.646139	82.011444	20.730017	998.280062	1.461073	11.837667	
7/1/2021 11:55:54.077221449	83.945614	19.660044	1001.772235	4.742553	18.519378	512.565968	82.072448	20.744854	998.505420	5.742412	11.808308	
7/1/2021 11:55:55.077221449	83.866763	19.590504	1000.614537	4.532191	18.458354	513.043028	81.985422	20.766115	998.457956	1.564563	11.842726	
7/1/2021 11:55:56.077221449	84.103317	19.721553	1001.119581	4.791074	18.474804	512.799240	81.894586	20.775450	998.860408	9.299589	11.823763	
7/1/2021 11:55:57.077221449	84.247877	19.608522	1001.356767	4.664597	18.525092	513.702744	82.148934	20.775461	998.182448	1.927954	11.847090	
7/1/2021 11:55:58.077221449	84.497573	19.733926	1001.193465	4.888645	18.533092	513.648202	82.026689	20.720058	998.345195	10.325319	11.823263	
7/1/2021 11:55:59.077221449	84.530428	19.570571	1000.703798	4.464165	18.477375	514.234335	81.841756	20.758761	998.339364	1.351029	11.866027	
7/1/2021 11:56:00.077221449	84.806407	19.614243	1002.386802	5.135058	18.546318	515.268605	81.949546	20.736239	998.634264	7.002374	11.810345	
7/1/2021 11:56:01.077221449	84.543570	19.640154	1001.721376	4.840744	18.504601	513.752686	81.928072	20.706046	998.452433	6.753997	11.857143	
