"Measuring point","Date","Time","CO2 [ppm/min]","T_i [°C]","P_i [hPa]","rH_i [%]","SM [%]","ST [°C]","rH_o [%]","T_o [°C]","P_o [hPa]","PAR [µmol m-2 s-1]","F_CO2 [µmol m-2 s-1]","V_ch [m3]","A_ch [m2]","start [s]","end [s]"
"anel1rep1","7/1/2021","10:06:41","9.33689348976764","16.7023863033333","1002.53146897667","92.5518165333333","1.82744353333333","20.25951157","87.94678336","17.13763105","1000.97613053","4.40991267","2.09233675836931","0.01587","0.0491","61","360"
"anel1rep2","7/1/2021","10:16:39","11.5292357006989","16.9765239366667","1002.46548413","92.3805559166667","7.46285837333333","20.2770682366667","86.5189767066667","17.6912737833333","1000.75175962","4.926879","2.5810151761781","0.01587","0.0491","61","360"
"anel1rep3","7/1/2021","10:27:05","12.055149447825","17.2672269233333","1002.17657748","92.0566304666667","7.39080388333333","20.2835868033333","85.50987496","18.10626062","1000.13961732333","5.33345953","2.69527150235547","0.01587","0.0491","61","360"
"anel2rep1","7/1/2021","10:41:30","25.4853192019067","17.5272213433333","1001.87473354333","92.1098331633333","7.03623072333333","20.0195447866667","85.6730427033333","18.5328433033333","999.42179756","37.9789114133333","5.69115676077266","0.01587","0.0491","61","360"
"anel2rep2","7/1/2021","10:52:06","11.5760097099701","17.8591080266667","1001.84548237","92.00765507","6.71212861666667","20.0363770833333","84.6923268433333","18.93770872","999.168259433333","66.6550881833333","2.58202885520824","0.01587","0.0491","61","360"
"anel2rep3","7/1/2021","11:02:01","11.5442100169735","18.2417952933333","1001.84863596667","91.84600992","7.62519174666667","20.0227861366667","83.4040371233333","19.3160103633333","999.199867816667","114.484436203333","2.57156234393172","0.01587","0.0491","61","360"
"anel3rep1","7/1/2021","11:15:28","20.8052125074412","18.56369472","1001.63706925","91.29177304","5.51649305","18.8570965033333","84.0354068","19.5968850233333","998.702204696667","5.47317877666667","4.62843078605443","0.01587","0.0491","61","360"
"anel3rep2","7/1/2021","11:24:53","8.54136812025023","18.8926768233333","1001.58098018333","90.6777624766667","4.77327887333333","18.9090724966667","83.4623590766667","20.0408382966667","998.72444195","3.72368028333333","1.89790834174397","0.01587","0.0491","61","360"
"anel3rep3","7/1/2021","11:34:53","8.12909728875656","19.1504620366667","1001.47102659667","89.7076068666667","4.72477193666667","18.9754191633333","82.0960437333333","20.3425940433333","998.567154416667","4.46407849","1.80450984272388","0.01587","0.0491","61","360"
"anel4rep1","7/1/2021","11:46:59","12.5675708298359","19.4703284733333","1001.28308709","90.67283427","6.27745059","18.5357966333333","82.9193724033333","20.6602234433333","998.198455343333","8.52886263","2.78619671043082","0.01587","0.0491","61","360"
"anel4rep2","7/1/2021","11:55:40","8.91951417740642","19.7384131433333","1001.02289226","89.9182712833333","4.71116374333333","18.5285359166667","82.0115833366667","20.89383209","998.3161452","4.88524286333333","1.97510898701795","0.01587","0.0491","61","360"
