
Time stamp	Inside_humidity (in %rH)	Inside_temperature (in °C)	Inside_pressure (in mbar)	Soil_moisture (in %VWC)	Soil_temperature (in °C)	Inside_CO2_ratio (in ppm)	Outside_humidity (in %rH)	Outside_temperature (in °C)	Outside_pressure (in mbar)	Outside_PAR (in µmol m^-2 s^-1)	Power_box_charge (in V)	
6/30/2021 09:10:37.636126949	83.196526	17.064237	1006.160864	6.485635	19.599645	535.338266	88.606225	15.852322	1005.141553	14.599066	11.892889	
6/30/2021 09:10:38.636126949	82.644567	17.134419	1009.804350	10.822204	20.045018	535.009719	89.335180	15.845982	1005.909246	19.396818	11.859640	
6/30/2021 09:10:39.636126949	82.592000	16.856911	1007.487775	8.614938	19.716345	532.665859	89.229755	15.855645	1005.390725	11.668073	11.922011	
6/30/2021 09:10:40.636126949	83.071679	16.890531	1007.274718	8.827272	19.779124	534.420302	89.426831	16.180305	1007.024054	21.026453	11.902640	
6/30/2021 09:10:41.636126949	82.729990	16.684584	1007.190032	7.721285	19.547805	529.498656	89.026003	15.727705	1005.187759	16.755327	11.911576	
6/30/2021 09:10:42.636126949	83.893046	17.098264	1007.104872	9.825004	19.852353	531.065822	89.273806	15.953476	1006.448595	27.381261	11.907358	
6/30/2021 09:10:43.636126949	83.288520	16.847490	1007.518527	8.575146	19.738755	529.698416	89.458424	15.866123	1005.408859	13.965289	11.924298	
6/30/2021 09:10:44.636126949	83.465935	17.120357	1008.893458	10.657679	20.036242	532.095492	89.530914	15.951814	1005.804059	16.098231	11.891088	
6/30/2021 09:10:45.636126949	83.387084	16.657625	1005.816048	8.361869	19.539274	527.059521	89.148249	15.658502	1005.141395	15.608030	11.899828	
6/30/2021 09:10:46.636126949	83.525074	16.777650	1006.646747	8.661534	19.780186	529.150405	89.429433	15.934584	1006.337563	23.544026	11.913245	
6/30/2021 09:10:47.636126949	83.893046	16.812682	1007.080035	8.173439	19.675241	527.025345	89.391559	15.733421	1005.313446	12.755898	11.903350	
6/30/2021 09:10:48.636126949	84.083604	16.888285	1007.318087	8.223945	19.605971	526.778284	89.289155	15.943221	1006.214727	21.489403	11.898422	
6/30/2021 09:10:49.636126949	84.011323	16.900957	1006.921228	8.644845	19.697405	527.201454	89.240085	15.812688	1005.432672	13.268107	11.922695	
6/30/2021 09:10:50.636126949	84.550141	17.198131	1008.202405	9.973188	19.858231	528.798849	89.613734	15.885098	1006.260769	19.465194	11.915467	
6/30/2021 09:10:51.636126949	83.952185	16.736405	1006.495667	8.030916	19.605563	525.286679	89.280719	15.712042	1005.233179	16.099542	11.917701	
6/30/2021 09:10:52.636126949	84.517286	16.904026	1007.501574	10.581043	19.937705	529.563713	89.392477	15.951602	1005.867141	16.266437	11.910880	
6/30/2021 09:10:53.636126949	83.702489	16.505713	1008.602104	9.898189	19.456820	527.280310	89.299118	15.889575	1005.277178	12.674416	11.895622	
6/30/2021 09:10:54.636126949	84.918113	16.961419	1007.799712	9.066133	19.928643	528.599763	89.912923	16.067013	1006.356811	20.696865	11.897029	
6/30/2021 09:10:55.636126949	84.720985	16.713638	1006.577436	7.943232	19.531967	523.164914	89.122122	15.704147	1004.840023	14.701246	11.922037	
6/30/2021 09:10:56.636126949	85.180951	17.075348	1006.536512	9.701088	19.834148	526.411625	89.424780	16.101863	1007.207149	23.032585	11.877263	
6/30/2021 09:10:57.636126949	85.016678	16.678788	1005.416743	8.362576	19.409797	524.394996	88.756857	15.776567	1005.669541	8.363205	11.863779	
6/30/2021 09:10:58.636126949	84.379296	16.617396	1004.526354	6.655373	19.250644	517.864115	88.631876	15.318357	1004.485821	24.208444	11.907949	
6/30/2021 09:10:59.636126949	85.443789	16.884842	1006.226626	8.864808	19.706998	525.180890	89.318436	15.865710	1005.318654	14.910848	11.901352	
6/30/2021 09:11:00.636126949	85.174380	17.026029	1005.924704	9.806644	19.983912	525.995685	89.655657	15.906264	1006.089505	17.077593	11.873478	
6/30/2021 09:11:01.636126949	85.286086	16.916998	1007.511194	8.415110	19.697365	523.549319	89.249862	15.877224	1005.281593	14.540904	11.926545	
6/30/2021 09:11:02.636126949	85.798620	16.853403	1006.589027	8.394798	19.749612	526.230926	89.769756	16.071563	1006.229703	21.642153	11.908856	
6/30/2021 09:11:03.636126949	85.358367	16.748371	1007.703198	7.715687	19.515191	521.099669	88.891088	15.672302	1005.588010	14.743953	11.835906	
6/30/2021 09:11:04.636126949	86.173163	17.100659	1008.874692	9.316548	19.772348	524.672949	89.314073	16.031199	1006.688778	25.351809	11.909237	
6/30/2021 09:11:05.636126949	85.759194	16.810993	1006.922254	8.117199	19.585522	522.827840	89.202238	15.800254	1005.499384	13.125842	11.906228	
6/30/2021 09:11:06.636126949	86.219160	17.111909	1007.652653	8.935524	19.762348	525.362231	89.345611	15.889012	1005.680573	20.828646	11.906386	
6/30/2021 09:11:07.636126949	85.949751	16.792043	1008.401979	8.335922	19.601645	523.136664	89.094577	15.825758	1005.220247	15.216077	11.900393	
6/30/2021 09:11:08.636126949	86.199447	16.831118	1007.183566	9.318455	19.921255	526.400457	89.413032	15.915704	1005.578386	19.897233	11.905886	
6/30/2021 09:11:09.636126949	85.989177	16.755589	1007.944325	7.831569	19.560867	521.486695	89.265921	15.727081	1005.298941	18.231173	11.906123	
6/30/2021 09:11:10.636126949	86.488569	17.216118	1007.084922	7.291512	20.015097	526.634382	89.294018	16.054545	1006.459791	15.675366	11.881850	
6/30/2021 09:11:11.636126949	86.429430	16.786397	1006.534698	7.763022	19.522497	520.386716	88.843435	15.659126	1004.870617	16.462933	11.866460	
6/30/2021 09:11:12.636126949	86.843399	17.151208	1006.367927	8.732634	19.687037	521.576055	89.467308	15.785288	1005.857524	29.719873	11.891916	
6/30/2021 09:11:13.636126949	86.718551	16.918120	1007.140672	8.120216	19.666220	520.928822	89.349136	15.758005	1005.533602	13.697525	11.923759	
6/30/2021 09:11:14.636126949	86.744835	17.042144	1007.936598	8.251589	19.969789	520.902530	89.181917	15.874620	1004.777412	25.292336	11.864936	
6/30/2021 09:11:15.636126949	87.007673	17.019859	1007.349548	8.401810	19.723489	521.106237	89.222028	15.766302	1005.695563	14.436103	11.908015	
6/30/2021 09:11:16.636126949	87.112808	16.995670	1007.579874	9.862949	19.988729	524.673612	89.776090	15.980558	1006.118835	16.931396	11.915388	
6/30/2021 09:11:17.636126949	86.350579	16.817580	1009.252942	8.861608	19.633361	523.561150	89.252832	15.757180	1005.815419	12.714501	11.882244	
6/30/2021 09:11:18.636126949	87.526777	17.080395	1005.941972	8.294814	19.733448	522.436857	89.233014	15.915515	1005.999772	21.602067	11.890970	
6/30/2021 09:11:19.636126949	87.145663	16.985757	1006.527918	8.708928	19.715774	521.542553	89.390350	15.775235	1005.200534	13.412994	11.920894	
6/30/2021 09:11:20.636126949	87.559632	17.098221	1006.703677	8.741312	19.652136	520.750734	89.216166	15.747834	1005.637368	28.194768	11.879563	
6/30/2021 09:11:21.636126949	87.559632	16.918270	1007.319034	8.636840	19.626544	520.894657	88.933563	15.709344	1005.368961	14.048082	11.919672	
6/30/2021 09:11:22.636126949	87.487352	17.182390	1007.622139	9.364303	19.751817	522.588643	89.229755	15.733292	1005.237752	20.088757	11.909894	
6/30/2021 09:11:23.636126949	87.664767	17.001124	1007.371549	8.724268	19.685241	521.155527	89.292362	15.717958	1005.163473	13.027594	11.897949	
6/30/2021 09:11:24.636126949	87.599058	16.949720	1005.853028	8.993999	19.892886	518.847137	89.425175	16.039390	1005.464997	7.949514	11.801553	
6/30/2021 09:11:25.636126949	87.572774	16.872095	1005.770471	8.421870	19.657485	520.343352	88.878288	15.757793	1005.393247	13.718223	11.914665	
6/30/2021 09:11:26.636126949	88.249581	16.989093	1007.266044	8.114775	19.687282	523.293712	89.630058	16.054863	1006.047714	24.557690	11.879537	
6/30/2021 09:11:27.636126949	88.492706	17.653089	1010.542479	12.009433	20.020159	519.472698	88.523377	15.589700	1006.290892	12.836069	11.866920	
6/30/2021 09:11:28.636126949	88.006456	17.095901	1007.292777	8.652976	19.659240	521.023455	88.845566	15.788740	1005.598741	19.997831	11.878761	
6/30/2021 09:11:29.636126949	87.842182	16.939058	1006.290102	8.082556	19.566459	521.767279	89.118786	15.719408	1005.338367	15.278171	11.909618	
6/30/2021 09:11:30.636126949	88.229868	17.215893	1007.991478	9.658838	19.839209	524.619722	89.285844	15.825123	1005.604408	17.455130	11.916623	
6/30/2021 09:11:31.636126949	87.855324	16.829695	1005.702501	7.882966	19.556336	520.443226	88.982372	15.702072	1004.986215	17.165357	11.913351	
6/30/2021 09:11:32.636126949	88.492706	16.940256	1007.085634	8.537278	19.628830	523.235886	89.038593	15.867160	1005.577129	13.985987	11.895057	
6/30/2021 09:11:33.636126949	88.545273	17.779016	1008.266197	9.576781	20.023342	524.841154	89.057779	16.050798	1007.083664	27.321788	11.871914	
6/30/2021 09:11:34.636126949	88.091878	16.977609	1006.369820	8.623628	19.665403	523.269398	89.151745	15.786643	1005.318811	13.798394	11.920802	
6/30/2021 09:11:35.636126949	88.735830	17.275831	1008.189710	10.907302	20.126737	522.794307	89.500634	16.093120	1004.587379	17.571726	11.894466	
6/30/2021 09:11:36.636126949	88.295577	16.888360	1007.548018	8.123492	19.638504	521.938778	89.044770	15.741812	1005.436931	14.518895	11.919291	
6/30/2021 09:11:37.636126949	88.650408	17.039567	1007.561107	9.778950	20.165270	531.494928	89.609056	16.215484	1007.039816	18.637542	11.888132	
6/30/2021 09:11:38.636126949	88.440138	16.883912	1006.147617	7.927411	19.518660	520.640355	88.796283	15.685573	1005.535652	16.404770	11.897475	
6/30/2021 09:11:39.636126949	88.932959	17.211445	1006.863428	8.790886	19.692956	525.788695	89.014570	16.428703	1006.354760	26.376229	11.858496	
6/30/2021 09:11:40.636126949	88.407283	16.877816	1006.658338	7.812177	19.576704	519.983260	88.770945	15.730817	1005.061280	15.583400	11.920710	
6/30/2021 09:11:41.636126949	89.281219	17.283156	1007.961987	9.432836	19.753939	521.633881	89.118311	15.789849	1005.944735	28.889599	11.873965	
6/30/2021 09:11:42.636126949	88.499277	16.641852	1008.016868	7.866824	19.536498	520.604874	88.984527	15.673953	1005.417061	16.363374	11.879537	
6/30/2021 09:11:43.636126949	89.872603	17.816518	1009.879732	10.554237	19.484372	522.691149	89.379940	15.720423	1006.521609	15.516334	11.887303	
6/30/2021 09:11:44.636126949	88.571557	16.952147	1005.706364	8.481526	19.574745	520.473455	88.530633	15.908868	1004.024066	15.976664	11.891351	
6/30/2021 09:11:45.636126949	89.110374	17.140183	1007.062924	9.621002	20.023016	529.590005	89.629506	16.101439	1006.397023	18.289606	11.903915	
6/30/2021 09:11:46.636126949	88.755543	17.031493	1006.878016	8.883186	19.682098	523.905454	89.162362	15.931462	1005.651715	14.889110	11.906845	
6/30/2021 09:11:47.636126949	88.512418	16.529538	1003.478339	5.648225	19.017773	517.258931	88.525428	16.083395	1007.818404	28.923132	11.835104	
6/30/2021 09:11:48.636126949	88.433567	17.066034	1004.781517	7.366676	19.599890	520.733662	88.771944	15.674683	1004.942845	19.053854	11.878604	
6/30/2021 09:11:49.636126949	89.852890	17.377601	1009.252785	9.757650	19.811126	525.103339	89.049133	15.947665	1006.681998	21.088547	11.813959	
6/30/2021 09:11:50.636126949	88.913246	16.914046	1005.608904	7.918746	19.546376	523.377157	88.955721	15.731854	1004.800440	15.648115	11.915243	
6/30/2021 09:11:51.636126949	89.268077	17.136964	1008.180012	9.380375	19.846843	527.554315	88.803590	15.819028	1005.166631	16.271408	11.900906	
6/30/2021 09:11:52.636126949	89.123516	16.900540	1006.550313	7.632514	19.561684	523.515817	88.896768	15.694623	1005.046461	14.459422	11.894137	
6/30/2021 09:11:53.636126949	89.241793	17.081293	1007.710214	9.956088	20.093918	531.358247	89.223369	16.071162	1005.223090	14.973982	11.883256	
6/30/2021 09:11:54.636126949	89.294360	16.965643	1006.903014	7.869604	19.606421	525.262366	88.649409	15.793078	1004.893960	14.274450	11.920184	
6/30/2021 09:11:55.636126949	89.550627	17.211487	1008.066071	9.084229	19.849414	528.467018	89.232253	16.308965	1006.518458	20.408132	11.887211	
6/30/2021 09:11:56.636126949	89.550627	17.065136	1007.246963	8.477658	19.671200	526.171784	88.989233	15.855645	1004.894746	12.238446	11.885398	
