
Time stamp	Inside_humidity (in %rH)	Inside_temperature (in °C)	Inside_pressure (in mbar)	Soil_moisture (in %VWC)	Soil_temperature (in °C)	Inside_CO2_ratio (in ppm)	Outside_humidity (in %rH)	Outside_temperature (in °C)	Outside_pressure (in mbar)	Outside_PAR (in µmol m^-2 s^-1)	Power_box_charge (in V)	
6/30/2021 10:28:57.685157249	84.655276	16.527955	1003.923220	6.695539	18.421821	507.403177	86.089739	16.906797	1002.410771	2.797274	11.798530	
6/30/2021 10:28:58.685157249	84.720985	16.405504	1004.764249	6.307411	18.328591	507.487284	85.766921	16.844229	1002.843667	5.216057	11.827508	
6/30/2021 10:28:59.685157249	84.950968	16.475610	1003.612388	6.525322	18.370267	507.317753	86.064559	16.871724	1002.517694	5.851145	11.827574	
6/30/2021 10:29:00.685157249	84.845833	16.480059	1005.910433	6.553157	18.384145	508.271199	85.907171	16.911464	1002.528576	1.008336	11.810450	
6/30/2021 10:29:01.685157249	84.964110	16.427564	1004.893960	6.396068	18.351001	508.740365	85.880730	16.899219	1002.828370	1.458451	11.825221	
6/30/2021 10:29:02.685157249	85.042961	16.469889	1005.488894	6.418290	18.351858	508.952608	85.973433	16.951204	1002.642595	0.701796	11.818361	
6/30/2021 10:29:03.685157249	85.128384	16.400531	1004.380479	6.399729	18.337367	508.905296	85.609823	16.928069	1002.780270	2.323839	11.829269	
6/30/2021 10:29:04.685157249	85.272944	16.401654	1004.471316	6.508462	18.336836	508.515639	85.921812	16.902955	1002.830420	6.552258	11.831135	
6/30/2021 10:29:05.685157249	85.213806	16.448203	1005.801539	6.454251	18.322632	507.754722	85.712146	16.882413	1002.848240	8.316566	11.824275	
6/30/2021 10:29:06.685157249	85.351796	16.410775	1005.205816	6.415140	18.326591	508.434815	85.880625	16.981397	1002.357469	2.956306	11.800712	
6/30/2021 10:29:07.685157249	85.338654	16.459720	1004.360214	6.466260	18.358634	507.308554	85.755488	16.913019	1002.841459	5.974023	11.834736	
6/30/2021 10:29:08.685157249	85.634346	16.416946	1004.762041	6.291981	18.307039	508.091153	85.947886	16.923603	1002.500346	4.655898	11.800199	
6/30/2021 10:29:09.685157249	85.548924	16.452577	1005.460902	6.362635	18.319489	508.122034	85.651456	16.898806	1002.770017	6.729367	11.803406	
6/30/2021 10:29:10.685157249	85.772336	16.316704	1003.791616	6.620883	18.423209	507.353234	85.819227	16.889673	1002.966674	6.158995	11.802788	
6/30/2021 10:29:11.685157249	85.594920	16.449026	1004.260152	6.389151	18.360062	510.688652	85.604908	16.924121	1002.858964	1.458451	11.822777	
6/30/2021 10:29:12.685157249	86.068028	16.467344	1004.413913	6.481544	18.310100	509.268672	85.638210	16.921941	1002.807550	7.213286	11.797742	
6/30/2021 10:29:13.685157249	85.897184	16.438857	1005.198563	6.575517	18.299487	510.661708	85.779511	16.892784	1002.716559	5.910618	11.813460	
6/30/2021 10:29:14.685157249	86.271727	16.501970	1003.805810	6.727700	18.369981	510.913378	85.507448	16.957945	1002.463443	-0.080799	11.795429	
6/30/2021 10:29:15.685157249	85.989177	16.454074	1004.366286	6.429940	18.352103	510.908779	85.789027	16.892890	1003.014931	7.043770	11.831674	
6/30/2021 10:29:16.685157249	86.212589	16.522609	1003.766936	6.448369	18.309039	511.434455	85.575260	16.922565	1002.916052	5.871843	11.799831	
6/30/2021 10:29:17.685157249	86.337437	16.517037	1004.258890	6.649634	18.388962	511.428540	85.598627	16.976624	1002.647010	3.345637	11.829847	
6/30/2021 10:29:18.685157249	86.521423	16.430591	1004.626496	6.503985	18.335448	511.464021	85.573209	16.933361	1002.563272	4.747865	11.804365	
6/30/2021 10:29:19.685157249	86.547707	16.502269	1005.107884	6.544290	18.364022	511.495565	85.340414	16.927857	1002.624932	4.746554	11.823158	
6/30/2021 10:29:20.685157249	86.659413	16.464468	1004.843652	6.474002	18.331693	511.278722	85.661576	16.925677	1002.596074	6.307813	11.825813	
6/30/2021 10:29:21.685157249	86.488569	16.469815	1005.580045	6.408771	18.324346	511.697293	85.496409	16.971851	1002.489307	2.834738	11.807348	
6/30/2021 10:29:22.685157249	86.941964	16.449176	1004.226088	6.448615	18.347327	511.067795	85.729494	16.939890	1002.657735	7.389084	11.835485	
6/30/2021 10:29:23.685157249	86.764548	16.475610	1005.945995	6.474923	18.415290	512.054754	85.478956	16.989906	1003.060508	3.147831	11.802578	
6/30/2021 10:29:24.685157249	86.987960	16.448577	1003.594331	6.403637	18.318672	512.424697	85.590348	16.944356	1002.708199	3.286164	11.818374	
6/30/2021 10:29:25.685157249	86.764548	16.470488	1006.116708	6.412678	18.369696	513.411656	85.583487	17.008480	1002.804241	1.258023	11.816863	
6/30/2021 10:29:26.685157249	87.165376	16.448727	1004.262439	6.689178	18.301120	511.939102	85.491336	16.893303	1003.084479	4.985757	11.801303	
6/30/2021 10:29:27.685157249	87.112808	16.480284	1005.168521	6.337238	18.384962	513.419539	85.509051	16.923084	1002.526368	5.997342	11.803537	
6/30/2021 10:29:28.685157249	87.231085	16.448877	1005.467682	6.535877	18.309610	513.692892	85.409226	16.917274	1002.988280	5.075102	11.831148	
6/30/2021 10:29:29.685157249	87.323078	16.486304	1004.946632	6.515916	18.359205	514.255365	85.586247	16.963861	1002.649375	-0.369261	11.823750	
6/30/2021 10:29:30.685157249	87.178517	16.443679	1004.676014	6.401950	18.319529	514.085833	85.290002	16.948505	1002.782321	2.834738	11.823907	
6/30/2021 10:29:31.685157249	87.467639	16.586396	1005.450729	7.120949	18.471416	514.120662	85.662391	17.035138	1002.971090	2.374409	11.815720	
6/30/2021 10:29:32.685157249	87.349362	16.486304	1005.631694	6.327180	18.343612	513.963613	85.316838	16.975069	1003.082114	6.651817	11.805035	
6/30/2021 10:29:33.685157249	87.677909	16.456020	1005.308876	6.837222	18.480763	519.426713	85.787923	17.107358	1002.887508	4.136096	11.795587	
6/30/2021 10:29:34.685157249	87.421642	16.438707	1004.474470	6.431011	18.325203	514.472207	85.358419	16.925783	1003.028020	5.032395	11.821292	
6/30/2021 10:29:35.685157249	87.750189	16.571403	1003.763624	6.675664	18.375655	514.267848	85.279016	17.029128	1003.189667	10.630548	11.795074	
6/30/2021 10:29:36.685157249	87.487352	16.459720	1003.520290	6.626359	18.341898	514.608226	85.418951	16.945912	1002.756456	1.484392	11.823999	
6/30/2021 10:29:37.685157249	87.980172	16.671121	1005.107252	6.941258	18.464681	515.910586	85.617393	17.148760	1003.285709	4.848734	11.732400	
6/30/2021 10:29:38.685157249	87.579345	16.507392	1006.087454	6.618197	18.373369	514.576029	85.120814	16.977767	1002.938130	1.217938	11.822199	
6/30/2021 10:29:39.685157249	87.927605	16.521636	1005.468629	6.939466	18.408596	517.182064	85.399158	16.991863	1002.947590	4.779047	11.800199	
6/30/2021 10:29:40.685157249	87.756760	16.539023	1003.585262	6.758796	18.301977	514.432779	85.235174	16.935223	1002.846032	5.157894	11.775690	
6/30/2021 10:29:41.685157249	87.986743	16.572227	1004.413596	6.438096	18.547053	518.362214	85.376214	17.085779	1002.662465	3.870953	11.763573	
6/30/2021 10:29:42.685157249	87.940747	16.520181	1003.490404	6.379732	18.328591	514.958455	85.156928	16.975069	1002.389164	9.339675	11.794653	
6/30/2021 10:29:43.685157249	88.210155	16.530051	1005.100471	6.566644	18.412474	517.236606	85.321491	17.064719	1003.073598	1.832327	11.795035	
6/30/2021 10:29:44.685157249	88.249581	16.560036	1005.675693	6.577600	18.327203	514.981453	85.210651	16.945806	1002.710093	6.134365	11.820149	
6/30/2021 10:29:45.685157249	88.197013	16.618327	1004.568382	6.672135	18.394921	516.609077	85.427730	16.988763	1003.067446	1.873724	11.740706	
6/30/2021 10:29:46.685157249	88.013027	16.555064	1003.663799	6.320473	18.330020	515.449303	85.172777	16.900775	1003.047104	4.719303	11.786913	
6/30/2021 10:29:47.685157249	88.453280	16.623823	1006.025162	6.738812	18.399167	519.037045	85.385492	16.999971	1002.771753	0.889390	11.786518	
6/30/2021 10:29:48.685157249	88.341574	16.512664	1004.924711	6.560990	18.335979	517.272087	85.141131	16.911876	1002.756142	5.888609	11.832292	
6/30/2021 10:29:49.685157249	88.216726	16.533003	1003.671132	6.895089	18.474518	518.601392	85.179795	16.899632	1003.004206	9.218108	11.762837	
6/30/2021 10:29:50.685157249	88.656979	16.518310	1003.956022	6.538791	18.399412	517.850990	85.172882	17.004225	1003.158915	9.729007	11.814629	
6/30/2021 10:29:51.685157249	88.479564	16.503916	1004.313219	6.607177	18.400310	520.669931	85.155824	17.013771	1002.986230	2.819282	11.801868	
6/30/2021 10:29:52.685157249	88.302148	16.475161	1003.892626	6.410954	18.343041	518.836632	85.334633	16.931074	1002.813230	5.300160	11.828901	
6/30/2021 10:29:53.685157249	88.932959	16.565308	1004.474785	6.595888	18.395615	519.873523	85.218483	17.080582	1003.203543	2.987488	11.792130	
6/30/2021 10:29:54.685157249	88.637266	16.528330	1005.495912	6.319844	18.332265	518.469973	85.250314	16.929000	1002.710407	7.351620	11.819294	
6/30/2021 10:29:55.685157249	88.683263	16.548819	1004.710630	6.594347	18.351858	520.313123	85.172330	16.948505	1003.023762	6.632429	11.802683	
6/30/2021 10:29:56.685157249	88.900104	16.539547	1005.097949	6.544326	18.404555	519.455615	85.369248	16.960644	1002.651111	2.916220	11.819215	
6/30/2021 10:29:57.685157249	88.722689	16.513262	1003.839164	6.823494	18.484478	521.174578	85.228104	16.961469	1003.273091	1.463694	11.757633	
6/30/2021 10:29:58.685157249	88.689834	16.486154	1005.308324	6.381414	18.323774	520.263843	85.315971	16.932111	1002.742895	5.465744	11.826260	
6/30/2021 10:29:59.685157249	88.893533	16.566356	1004.350042	6.835480	18.474804	522.691812	85.131196	17.042304	1002.491672	1.294177	11.779435	
6/30/2021 10:30:00.685157249	88.801540	16.508215	1004.660165	6.592295	18.345041	520.818433	85.008898	16.972370	1002.655527	2.695094	11.824380	
6/30/2021 10:30:01.685157249	89.077519	16.545268	1005.860835	6.624403	18.345612	521.764647	85.174433	17.055585	1003.029756	-1.268182	11.780040	
