Local,Ambiente,Measuring point,Date,Time,CO2 [ppm/min],T_i [°C],P_i [hPa],rH_i [%],SM [%],ST [°C],rH_o [%]
B do Acre,Floresta,anel1rep1,6/30/2021,8:57:36,30.29436916,17.74049767,1009.497983,94.66756412,7.386424444,19.41522524,90.00273384
B do Acre,Floresta,anel1rep2,6/30/2021,9:04:15,13.13796473,17.29889112,1007.369575,91.46185817,7.94084565,19.56263282,89.65075894
B do Acre,Floresta,anel1rep3,6/30/2021,9:10:37,11.65695489,17.21656262,1007.270158,91.26033531,8.731993264,19.71332819,88.72973655
B do Acre,Floresta,anel2rep1,6/30/2021,9:24:05,19.69974161,16.92296572,1006.747426,92.41247077,3.615198197,18.7323639,88.39370242
B do Acre,Floresta,anel2rep1b,6/30/2021,9:30:32,9.901498097,16.65044581,1005.484008,91.22874989,3.580194939,18.69461806,87.90649138
B do Acre,Floresta,anel2rep2,6/30/2021,9:36:24,9.662296296,16.43571527,1005.296425,90.60702381,3.254848691,18.66207223,87.41766825
B do Acre,Floresta,anel2rep3,6/30/2021,9:42:31,8.801454519,16.34205483,1005.141476,90.41700016,2.268158279,18.68757057,86.96869713
B do Acre,Floresta,anel3rep1,6/30/2021,9:54:25,26.45438521,16.53111117,1005.278148,93.12919485,4.966640241,18.30388885,87.13793885
B do Acre,Floresta,anel3rep2,6/30/2021,10:00:45,8.310574099,16.44423019,1005.148204,91.53899376,5.145836622,18.32680757,87.28371131
B do Acre,Floresta,anel3rep3,6/30/2021,10:08:44,7.777993433,16.42051296,1005.130822,91.00138129,5.262819278,18.36452856,85.59589425
B do Acre,Floresta,anel4rep1,6/30/2021,10:15:55,22.07406715,16.54723276,1005.515044,91.32754012,6.575903481,18.36951308,84.74606119
B do Acre,Floresta,anel4rep2,6/30/2021,10:22:23,9.942389711,16.57830304,1004.794158,90.61087202,6.531883486,18.36551127,84.91900883
B do Acre,Floresta,anel4rep3,6/30/2021,10:28:57,10.38448773,16.65450704,1004.859366,90.90474636,6.602625005,18.38047659,84.15853265
,,,,,,,,,,,
,,,,,,,,,,,
Local,Ambiente,Measuring point,Date,T_o [°C],P_o [hPa],PAR [µmol m-2 s-1],F_CO2 [µmol m-2 s-1],V_ch [m3],A_ch [m2],start [s],end [s]
B do Acre,Floresta,anel1rep1,6/30/2021,15.37695798,1003.738232,6.981718178,6.811548932,0.01587,0.0491,61,360
B do Acre,Floresta,anel1rep2,6/30/2021,15.57797389,1005.117838,12.65401333,2.952264373,0.01587,0.0491,61,360
B do Acre,Floresta,anel1rep3,6/30/2021,15.88557199,1004.839003,17.84403313,2.619947123,0.01587,0.0491,61,360
B do Acre,Floresta,anel2rep1,6/30/2021,15.54943055,1003.29694,6.340775879,4.429776852,0.01587,0.0491,61,360
B do Acre,Floresta,anel2rep1b,6/30/2021,15.52691115,1003.408135,5.352537453,2.225794544,0.01587,0.0491,61,360
B do Acre,Floresta,anel2rep2,6/30/2021,15.45592938,1004.090313,4.501612105,2.173228544,0.01587,0.0491,61,360
B do Acre,Floresta,anel2rep3,6/30/2021,15.56500138,1004.132684,4.868549994,1.97994461,0.01587,0.0491,61,360
B do Acre,Floresta,anel3rep1,6/30/2021,16.04221059,1003.547518,3.586918944,5.948011295,0.01587,0.0491,61,360
B do Acre,Floresta,anel3rep2,6/30/2021,16.41918971,1003.66931,3.496728094,1.868870758,0.01587,0.0491,61,360
B do Acre,Floresta,anel3rep3,6/30/2021,16.77568302,1003.53744,3.776490367,1.749217743,0.01587,0.0491,61,360
B do Acre,Floresta,anel4rep1,6/30/2021,16.79248022,1002.975828,3.809281569,4.964032681,0.01587,0.0491,61,360
B do Acre,Floresta,anel4rep2,6/30/2021,16.88449608,1002.779081,3.871540624,2.234009458,0.01587,0.0491,61,360
B do Acre,Floresta,anel4rep3,6/30/2021,17.00611409,1002.740913,4.601737385,2.332884693,0.01587,0.0491,61,360
