
Time stamp	Inside_humidity (in %rH)	Inside_temperature (in °C)	Inside_pressure (in mbar)	Soil_moisture (in %VWC)	Soil_temperature (in °C)	Inside_CO2_ratio (in ppm)	Outside_humidity (in %rH)	Outside_temperature (in °C)	Outside_pressure (in mbar)	Outside_PAR (in µmol m^-2 s^-1)	Power_box_charge (in V)	
6/30/2021 12:59:02.386792749	66.742880	25.566103	1003.505781	4.424594	20.405528	484.047384	77.198411	26.035915	999.718313	110.796327	11.808505	
6/30/2021 12:59:03.386792749	66.756022	25.661371	1003.839401	4.305256	20.448878	485.052741	76.898251	26.055632	1000.127710	92.440340	11.785060	
6/30/2021 12:59:04.386792749	66.972863	25.665970	1003.050493	4.287023	20.393609	484.201801	76.751587	25.960171	1000.075352	82.449495	11.781551	
6/30/2021 12:59:05.386792749	67.071427	25.650902	1003.850283	4.583977	20.434183	484.113093	76.084715	26.078248	1000.191264	96.539328	11.773048	
6/30/2021 12:59:06.386792749	66.959721	25.591863	1003.689111	4.274417	20.362464	484.316137	76.064293	26.013606	999.805996	74.710538	11.801895	
6/30/2021 12:59:07.386792749	67.314552	25.781877	1003.654968	4.470913	20.437285	485.847823	75.666382	26.004885	1000.033876	77.602755	11.778555	
6/30/2021 12:59:08.386792749	67.097711	25.560980	1004.407999	4.415608	20.423978	483.662326	75.339990	26.025745	999.877752	87.210822	11.766096	
6/30/2021 12:59:09.386792749	67.202846	25.713716	1003.706774	4.623580	20.548312	486.290707	75.090294	25.986830	999.959283	90.679964	11.795232	
6/30/2021 12:59:10.386792749	67.590532	25.660174	1002.792728	4.107890	20.409528	485.071139	74.994937	25.945746	999.547836	91.952761	11.785270	
6/30/2021 12:59:11.386792749	67.662812	25.641332	1001.762850	4.472044	20.547496	488.209429	74.654799	26.030518	1000.276582	101.047306	11.779238	
6/30/2021 12:59:12.386792749	67.682525	25.645032	1003.106714	4.265184	20.418264	485.937846	74.619342	25.980713	999.852202	96.963774	11.818125	
6/30/2021 12:59:13.386792749	67.938792	25.630638	1004.016265	3.911187	20.499901	487.858536	74.315370	26.101594	999.825394	98.870348	11.747737	
