
Time stamp	Inside_humidity (in %rH)	Inside_temperature (in °C)	Inside_pressure (in mbar)	Soil_moisture (in %VWC)	Soil_temperature (in °C)	Inside_CO2_ratio (in ppm)	Outside_humidity (in %rH)	Outside_temperature (in °C)	Outside_pressure (in mbar)	Outside_PAR (in µmol m^-2 s^-1)	Power_box_charge (in V)	
6/30/2021 13:32:10.386792749	64.863589	25.078872	1002.562088	6.895386	19.449677	479.701356	75.696819	24.318226	999.865292	48.874183	11.747763	
6/30/2021 13:32:11.386792749	65.008150	25.111103	1002.957686	6.906798	19.515150	482.364565	75.232542	24.350388	999.848573	47.315545	11.726973	
6/30/2021 13:32:12.386792749	65.027862	25.100185	1002.294624	6.910997	19.432125	480.894642	74.604387	24.271639	1000.193472	49.571365	11.781590	
6/30/2021 13:32:13.386792749	65.297271	25.104783	1003.623112	6.990093	19.519109	482.396762	74.574239	24.284709	1000.784700	46.183704	11.737486	
6/30/2021 13:32:14.386792749	65.612677	25.136639	1002.316150	6.825996	19.487638	480.225717	74.034527	24.214988	1000.075510	50.199900	11.777727	
6/30/2021 13:32:15.386792749	65.546967	25.169169	1002.953822	6.994293	19.556499	482.593891	73.686662	24.265829	1000.419616	54.637920	11.763691	
6/30/2021 13:32:16.386792749	65.316984	25.083995	1001.927413	6.903830	19.404654	481.486028	73.539998	24.224428	1000.147738	45.879785	11.775111	
6/30/2021 13:32:17.386792749	65.527255	25.105606	1002.329949	6.985187	19.514007	481.587218	73.423272	24.214776	1000.640244	44.599126	11.744833	
6/30/2021 13:32:18.386792749	65.842660	25.068254	1002.530232	6.890343	19.395592	481.861887	73.109628	24.204711	1000.497681	45.327490	11.770039	
6/30/2021 13:32:19.386792749	66.190920	25.136938	1002.959893	6.943309	19.549968	483.415918	72.909240	24.205230	1000.498310	47.725575	11.765873	
6/30/2021 13:32:20.386792749	66.026647	25.088293	1002.939077	6.751432	19.397265	482.020903	73.034982	24.220692	1000.140957	46.967609	11.781236	
6/30/2021 13:32:21.386792749	66.138353	25.105756	1003.049784	7.016684	19.500414	483.881800	72.929952	24.275682	1000.583313	47.875704	11.767397	
6/30/2021 13:32:22.386792749	66.236917	25.125571	1002.354472	6.631488	19.425022	481.804061	72.906271	24.199525	1000.235263	44.789340	11.784994	
6/30/2021 13:32:23.386792749	66.309197	25.079771	1003.217659	7.131170	19.516007	482.298856	72.949165	24.284815	1000.535214	48.014038	11.760327	
6/30/2021 13:32:24.386792749	66.696883	25.189882	1002.629743	6.818715	19.472086	480.936038	72.680308	24.256802	1000.280997	50.741981	11.760248	
6/30/2021 13:32:25.386792749	66.986005	25.100559	1001.372694	7.004538	19.488495	482.326453	72.997607	24.260950	1000.771453	44.088226	11.729391	
