
Time stamp	Inside_humidity (in %rH)	Inside_temperature (in °C)	Inside_pressure (in mbar)	Soil_moisture (in %VWC)	Soil_temperature (in °C)	Inside_CO2_ratio (in ppm)	Outside_humidity (in %rH)	Outside_temperature (in °C)	Outside_pressure (in mbar)	Outside_PAR (in µmol m^-2 s^-1)	Power_box_charge (in V)	
6/30/2021 09:30:32.118187349	87.257369	16.486229	1005.431883	3.653933	18.728859	504.790563	88.442898	15.549040	1003.597328	5.893851	11.862544	
6/30/2021 09:30:33.118187349	87.158805	16.559812	1004.707790	3.767767	18.694571	505.219648	88.586145	15.551633	1003.632023	4.993620	11.857931	
6/30/2021 09:30:34.118187349	87.270511	16.471985	1007.493295	4.842961	19.122107	511.358241	88.888960	15.763508	1004.525725	14.495576	11.834407	
6/30/2021 09:30:35.118187349	87.461068	16.447978	1005.592346	3.504900	18.648936	504.189325	88.234731	15.355326	1003.047104	2.709239	11.885661	
6/30/2021 09:30:36.118187349	87.835612	16.569682	1006.734666	3.827787	18.711593	505.659901	88.240250	15.395891	1003.181150	7.346378	11.862833	
6/30/2021 09:30:37.118187349	87.605629	16.449176	1006.532965	3.644609	18.695388	505.196650	88.181217	15.337790	1002.848240	6.694524	11.876553	
6/30/2021 09:30:38.118187349	87.671338	16.438557	1005.616317	3.711504	18.741023	505.662532	88.443740	15.379085	1002.964309	5.245929	11.874556	
6/30/2021 09:30:39.118187349	87.467639	16.433435	1006.385669	3.613879	18.718614	505.328069	88.366806	15.268481	1002.977398	6.346588	11.884557	
6/30/2021 09:30:40.118187349	87.677909	16.575178	1006.277959	3.886982	18.775352	506.550921	88.315999	15.278958	1003.017139	4.808648	11.852872	
6/30/2021 09:30:41.118187349	88.190442	16.485705	1006.749806	4.151742	18.691714	507.648932	88.280280	15.492918	1003.855173	13.095970	11.815378	
6/30/2021 09:30:42.118187349	88.229868	16.427115	1006.581379	3.579145	18.683510	506.824274	88.539544	15.220856	1002.758507	3.763531	11.878525	
6/30/2021 09:30:43.118187349	88.249581	16.539023	1006.308317	4.595677	18.858336	508.769278	88.612796	15.276460	1003.297691	8.673676	11.880076	
6/30/2021 09:30:44.118187349	88.085307	16.417170	1006.567029	3.537919	18.677550	507.907823	88.334556	15.253749	1002.695267	3.621265	11.882940	
6/30/2021 09:30:45.118187349	88.183871	16.560560	1005.470757	3.702508	18.692081	508.638511	88.361339	15.352733	1003.478736	10.961718	11.853503	
6/30/2021 09:30:46.118187349	88.275865	16.448877	1005.380315	3.539857	18.691143	508.928294	88.538045	15.236837	1003.003577	8.007406	11.895780	
6/30/2021 09:30:47.118187349	88.525560	16.539098	1006.074917	4.156133	18.873888	511.824775	88.478065	15.309564	1002.883722	7.535281	11.862111	
6/30/2021 09:30:48.118187349	88.354716	16.443455	1006.579171	3.517844	18.705878	509.557792	88.179561	15.276471	1002.856914	6.572956	11.862360	
6/30/2021 09:30:49.118187349	88.446709	16.555213	1006.630345	3.924314	18.760616	509.760173	88.478855	15.385001	1003.364560	15.368556	11.855960	
