
Time stamp	Inside_humidity (in %rH)	Inside_temperature (in °C)	Inside_pressure (in mbar)	Soil_moisture (in %VWC)	Soil_temperature (in °C)	Inside_CO2_ratio (in ppm)	Outside_humidity (in %rH)	Outside_temperature (in °C)	Outside_pressure (in mbar)	Outside_PAR (in µmol m^-2 s^-1)	Power_box_charge (in V)	
6/30/2021 10:08:44.685157249	84.392438	16.122049	1003.973290	4.988327	18.297120	509.068912	86.946983	16.629973	1003.271198	6.407372	11.841281	
6/30/2021 10:08:45.685157249	84.241306	16.158728	1004.920296	5.213292	18.350960	511.810314	86.929321	16.720036	1003.402407	1.073051	11.850204	
6/30/2021 10:08:46.685157249	84.096746	16.139437	1004.970918	5.134424	18.351001	511.211697	87.081110	16.716712	1003.566419	-1.454464	11.821739	
6/30/2021 10:08:47.685157249	84.326729	16.227787	1004.045755	5.347220	18.293732	517.247121	86.908609	16.676041	1003.382537	1.173921	11.817323	
6/30/2021 10:08:48.685157249	84.339870	16.180190	1004.190369	5.156336	18.310713	516.246364	87.234344	16.678740	1003.176892	2.980935	11.823854	
6/30/2021 10:08:49.685157249	84.326729	16.138614	1005.215988	5.142695	18.352103	519.834758	86.939861	16.699388	1003.562318	0.847994	11.849218	
6/30/2021 10:08:50.685157249	84.622421	16.191258	1004.588489	5.082483	18.350429	519.845273	87.278633	16.717749	1003.135258	0.000683	11.820976	
6/30/2021 10:08:51.685157249	84.714414	16.158953	1005.450572	5.218025	18.340469	526.854509	86.851731	16.716300	1003.251170	1.499848	11.843449	
6/30/2021 10:08:52.685157249	84.740698	16.118200	1005.641944	5.056390	18.296875	526.110674	87.137778	16.676454	1002.990802	4.060896	11.832344	
6/30/2021 10:08:53.685157249	84.681559	16.195782	1005.005219	5.208715	18.349531	531.176222	86.888397	16.713188	1003.455079	0.297009	11.839756	
6/30/2021 10:08:54.685157249	84.517286	16.133641	1006.060566	5.156468	18.353817	530.207662	86.944461	16.730100	1003.345476	1.092439	11.836195	
6/30/2021 10:08:55.685157249	84.983823	16.141982	1004.793660	5.153837	18.289160	535.607672	86.830310	16.761532	1003.244390	0.100242	11.823395	
6/30/2021 10:08:56.685157249	85.134954	16.180190	1004.906103	5.296875	18.359736	536.597915	86.783657	16.731031	1003.404615	0.475428	11.850112	
6/30/2021 10:08:57.685157249	84.964110	16.149382	1006.459001	5.118539	18.318672	540.704101	86.816668	16.709865	1003.612311	2.858057	11.810791	
6/30/2021 10:08:58.685157249	85.312370	16.191258	1004.787825	5.202870	18.366267	539.769054	86.826184	16.732693	1003.391525	-0.177736	11.847720	
6/30/2021 10:08:59.685157249	85.627775	16.143961	1003.924796	5.124457	18.300549	544.458742	86.641461	16.725634	1003.623192	4.923663	11.828323	
6/30/2021 10:09:00.685157249	85.430647	16.170919	1005.414773	4.986079	18.344470	543.077527	86.801609	16.691704	1003.419912	7.304981	11.796927	
6/30/2021 10:09:01.685157249	85.299228	16.123771	1004.912174	5.001581	18.291487	546.596927	86.631079	16.716712	1003.255901	2.034066	11.852556	
6/30/2021 10:09:02.685157249	85.857758	16.159477	1004.686659	4.990894	18.298834	546.951104	86.499003	16.703536	1003.479051	5.314305	11.846064	
6/30/2021 10:09:03.685157249	85.785478	16.165273	1006.030918	5.135258	18.290630	551.563252	86.687405	16.695027	1003.373863	5.974023	11.822645	
6/30/2021 10:09:04.685157249	86.028603	16.419298	1006.453482	5.607129	18.310753	549.739153	86.263106	16.743276	1003.820006	0.965629	11.789449	
6/30/2021 10:09:05.685157249	85.956322	16.202700	1003.938438	5.052159	18.477906	557.199819	86.938390	16.940526	1004.144243	6.382742	11.824709	
6/30/2021 10:09:06.685157249	86.048315	16.165048	1004.888912	5.160878	18.337081	553.840087	86.429982	16.781873	1003.222784	1.565874	11.848312	
6/30/2021 10:09:07.685157249	86.114025	16.222890	1005.442607	5.243198	18.369369	558.300450	86.639595	16.762993	1003.297220	1.012268	11.850480	
6/30/2021 10:09:08.685157249	86.403146	16.228760	1005.683577	5.215321	18.362593	557.988985	86.699076	16.775026	1003.430951	-0.793437	11.838442	
6/30/2021 10:09:09.685157249	86.455714	16.165572	1004.178935	5.065030	18.292058	560.336129	86.375916	16.680084	1003.481101	4.103603	11.843068	
6/30/2021 10:09:10.685157249	86.238873	16.212645	1004.237364	5.041257	18.255770	560.915032	86.614311	16.687037	1003.074227	4.637821	11.819965	
6/30/2021 10:09:11.685157249	86.606845	16.146762	1004.825833	5.020111	18.282751	563.803619	86.247100	16.687143	1003.319297	5.523907	11.823855	
6/30/2021 10:09:12.685157249	86.672555	16.181313	1004.934647	4.987406	18.299977	563.470471	86.500397	16.722628	1003.220576	0.802666	11.848982	
6/30/2021 10:09:13.685157249	86.606845	16.202176	1005.352717	5.180588	18.361124	564.700554	86.355704	16.747425	1003.240289	0.555599	11.838915	
6/30/2021 10:09:14.685157249	86.744835	16.154355	1005.748078	5.175819	18.316958	564.532338	86.079015	16.688699	1003.157179	3.040408	11.850296	
6/30/2021 10:09:15.685157249	86.803974	16.334049	1005.198483	4.970719	18.386676	567.049013	86.383881	16.739022	1002.999162	0.661711	11.818440	
6/30/2021 10:09:16.685157249	86.817116	16.180864	1006.515775	5.180323	18.206176	566.459596	86.214849	16.819126	1003.890655	4.723235	11.824223	
6/30/2021 10:09:17.685157249	86.961676	16.233958	1004.871330	5.236796	18.352919	568.760744	85.950803	16.718374	1003.225620	0.866071	11.834473	
6/30/2021 10:09:18.685157249	87.349362	16.260018	1003.986380	5.284346	18.355205	568.471624	86.187909	16.741720	1003.375914	1.462383	11.843515	
6/30/2021 10:09:19.685157249	87.178517	16.194028	1005.118843	5.160731	18.294956	569.629419	85.985628	16.756547	1003.104978	3.485282	11.817901	
6/30/2021 10:09:20.685157249	87.066811	16.218666	1005.344043	5.154668	18.349000	570.146559	86.205808	16.705505	1003.211430	5.355701	11.845565	
6/30/2021 10:09:21.685157249	87.362504	16.198027	1004.340107	5.055355	18.295446	570.680118	86.076360	16.719305	1003.137309	5.172040	11.852754	
6/30/2021 10:09:22.685157249	87.480781	16.203374	1004.162139	5.060470	18.291201	570.318058	85.923020	16.697620	1003.341218	3.429740	11.848601	
6/30/2021 10:09:23.685157249	87.566203	16.456277	1007.169138	6.018423	18.555543	574.875675	86.024135	16.809580	1003.113810	-4.302665	11.773810	
6/30/2021 10:09:24.685157249	87.572774	16.218366	1004.996545	5.119802	18.312427	571.566539	86.101278	16.728545	1003.341061	1.567184	11.853608	
6/30/2021 10:09:25.685157249	87.710764	16.182137	1003.700780	5.070259	18.305365	572.581094	85.825613	16.649890	1003.373863	5.231513	11.847024	
6/30/2021 10:09:26.685157249	87.684480	16.238855	1005.449783	5.210881	18.367083	572.981267	86.141203	16.705928	1003.313624	-0.944876	11.840598	
6/30/2021 10:09:27.685157249	87.658196	16.229659	1004.494893	5.123709	18.331448	574.567494	85.953667	16.680708	1003.367240	3.794442	11.847484	
6/30/2021 10:09:28.685157249	88.085307	16.245624	1004.115144	5.144783	18.300549	574.469587	85.863278	16.663172	1003.465804	6.134365	11.843541	
6/30/2021 10:09:29.685157249	88.065594	16.144784	1003.675705	4.395381	18.146131	573.319666	85.934454	16.642630	1002.980078	1.093749	11.822435	
6/30/2021 10:09:30.685157249	87.822470	16.292548	1005.462872	5.240571	18.344470	575.554452	85.914294	16.728439	1003.417075	1.949963	11.841793	
6/30/2021 10:09:31.685157249	87.999885	16.223638	1004.923922	5.013176	18.305610	576.242428	86.129112	16.697102	1003.553015	3.556550	11.805995	
6/30/2021 10:09:32.685157249	88.243010	16.198177	1005.848298	5.074723	18.296589	576.237829	85.947648	16.689630	1003.459181	6.175761	11.854370	
6/30/2021 10:09:33.685157249	88.105020	16.256093	1005.759669	5.209554	18.339367	577.247785	86.023530	16.706129	1003.489775	3.878545	11.852675	
6/30/2021 10:09:34.685157249	88.039311	16.271909	1003.782076	5.067847	18.353531	576.668882	85.946544	16.760188	1003.282079	-0.797368	11.837798	
6/30/2021 10:09:35.685157249	88.512418	16.192980	1005.056235	5.043842	18.282139	578.265624	85.700765	16.717749	1003.411238	4.448918	11.852294	
6/30/2021 10:09:36.685157249	88.367858	16.261814	1004.915171	5.112675	18.343612	578.067180	85.971724	16.727295	1003.651893	1.255402	11.827258	
6/30/2021 10:09:37.685157249	88.289006	16.224911	1005.248396	5.010413	18.315856	578.068495	85.649301	16.708203	1003.214110	5.825204	11.854751	
6/30/2021 10:09:38.685157249	88.440138	16.240577	1005.378107	5.044225	18.310182	578.487066	85.960081	16.713495	1003.334123	5.497967	11.853030	
6/30/2021 10:09:39.685157249	88.643837	16.287425	1005.698637	5.225484	18.326060	579.487823	85.747656	16.724608	1003.307472	2.448028	11.838797	
6/30/2021 10:09:40.685157249	88.440138	16.260691	1005.461216	5.246740	18.350388	578.720991	86.044847	16.743795	1003.325606	0.439274	11.849442	
6/30/2021 10:09:41.685157249	88.453280	16.229958	1005.608589	5.247082	18.349858	580.242824	85.776304	16.738916	1003.332230	3.015779	11.852688	
6/30/2021 10:09:42.685157249	88.742401	16.281854	1005.517595	5.250707	18.347286	580.233625	86.018510	16.737466	1003.279714	0.127493	11.850020	
6/30/2021 10:09:43.685157249	88.709547	16.250821	1005.481639	5.105280	18.321244	582.096489	85.849689	16.736736	1003.402407	4.984446	11.847773	
6/30/2021 10:09:44.685157249	88.624124	16.214367	1005.187444	4.783528	18.359491	581.103615	85.626277	16.750536	1002.857857	5.927384	11.799949	
6/30/2021 10:09:45.685157249	88.768685	16.298718	1005.190362	5.681725	18.482151	585.676346	86.125458	16.831159	1003.693999	2.640863	11.823513	
6/30/2021 10:09:46.685157249	88.893533	16.309636	1004.308014	5.261316	18.315570	583.067017	85.621361	16.711315	1003.378121	4.103603	11.820792	
6/30/2021 10:09:47.685157249	88.978955	16.262338	1005.313291	5.161137	18.312753	585.197318	86.049866	16.839149	1003.820321	13.181383	11.811383	
6/30/2021 10:09:48.685157249	88.880391	16.245924	1005.023828	4.959895	18.291487	584.517225	85.800223	16.682677	1003.343426	4.205783	11.848246	
6/30/2021 10:09:49.685157249	88.913246	16.446182	1005.580045	5.355112	18.431209	585.639539	85.880178	16.796711	1002.754563	4.172250	11.785691	
6/30/2021 10:09:50.685157249	88.952672	16.298643	1005.498434	5.163499	18.310182	585.916839	85.693037	16.697620	1003.369290	4.350669	11.843292	
6/30/2021 10:09:51.685157249	89.162942	16.351437	1006.969565	5.592224	18.480192	588.265298	86.128166	16.770147	1003.529830	-0.345942	11.829598	
6/30/2021 10:09:52.685157249	88.952672	16.283201	1005.506556	5.191945	18.348674	586.120535	85.765213	16.750229	1003.628237	-0.819377	11.829506	
