
Time stamp	Inside_humidity (in %rH)	Inside_temperature (in °C)	Inside_pressure (in mbar)	Soil_moisture (in %VWC)	Soil_temperature (in °C)	Inside_CO2_ratio (in ppm)	Outside_humidity (in %rH)	Outside_temperature (in °C)	Outside_pressure (in mbar)	Outside_PAR (in µmol m^-2 s^-1)	Power_box_charge (in V)	
6/30/2021 12:50:16.386792749	66.637745	25.404651	1002.957448	4.434169	20.572150	486.734906	71.701133	25.714779	1000.248667	106.499533	11.797978	
6/30/2021 12:50:17.386792749	66.631174	25.488778	1002.597098	4.105737	20.449775	483.387005	71.221611	25.721426	999.720678	93.640829	11.810371	
6/30/2021 12:50:18.386792749	66.795447	25.572904	1005.175933	4.530012	20.520351	484.295108	71.055681	25.802249	1000.259077	98.627213	11.763008	
6/30/2021 12:50:19.386792749	66.815160	25.356905	1003.687218	4.294264	20.476961	482.944121	70.878870	25.751101	999.737869	95.835865	11.821450	
6/30/2021 12:50:20.386792749	67.071427	25.506315	1002.511780	4.066786	20.487206	484.169604	70.633984	25.814081	1000.331148	79.884515	11.785033	
6/30/2021 12:50:21.386792749	66.926866	25.458269	1004.662216	4.101178	20.429366	485.049457	70.527693	25.743217	1000.199938	94.334079	11.788503	
6/30/2021 12:50:22.386792749	67.156850	25.457670	1004.425504	4.434479	20.486880	484.925921	70.530900	25.799656	1000.169029	92.913775	11.804431	
6/30/2021 12:50:23.386792749	67.531394	25.510015	1002.771754	4.067251	20.458551	484.606573	70.249610	25.703890	999.788334	167.337781	11.829729	
6/30/2021 12:50:24.386792749	67.767948	25.621399	1005.086672	4.315392	20.502513	484.751790	70.064572	25.763653	1000.333513	244.091217	11.789002	
6/30/2021 12:50:25.386792749	67.675954	25.468064	1004.673807	3.999950	20.444102	485.677639	70.257180	25.759504	999.762155	159.952002	11.793221	
6/30/2021 12:50:26.386792749	67.649671	25.433032	1004.373698	4.189512	20.464225	487.283580	69.997102	25.806822	1000.397067	168.688127	11.805062	
6/30/2021 12:50:27.386792749	67.767948	25.442678	1003.035905	4.273865	20.409528	486.432641	69.879429	25.737301	1000.283362	97.024558	11.789055	
6/30/2021 12:50:28.386792749	68.096495	25.494274	1003.754793	4.618656	20.526270	487.897964	69.586102	25.797064	999.962277	99.346403	11.796769	
6/30/2021 12:50:29.386792749	68.181917	25.420093	1003.551121	4.084645	20.500758	485.624412	69.606262	25.749958	1000.057376	94.277227	11.823014	
6/30/2021 12:50:30.386792749	68.346191	25.490275	1004.752106	4.248305	20.412957	487.172528	69.745698	25.804017	1000.438700	94.454336	11.783956	
6/30/2021 12:50:31.386792749	68.694451	25.379564	1005.157087	3.957137	20.470716	485.586300	69.493399	25.808896	1000.261127	96.097076	11.778121	
6/30/2021 12:50:32.386792749	68.687880	25.462792	1003.229170	4.132273	20.490268	488.895437	69.560555	25.771018	1000.377039	92.781994	11.768225	
6/30/2021 12:50:33.386792749	68.622171	25.420317	1003.357225	4.125781	20.456796	485.242638	69.289305	25.778596	999.950609	95.684425	11.781985	
6/30/2021 12:50:34.386792749	69.141276	25.579373	1004.041183	4.357503	20.450633	486.943202	69.531117	25.776934	1000.103582	90.993057	11.777070	
