
Time stamp	Inside_humidity (in %rH)	Inside_temperature (in °C)	Inside_pressure (in mbar)	Soil_moisture (in %VWC)	Soil_temperature (in °C)	Inside_CO2_ratio (in ppm)	Outside_humidity (in %rH)	Outside_temperature (in °C)	Outside_pressure (in mbar)	Outside_PAR (in µmol m^-2 s^-1)	Power_box_charge (in V)	
2/3/2023 13:44:02.131660249	97.632883	26.943699	999.502733	-3.731315	25.763226	635.692435	81.395089	27.886613	999.155787	65.117927	12.229478	
2/3/2023 13:44:03.131660249	97.363474	26.864171	1000.528038	-3.574843	25.651587	635.330376	81.121265	27.825188	998.879335	62.862108	12.230766	
2/3/2023 13:44:04.131660249	97.442326	26.928482	1001.467869	-3.608450	25.723550	636.645881	81.400294	27.942852	999.216818	63.278690	12.188410	
2/3/2023 13:44:05.131660249	97.527748	26.917414	1000.150892	-3.528920	25.618401	635.643809	81.370856	27.878834	999.216347	66.183743	12.241477	
2/3/2023 13:44:06.131660249	97.527748	26.960862	1000.616273	-3.571956	25.649056	636.582140	81.294817	27.930300	999.271384	63.272137	12.219227	
2/3/2023 13:44:07.131660249	97.593457	26.927883	1001.142291	-3.557560	25.621544	635.573500	81.045725	27.847085	998.973641	60.395376	12.239492	
2/3/2023 13:44:08.131660249	97.560602	27.023601	999.185120	-3.585117	25.642280	636.258192	81.251423	27.926046	999.586475	62.471465	12.202984	
2/3/2023 13:44:09.131660249	97.600028	26.932856	1000.469609	-3.530183	25.615013	634.568143	81.403711	27.884750	998.927592	63.202180	12.222289	
2/3/2023 13:44:10.131660249	97.619741	26.992045	1000.146239	-3.663322	25.684486	635.613580	81.306355	27.902593	999.054700	68.923210	12.192589	
2/3/2023 13:44:11.131660249	97.619741	26.875763	998.780691	-3.424660	25.697753	637.102563	81.272344	27.889936	998.433035	56.727115	12.195112	
2/3/2023 13:44:12.131660249	97.527748	27.054110	1000.587729	-3.622223	25.653301	636.183283	81.530609	27.936004	999.089553	61.524596	12.223972	
2/3/2023 13:44:13.131660249	97.586886	26.880810	999.631892	-3.545642	25.662036	636.574256	81.382499	27.851752	998.905829	62.797392	12.243238	
2/3/2023 13:44:14.131660249	97.475180	26.970882	1000.698121	-3.649748	25.705672	637.316774	81.349644	27.918468	999.284631	66.428188	12.230990	
2/3/2023 13:44:15.131660249	97.455467	26.917040	1000.016371	-3.553278	25.620401	636.601854	81.308958	27.892116	998.967489	59.205372	12.237061	
2/3/2023 13:44:16.131660249	97.646025	26.945121	1000.667684	-3.565056	25.688405	636.878490	81.549875	27.949699	999.284788	63.903293	12.231765	
2/3/2023 13:44:17.131660249	97.573744	26.949046	1001.643076	-3.543857	25.620401	637.178125	81.318393	27.906954	999.061166	59.712339	12.230556	
2/3/2023 13:44:18.131660249	97.534319	26.965386	1000.631018	-3.586767	25.647627	639.025221	81.620290	27.966304	999.385246	62.530938	12.218478	
2/3/2023 13:44:19.131660249	97.567173	26.885932	1000.419302	-3.530543	25.653546	638.006066	81.303648	27.873437	999.273749	63.679546	12.231620	
2/3/2023 13:44:20.131660249	97.560602	26.981800	999.311834	-3.601536	25.648199	638.629648	81.239095	27.930713	999.312860	58.839359	12.204679	
2/3/2023 13:44:21.131660249	97.494893	26.881035	999.879485	-3.544940	25.643627	638.302417	81.070905	27.849466	998.995247	60.764009	12.218807	
2/3/2023 13:44:22.131660249	97.600028	26.960039	1001.250790	-3.611700	25.672567	638.759752	81.338948	27.887131	999.227700	62.199769	12.216428	
2/3/2023 13:44:23.131660249	97.672308	26.906721	1000.766800	-3.582724	25.630892	637.943641	81.083495	27.869807	998.894790	56.183723	12.239873	
2/3/2023 13:44:24.131660249	97.659166	26.928108	1000.355590	-3.536467	25.682446	638.085574	80.935123	27.892635	999.269176	62.261863	12.238546	
2/3/2023 13:44:25.131660249	97.600028	27.144257	1000.584732	-3.614992	25.657015	640.014800	81.434200	28.047646	999.619906	60.397997	12.154990	
2/3/2023 13:44:26.131660249	97.646025	27.060280	1001.548691	-3.713949	25.584685	636.431007	81.021097	27.975226	998.949355	59.365714	12.213918	
2/3/2023 13:44:27.131660249	97.521177	26.912591	1001.608066	-3.857111	25.787595	640.996505	81.031979	27.900307	999.383352	59.488592	12.194442	
2/3/2023 13:44:28.131660249	97.639454	26.938801	999.861980	-3.541535	25.662893	638.583653	81.139716	27.850196	999.330523	57.213385	12.225733	
2/3/2023 13:44:29.131660249	97.718305	26.902497	1000.287778	-3.660360	25.756123	642.270615	81.045673	27.936523	999.241261	55.635360	12.216244	
2/3/2023 13:44:30.131660249	97.593457	26.944522	1000.739912	-3.518314	25.614727	638.759752	80.821209	27.903218	999.306237	58.148459	12.230582	
2/3/2023 13:44:31.131660249	97.560602	26.861669	1001.274761	-3.662697	25.617299	641.911839	80.949711	28.055848	998.945569	55.834477	12.186268	
2/3/2023 13:44:32.131660249	97.606599	26.923510	1001.082758	-3.501537	25.651832	640.315097	80.966717	27.898339	999.201049	61.374467	12.240517	
2/3/2023 13:44:33.131660249	97.659166	26.992494	1000.376565	-3.574271	25.649627	641.666083	80.838162	28.001271	999.492327	55.328820	12.199922	
2/3/2023 13:44:34.131660249	97.600028	26.991820	999.435630	-3.607926	25.572807	640.901883	80.614803	27.880284	999.240947	55.345587	12.206217	
2/3/2023 13:44:35.131660249	97.600028	27.020650	1000.405818	-3.611669	25.628646	641.037901	80.971027	27.934131	999.183702	69.405819	12.181405	
2/3/2023 13:44:36.131660249	97.554031	26.970508	1000.737862	-3.543408	25.611339	640.769148	80.683719	27.908509	998.967018	61.747033	12.242002	
2/3/2023 13:44:37.131660249	97.613170	27.023901	999.574015	-3.605973	25.665506	642.503877	80.997259	27.910372	999.172977	70.057673	12.217664	
2/3/2023 13:44:38.131660249	97.554031	26.896851	998.790469	-3.523902	25.653832	642.408601	80.871569	27.908922	999.085295	65.769781	12.226403	
2/3/2023 13:44:39.131660249	97.534319	27.097258	1000.832248	-3.601923	25.747347	643.137974	80.656988	27.921473	999.041925	62.671893	12.194928	
2/3/2023 13:44:40.131660249	97.580315	26.907170	999.537586	-3.577587	25.630034	643.045982	80.731214	27.879247	998.999977	62.612420	12.229780	
2/3/2023 13:44:41.131660249	97.540890	26.971107	1000.697884	-3.641198	25.735428	644.280664	80.898957	27.950630	999.341562	64.643182	12.231568	
2/3/2023 13:44:42.131660249	97.580315	26.924707	1000.758521	-3.553541	25.656403	643.207630	80.631256	27.898339	998.730778	60.086215	12.198621	
2/3/2023 13:44:43.131660249	97.442326	26.954692	1000.708371	-3.627726	25.694650	643.984313	80.864946	27.966198	999.282738	60.723924	12.231883	
2/3/2023 13:44:44.131660249	97.593457	26.902422	1000.816950	-3.481047	25.714448	643.145204	80.609835	27.930088	998.855678	61.294296	12.217480	
2/3/2023 13:44:45.131660249	97.494893	26.971481	1000.138355	-3.607242	25.656689	646.619923	80.710345	27.961425	999.109580	57.421676	12.224143	
2/3/2023 13:44:46.131660249	97.534319	26.965311	1000.093647	-3.531844	25.585256	644.122300	80.693154	27.958420	998.697347	55.913338	12.221173	
2/3/2023 13:44:47.131660249	97.619741	26.925082	999.219184	-3.589947	25.669139	645.967428	80.543022	27.929570	999.584267	57.353029	12.221002	
2/3/2023 13:44:48.131660249	97.659166	26.949869	999.028284	-3.535884	25.614727	644.459394	80.801182	27.916394	998.855521	55.831856	12.225733	
2/3/2023 13:44:49.131660249	97.468609	26.981875	999.962200	-3.646741	25.635177	645.735472	80.706296	27.980411	999.360960	53.265565	12.205310	
2/3/2023 13:44:50.131660249	97.600028	26.934203	999.027023	-3.540608	25.653260	645.628366	80.530879	27.862229	999.338882	60.472926	12.229596	
2/3/2023 13:44:51.131660249	97.573744	26.977277	1001.077396	-3.579873	25.686732	647.048346	80.717625	27.942227	999.533960	61.026532	12.215784	
2/3/2023 13:44:52.131660249	97.488322	26.960338	999.190482	-3.589337	25.675098	645.146055	80.275926	27.912139	999.770357	67.607707	12.211539	
2/3/2023 13:44:53.131660249	97.626312	27.018329	999.169428	-3.637392	25.687589	648.306025	80.641981	27.923654	999.245205	58.365924	12.210974	
2/3/2023 13:44:54.131660249	97.554031	26.928108	1000.595851	-3.559708	25.612768	647.457717	80.611990	27.920648	998.949984	58.055453	12.232067	
2/3/2023 13:44:55.131660249	97.606599	27.097708	1001.166182	-3.676386	25.694365	648.596460	80.429765	27.899683	999.446435	59.592082	12.201236	
2/3/2023 13:44:56.131660249	97.600028	26.996793	1000.410471	-3.529798	25.582154	647.048346	80.409842	27.936110	999.229908	58.524956	12.245524	
2/3/2023 13:44:57.131660249	97.659166	27.039043	1000.958015	-3.676781	25.702284	649.038691	80.611491	27.955403	999.113839	58.367235	12.216520	
2/3/2023 13:44:58.131660249	97.560602	26.924183	999.012829	-3.572905	25.653832	648.623405	80.278633	27.927495	999.691034	59.936086	12.180932	
2/3/2023 13:44:59.131660249	97.606599	26.981875	1001.913457	-3.626548	25.715590	648.608290	80.366710	27.926659	999.041768	56.557599	12.199751	
2/3/2023 13:45:00.131660249	97.665737	26.965386	1001.271844	-3.499845	25.610482	646.972121	80.638564	27.950948	999.457316	58.704686	12.217966	
2/3/2023 13:45:01.131660249	97.600028	26.982025	999.947298	-3.634901	25.721264	649.914597	80.549593	27.978750	999.072520	54.706567	12.206059	
