
Time stamp	Inside_humidity (in %rH)	Inside_temperature (in °C)	Inside_pressure (in mbar)	Soil_moisture (in %VWC)	Soil_temperature (in °C)	Inside_CO2_ratio (in ppm)	Outside_humidity (in %rH)	Outside_temperature (in °C)	Outside_pressure (in mbar)	Outside_PAR (in µmol m^-2 s^-1)	Power_box_charge (in V)	
2/3/2023 14:12:27.131660249	101.772573	29.872683	999.538295	-3.823980	25.979605	501.749527	62.767062	32.954494	999.446435	48.588341	12.165083	
2/3/2023 14:12:28.131660249	101.660867	29.783060	1001.181322	-3.669752	25.891682	501.568828	62.533767	32.842228	999.203257	46.876954	12.204430	
2/3/2023 14:12:29.131660249	101.568874	29.827930	1000.850619	-3.753808	26.037609	506.007510	62.800206	32.974835	999.459839	49.006235	12.180590	
2/3/2023 14:12:30.131660249	101.654297	29.814767	1001.036394	-3.642663	25.880049	502.502560	62.550168	32.749572	998.877756	47.942769	12.209253	
2/3/2023 14:12:31.131660249	101.693722	29.905063	1000.428370	-3.825462	25.995729	505.679615	62.598924	32.837561	998.914817	48.136915	12.181484	
2/3/2023 14:12:32.131660249	101.660867	29.756776	999.462284	-3.642339	25.932215	504.073673	62.452708	32.777173	998.967332	46.001353	12.206874	
2/3/2023 14:12:33.131660249	101.667438	29.790204	999.941383	-3.674298	25.992545	506.032476	62.473419	32.855203	999.519134	52.010846	12.189750	
2/3/2023 14:12:34.131660249	101.588587	29.766796	1000.924898	-3.633326	25.898785	504.651260	61.994345	32.733909	998.811837	45.464513	12.202853	
2/3/2023 14:12:35.131660249	101.568874	29.978196	999.145380	-3.904763	25.994586	507.311838	61.875673	32.736809	999.472928	48.746063	12.181418	
2/3/2023 14:12:36.131660249	101.614871	29.751878	1000.316322	-3.721217	25.931358	507.238245	61.756135	32.719590	999.370263	49.982705	12.199304	
2/3/2023 14:12:37.131660249	101.601729	29.768442	999.690716	-3.719952	25.907561	508.370421	61.878670	32.818680	999.697972	49.793801	12.171825	
2/3/2023 14:12:38.131660249	101.582016	29.773565	1000.613198	-3.720255	25.914051	508.237686	61.727695	32.695207	999.030729	46.883507	12.209305	
2/3/2023 14:12:39.131660249	101.542591	29.940769	1000.245830	-3.888781	25.990872	510.901548	61.786886	32.659615	999.501158	49.321677	12.219530	
2/3/2023 14:12:40.131660249	101.687151	29.746232	999.927427	-3.684174	25.891968	509.099794	61.755583	32.703197	999.072205	41.547876	12.233959	
2/3/2023 14:12:41.131660249	101.582016	29.790279	1000.177228	-3.740476	25.916092	512.627741	61.919252	32.787037	999.437918	46.023361	12.216783	
2/3/2023 14:12:42.131660249	101.660867	29.730790	998.687489	-3.716247	25.894784	511.025084	61.860718	32.650906	999.142225	42.450728	12.233841	
2/3/2023 14:12:43.131660249	101.529449	29.957483	999.848419	-3.926902	26.020057	514.454461	61.967561	32.662833	999.249778	45.815070	12.209332	
2/3/2023 14:12:44.131660249	101.601729	29.814991	1000.685189	-3.703101	25.913765	513.543075	61.992189	32.595704	999.131186	46.095669	12.227375	
2/3/2023 14:12:45.131660249	101.529449	29.795850	1000.751346	-3.675975	25.922582	515.790997	62.235709	32.774898	999.339197	44.950993	12.194600	
2/3/2023 14:12:46.131660249	101.555732	29.836304	998.998873	-3.708681	25.888294	515.405939	61.975736	32.674146	998.759636	48.235164	12.199633	
2/3/2023 14:12:47.131660249	101.398030	29.819664	1000.120850	-3.824797	25.962543	517.522442	62.136251	32.687629	999.083244	42.386013	12.216862	
2/3/2023 14:12:48.131660249	101.634584	29.762572	999.558008	-3.714289	25.940705	517.554639	62.070988	32.655054	999.188274	46.040128	12.236286	
2/3/2023 14:12:49.131660249	101.693722	29.779585	998.732986	-3.731667	25.973319	519.423418	62.293691	32.771575	999.691505	46.369986	12.203115	
2/3/2023 14:12:50.131660249	101.621442	29.772741	999.783209	-3.694965	25.904418	518.372066	62.015504	32.669892	998.934215	45.811138	12.226245	
2/3/2023 14:12:51.131660249	101.483452	29.920954	1000.994681	-3.899653	26.022628	520.575961	62.178673	32.684306	999.409060	44.807417	12.196150	
2/3/2023 14:12:52.131660249	101.575445	29.772741	999.977340	-3.730695	25.908948	519.869586	61.969454	32.676739	999.354651	46.444915	12.233027	
2/3/2023 14:12:53.131660249	101.319179	29.806768	999.609971	-3.752361	25.984096	521.873069	61.901143	32.772612	999.470563	47.232753	12.217125	
2/3/2023 14:12:54.131660249	101.549162	29.782312	999.828311	-3.670706	25.883723	520.338752	61.819137	32.665425	998.991146	41.643503	12.231778	
